,is_installed,station_status,is_renting,eightd_has_available_keys,num_ebikes_available,num_bikes_available,legacy_id,is_returning,num_docks_available,station_id,num_docks_disabled,last_reported,num_bikes_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
111,True,active,True,False,0,1,121,True,16,121,0,2020-08-03 14:49:52+00:00,0,,,2020-08-03 14:51:25,2020
112,True,active,True,False,0,8,122,True,7,122,0,2020-08-03 14:46:33+00:00,0,,,2020-08-03 14:51:25,2020
113,True,active,True,False,0,3,124,True,12,124,0,2020-08-03 12:13:30+00:00,0,,,2020-08-03 14:51:25,2020
114,True,active,True,False,0,0,125,True,15,125,0,2020-08-03 14:35:59+00:00,0,,,2020-08-03 14:51:25,2020
115,True,active,True,False,0,6,126,True,8,126,0,2020-08-03 14:33:52+00:00,1,,,2020-08-03 14:51:25,2020
116,True,active,True,False,0,16,128,True,3,128,0,2020-08-03 12:35:10+00:00,0,,,2020-08-03 14:51:25,2020
117,True,active,True,False,0,14,129,True,5,129,0,2020-08-03 14:18:44+00:00,0,,,2020-08-03 14:51:25,2020
118,True,active,True,False,0,15,130,True,0,130,0,2020-08-03 05:39:14+00:00,0,,,2020-08-03 14:51:25,2020
119,True,active,True,False,0,5,131,True,11,131,0,2020-08-03 13:59:30+00:00,2,,,2020-08-03 14:51:25,2020
120,True,active,True,False,0,13,133,True,10,133,0,2020-08-03 13:31:17+00:00,0,,,2020-08-03 14:51:25,2020
121,True,active,True,False,0,10,135,True,7,135,0,2020-08-03 14:00:54+00:00,0,,,2020-08-03 14:51:25,2020
122,True,active,True,False,0,18,136,True,1,136,0,2020-08-03 14:32:43+00:00,0,,,2020-08-03 14:51:25,2020
123,True,active,True,False,0,2,137,True,13,137,0,2020-08-03 13:35:50+00:00,0,,,2020-08-03 14:51:25,2020
124,True,active,True,False,0,15,138,True,0,138,0,2020-08-03 12:37:13+00:00,0,,,2020-08-03 14:51:25,2020
125,True,active,True,False,0,1,139,True,18,139,0,2020-08-03 14:50:13+00:00,0,,,2020-08-03 14:51:25,2020
126,True,active,True,False,0,9,140,True,8,140,0,2020-08-03 14:50:10+00:00,0,,,2020-08-03 14:51:25,2020
127,True,active,True,False,0,7,141,True,8,141,0,2020-08-03 14:41:12+00:00,0,,,2020-08-03 14:51:25,2020
128,True,active,True,False,0,9,142,True,14,142,0,2020-08-03 13:19:42+00:00,0,,,2020-08-03 14:51:25,2020
129,True,active,True,False,0,10,143,True,13,143,0,2020-08-03 14:43:20+00:00,0,,,2020-08-03 14:51:25,2020
130,True,active,True,False,0,8,144,True,11,144,0,2020-08-03 14:45:01+00:00,0,,,2020-08-03 14:51:25,2020
131,True,active,True,False,0,12,145,True,7,145,0,2020-08-03 14:23:32+00:00,0,,,2020-08-03 14:51:25,2020
132,True,active,True,False,0,10,146,True,8,146,0,2020-08-03 14:01:31+00:00,1,,,2020-08-03 14:51:25,2020
133,True,active,True,True,0,8,149,True,9,149,0,2020-08-03 14:32:38+00:00,1,,,2020-08-03 14:51:25,2020
134,True,active,True,False,0,3,150,True,16,150,0,2020-08-03 13:42:47+00:00,0,,,2020-08-03 14:51:25,2020
135,True,active,True,False,0,12,151,True,5,151,0,2020-08-03 14:50:25+00:00,2,,,2020-08-03 14:51:25,2020
