,num_docks_available,num_ebikes_available,station_id,num_docks_disabled,station_status,legacy_id,num_bikes_disabled,eightd_has_available_keys,is_installed,num_bikes_available,is_renting,is_returning,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
106,1,0,117,0,active,117,1,False,True,17,True,True,2020-07-31 18:26:51+00:00,,,2020-07-31 18:36:20,2020
107,11,0,118,0,active,118,1,False,True,7,True,True,2020-07-31 18:32:32+00:00,,,2020-07-31 18:36:20,2020
108,2,0,119,0,active,119,1,False,True,12,True,True,2020-07-31 18:36:10+00:00,,,2020-07-31 18:36:20,2020
109,8,0,120,0,active,120,1,False,True,6,True,True,2020-07-31 18:31:30+00:00,,,2020-07-31 18:36:20,2020
110,15,0,121,0,active,121,0,False,True,2,True,True,2020-07-31 18:35:02+00:00,,,2020-07-31 18:36:20,2020
111,7,0,122,0,active,122,0,False,True,8,True,True,2020-07-31 17:26:27+00:00,,,2020-07-31 18:36:20,2020
112,9,0,124,0,active,124,0,False,True,6,True,True,2020-07-31 18:32:13+00:00,,,2020-07-31 18:36:20,2020
113,15,0,125,0,active,125,0,False,True,0,True,True,2020-07-31 18:02:56+00:00,,,2020-07-31 18:36:20,2020
114,7,0,126,0,active,126,0,False,True,8,True,True,2020-07-31 16:33:45+00:00,,,2020-07-31 18:36:20,2020
115,8,0,128,0,active,128,1,False,True,10,True,True,2020-07-31 17:29:42+00:00,,,2020-07-31 18:36:20,2020
116,10,0,129,0,active,129,0,False,True,9,True,True,2020-07-31 15:43:47+00:00,,,2020-07-31 18:36:20,2020
117,3,0,130,0,active,130,0,False,True,12,True,True,2020-07-31 18:34:38+00:00,,,2020-07-31 18:36:20,2020
118,15,0,131,0,active,131,3,False,True,0,True,True,2020-07-31 18:30:48+00:00,,,2020-07-31 18:36:20,2020
119,14,0,133,0,active,133,0,False,True,9,True,True,2020-07-31 18:19:00+00:00,,,2020-07-31 18:36:20,2020
120,10,0,135,0,active,135,0,False,True,7,True,True,2020-07-31 18:20:52+00:00,,,2020-07-31 18:36:20,2020
121,5,0,136,0,active,136,0,False,True,14,True,True,2020-07-31 18:26:55+00:00,,,2020-07-31 18:36:20,2020
122,10,0,137,0,active,137,0,False,True,5,True,True,2020-07-31 16:48:32+00:00,,,2020-07-31 18:36:20,2020
123,1,0,138,0,active,138,1,False,True,13,True,True,2020-07-31 17:51:57+00:00,,,2020-07-31 18:36:20,2020
124,14,0,139,0,active,139,0,False,True,5,True,True,2020-07-31 18:34:12+00:00,,,2020-07-31 18:36:20,2020
125,10,0,140,0,active,140,0,False,True,7,True,True,2020-07-31 18:30:55+00:00,,,2020-07-31 18:36:20,2020
126,14,0,141,0,active,141,0,False,True,1,True,True,2020-07-31 18:17:47+00:00,,,2020-07-31 18:36:20,2020
127,6,0,142,0,active,142,1,False,True,16,True,True,2020-07-31 18:21:13+00:00,,,2020-07-31 18:36:20,2020
128,11,0,143,0,active,143,1,False,True,11,True,True,2020-07-31 17:47:23+00:00,,,2020-07-31 18:36:20,2020
129,15,0,144,0,active,144,0,False,True,4,True,True,2020-07-31 17:34:13+00:00,,,2020-07-31 18:36:20,2020
130,13,0,145,0,active,145,0,False,True,6,True,True,2020-07-31 15:38:31+00:00,,,2020-07-31 18:36:20,2020
131,1,0,146,0,active,146,0,False,True,18,True,True,2020-07-31 18:31:38+00:00,,,2020-07-31 18:36:20,2020
132,18,0,149,0,active,149,0,True,True,0,True,True,2020-07-31 18:33:13+00:00,,,2020-07-31 18:36:20,2020
133,5,0,150,0,active,150,1,False,True,13,True,True,2020-07-31 18:28:39+00:00,,,2020-07-31 18:36:20,2020
134,10,0,151,0,active,151,2,False,True,7,True,True,2020-07-31 18:22:22+00:00,,,2020-07-31 18:36:20,2020
135,6,0,152,0,active,152,0,True,True,9,True,True,2020-07-31 18:23:48+00:00,,,2020-07-31 18:36:20,2020
136,13,0,156,0,active,156,0,False,True,2,True,True,2020-07-31 16:50:07+00:00,,,2020-07-31 18:36:20,2020
137,8,0,157,0,active,157,1,False,True,6,True,True,2020-07-31 18:04:38+00:00,,,2020-07-31 18:36:20,2020
138,14,0,159,0,active,159,1,False,True,0,True,True,2020-07-31 14:28:50+00:00,,,2020-07-31 18:36:20,2020
139,2,0,160,0,active,160,0,True,True,12,True,True,2020-07-31 17:57:20+00:00,,,2020-07-31 18:36:20,2020
140,10,0,161,0,active,161,0,True,True,13,True,True,2020-07-31 18:34:29+00:00,,,2020-07-31 18:36:20,2020
141,11,0,162,0,active,162,0,False,True,4,True,True,2020-07-31 17:49:50+00:00,,,2020-07-31 18:36:20,2020
142,11,0,163,0,active,163,0,True,True,8,True,True,2020-07-31 17:44:42+00:00,,,2020-07-31 18:36:20,2020
143,4,0,167,0,active,167,1,False,True,10,True,True,2020-07-31 18:23:25+00:00,,,2020-07-31 18:36:20,2020
144,13,0,169,0,active,169,0,False,True,6,True,True,2020-07-31 17:28:21+00:00,,,2020-07-31 18:36:20,2020
145,10,0,170,0,active,170,0,True,True,4,True,True,2020-07-31 16:09:04+00:00,,,2020-07-31 18:36:20,2020
146,17,0,171,0,active,171,0,True,True,6,True,True,2020-07-31 13:05:11+00:00,,,2020-07-31 18:36:20,2020
147,7,0,173,0,active,173,2,True,True,5,True,True,2020-07-31 17:18:09+00:00,,,2020-07-31 18:36:20,2020
148,3,0,174,0,active,174,0,False,True,12,True,True,2020-07-31 17:21:46+00:00,,,2020-07-31 18:36:20,2020
149,9,0,175,0,active,175,0,True,True,8,True,True,2020-07-31 18:24:37+00:00,,,2020-07-31 18:36:20,2020
150,8,0,176,0,active,176,0,False,True,7,True,True,2020-07-31 18:13:19+00:00,,,2020-07-31 18:36:20,2020
151,6,0,177,0,active,177,0,False,True,13,True,True,2020-07-31 18:21:08+00:00,,,2020-07-31 18:36:20,2020
152,8,0,178,0,active,178,0,False,True,11,True,True,2020-07-31 18:33:01+00:00,,,2020-07-31 18:36:20,2020
153,10,0,179,0,active,179,0,False,True,15,True,True,2020-07-31 18:18:32+00:00,,,2020-07-31 18:36:20,2020
154,7,0,180,0,active,180,0,False,True,12,True,True,2020-07-31 18:23:51+00:00,,,2020-07-31 18:36:20,2020
155,12,0,181,0,active,181,1,False,True,6,True,True,2020-07-31 17:21:58+00:00,,,2020-07-31 18:36:20,2020
156,11,0,182,0,active,182,1,True,True,7,True,True,2020-07-31 15:42:27+00:00,,,2020-07-31 18:36:20,2020
157,16,0,183,0,active,183,0,False,True,3,True,True,2020-07-31 18:29:12+00:00,,,2020-07-31 18:36:20,2020
158,3,0,184,0,active,184,0,False,True,16,True,True,2020-07-31 18:11:24+00:00,,,2020-07-31 18:36:20,2020
159,13,0,185,0,active,185,0,False,True,2,True,True,2020-07-31 18:01:02+00:00,,,2020-07-31 18:36:20,2020
160,9,0,186,0,active,186,0,True,True,6,True,True,2020-07-31 18:31:19+00:00,,,2020-07-31 18:36:20,2020
161,5,0,187,0,active,187,0,False,True,10,True,True,2020-07-31 18:07:29+00:00,,,2020-07-31 18:36:20,2020
162,8,0,188,0,active,188,0,False,True,7,True,True,2020-07-31 18:17:44+00:00,,,2020-07-31 18:36:20,2020
163,11,0,189,0,active,189,0,True,True,12,True,True,2020-07-31 18:34:05+00:00,,,2020-07-31 18:36:20,2020
164,16,0,190,0,active,190,3,True,True,18,True,True,2020-07-31 18:33:39+00:00,,,2020-07-31 18:36:20,2020
165,12,0,191,0,active,191,0,False,True,3,True,True,2020-07-31 16:35:29+00:00,,,2020-07-31 18:36:20,2020
166,5,0,192,0,active,192,2,False,True,12,True,True,2020-07-31 18:03:30+00:00,,,2020-07-31 18:36:20,2020
167,8,0,193,0,active,193,0,True,True,7,True,True,2020-07-31 17:48:46+00:00,,,2020-07-31 18:36:20,2020
168,3,0,194,0,active,194,0,False,True,16,True,True,2020-07-31 16:58:09+00:00,,,2020-07-31 18:36:20,2020
169,9,0,195,0,active,195,0,False,True,14,True,True,2020-07-31 18:30:35+00:00,,,2020-07-31 18:36:20,2020
170,9,0,196,0,active,196,1,True,True,0,True,True,2020-07-31 16:24:30+00:00,,,2020-07-31 18:36:20,2020
171,12,0,197,0,active,197,0,False,True,3,True,True,2020-07-31 17:12:42+00:00,,,2020-07-31 18:36:20,2020
172,8,0,199,0,active,199,0,False,True,7,True,True,2020-07-31 13:58:03+00:00,,,2020-07-31 18:36:20,2020
173,6,0,200,0,active,200,0,False,True,13,True,True,2020-07-31 18:28:16+00:00,,,2020-07-31 18:36:20,2020
174,15,0,201,0,active,201,0,False,True,0,True,True,2020-07-31 08:12:47+00:00,,,2020-07-31 18:36:20,2020
175,13,0,202,0,active,202,0,False,True,2,True,True,2020-07-31 18:27:24+00:00,,,2020-07-31 18:36:20,2020
176,9,0,203,0,active,203,0,False,True,6,True,True,2020-07-31 16:43:41+00:00,,,2020-07-31 18:36:20,2020
177,9,0,204,0,active,204,0,False,True,6,True,True,2020-07-31 14:06:39+00:00,,,2020-07-31 18:36:20,2020
178,8,0,205,0,active,205,0,False,True,7,True,True,2020-07-31 17:39:13+00:00,,,2020-07-31 18:36:20,2020
179,4,0,206,0,active,206,0,False,True,19,True,True,2020-07-31 18:23:10+00:00,,,2020-07-31 18:36:20,2020
180,5,0,208,0,active,208,0,True,True,10,True,True,2020-07-31 18:13:09+00:00,,,2020-07-31 18:36:20,2020
181,4,0,209,0,active,209,1,False,True,10,True,True,2020-07-31 18:24:14+00:00,,,2020-07-31 18:36:20,2020
182,13,0,210,0,active,210,0,False,True,2,True,True,2020-07-31 12:46:10+00:00,,,2020-07-31 18:36:20,2020
183,1,0,211,0,active,211,0,False,True,18,True,True,2020-07-31 17:03:01+00:00,,,2020-07-31 18:36:20,2020
184,20,0,212,0,active,212,0,False,True,13,True,True,2020-07-31 18:10:21+00:00,,,2020-07-31 18:36:20,2020
185,14,0,213,0,active,213,0,True,True,2,True,True,2020-07-31 16:18:27+00:00,,,2020-07-31 18:36:20,2020
186,14,0,214,0,active,214,0,False,True,1,True,True,2020-07-31 18:18:07+00:00,,,2020-07-31 18:36:20,2020
187,1,0,215,0,active,215,0,False,True,14,True,True,2020-07-31 18:00:40+00:00,,,2020-07-31 18:36:20,2020
188,3,0,216,0,active,216,0,False,True,16,True,True,2020-07-31 08:26:03+00:00,,,2020-07-31 18:36:20,2020
189,17,0,217,0,active,217,0,False,True,2,True,True,2020-07-31 17:41:54+00:00,,,2020-07-31 18:36:20,2020
190,4,0,218,0,active,218,0,False,True,11,True,True,2020-07-31 18:32:16+00:00,,,2020-07-31 18:36:20,2020
191,4,0,219,0,active,219,1,False,True,10,True,True,2020-07-31 15:00:03+00:00,,,2020-07-31 18:36:20,2020
192,15,0,221,0,active,221,0,False,True,4,True,True,2020-07-31 18:03:17+00:00,,,2020-07-31 18:36:20,2020
193,12,0,222,0,active,222,0,True,True,2,True,True,2020-07-31 18:28:38+00:00,,,2020-07-31 18:36:20,2020
194,6,0,224,0,active,224,0,False,True,11,True,True,2020-07-31 16:00:37+00:00,,,2020-07-31 18:36:20,2020
195,8,0,225,0,active,225,0,False,True,11,True,True,2020-07-31 18:33:52+00:00,,,2020-07-31 18:36:20,2020
196,6,0,226,0,active,226,1,False,True,8,True,True,2020-07-31 18:30:42+00:00,,,2020-07-31 18:36:20,2020
197,13,0,227,0,active,227,0,False,True,6,True,True,2020-07-31 18:22:45+00:00,,,2020-07-31 18:36:20,2020
198,13,0,228,0,active,228,0,False,True,6,True,True,2020-07-31 17:32:25+00:00,,,2020-07-31 18:36:20,2020
199,7,0,232,0,active,232,0,False,True,4,True,True,2020-07-31 08:16:55+00:00,,,2020-07-31 18:36:20,2020
200,8,0,233,0,active,233,1,False,True,6,True,True,2020-07-31 17:33:53+00:00,,,2020-07-31 18:36:20,2020
201,10,0,234,0,active,234,0,False,True,5,True,True,2020-07-31 17:55:07+00:00,,,2020-07-31 18:36:20,2020
202,7,0,235,0,active,235,0,False,True,8,True,True,2020-07-31 18:19:18+00:00,,,2020-07-31 18:36:20,2020
203,4,0,236,0,active,236,0,False,True,11,True,True,2020-07-31 17:15:00+00:00,,,2020-07-31 18:36:20,2020
204,11,0,239,0,active,239,1,False,True,3,True,True,2020-07-31 17:31:23+00:00,,,2020-07-31 18:36:20,2020
205,3,0,255,0,active,255,0,False,True,12,True,True,2020-07-31 18:17:27+00:00,,,2020-07-31 18:36:20,2020
206,5,0,258,0,active,258,0,False,True,10,True,True,2020-07-31 17:55:37+00:00,,,2020-07-31 18:36:20,2020
207,15,0,259,0,active,259,0,False,True,0,True,True,2020-07-31 08:31:40+00:00,,,2020-07-31 18:36:20,2020
208,10,0,260,0,active,260,0,False,True,5,True,True,2020-07-31 18:13:59+00:00,,,2020-07-31 18:36:20,2020
209,14,0,271,0,active,271,0,False,True,1,True,True,2020-07-31 17:16:33+00:00,,,2020-07-31 18:36:20,2020
210,9,0,272,0,active,272,2,False,True,8,True,True,2020-07-31 17:53:17+00:00,,,2020-07-31 18:36:20,2020
211,16,0,273,0,active,273,0,False,True,24,True,True,2020-07-31 18:30:15+00:00,,,2020-07-31 18:36:20,2020
212,12,0,279,0,active,279,0,False,True,7,True,True,2020-07-31 18:14:35+00:00,,,2020-07-31 18:36:20,2020
213,16,0,280,0,active,280,1,False,True,2,True,True,2020-07-31 18:35:13+00:00,,,2020-07-31 18:36:20,2020
214,8,0,282,0,active,282,2,False,True,5,True,True,2020-07-31 18:31:17+00:00,,,2020-07-31 18:36:20,2020
215,10,0,296,0,active,296,1,False,True,12,True,True,2020-07-31 18:29:18+00:00,,,2020-07-31 18:36:20,2020
