,legacy_id,is_installed,is_returning,station_status,num_bikes_disabled,num_docks_available,num_bikes_available,station_id,eightd_has_available_keys,last_reported,is_renting,num_ebikes_available,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
164,190,True,True,active,0,37,0,190,True,2020-08-20 23:23:05+00:00,True,0,0,,,2020-08-20 23:33:35,2020
165,191,True,True,active,0,15,0,191,False,2020-08-20 22:49:39+00:00,True,0,0,,,2020-08-20 23:33:35,2020
166,192,True,True,active,0,9,10,192,False,2020-08-20 22:39:16+00:00,True,0,0,,,2020-08-20 23:33:35,2020
167,193,True,True,active,0,13,2,193,True,2020-08-20 23:21:05+00:00,True,0,0,,,2020-08-20 23:33:35,2020
168,194,True,True,active,0,16,3,194,False,2020-08-20 23:06:45+00:00,True,0,0,,,2020-08-20 23:33:35,2020
169,195,True,True,active,0,16,7,195,False,2020-08-20 23:27:33+00:00,True,0,0,,,2020-08-20 23:33:35,2020
170,196,True,True,active,0,8,2,196,False,2020-08-20 21:12:36+00:00,True,0,0,,,2020-08-20 23:33:35,2020
171,197,True,True,active,1,8,6,197,False,2020-08-20 23:21:38+00:00,True,0,0,,,2020-08-20 23:33:35,2020
172,199,True,True,active,0,6,9,199,False,2020-08-20 23:26:19+00:00,True,0,0,,,2020-08-20 23:33:35,2020
173,200,True,True,active,0,0,19,200,False,2020-08-20 23:00:19+00:00,True,0,0,,,2020-08-20 23:33:35,2020
174,201,True,True,active,0,12,3,201,False,2020-08-20 22:30:26+00:00,True,0,0,,,2020-08-20 23:33:35,2020
175,202,True,True,active,0,12,3,202,False,2020-08-20 22:22:54+00:00,True,0,0,,,2020-08-20 23:33:35,2020
176,203,True,True,active,0,9,6,203,False,2020-08-20 16:40:31+00:00,True,0,0,,,2020-08-20 23:33:35,2020
177,204,True,True,active,1,12,2,204,False,2020-08-20 22:54:54+00:00,True,0,0,,,2020-08-20 23:33:35,2020
178,205,True,True,active,0,11,4,205,False,2020-08-20 23:26:54+00:00,True,0,0,,,2020-08-20 23:33:35,2020
179,206,True,True,active,0,22,1,206,True,2020-08-20 23:06:01+00:00,True,0,0,,,2020-08-20 23:33:35,2020
180,208,True,True,active,1,4,10,208,True,2020-08-20 22:55:27+00:00,True,0,0,,,2020-08-20 23:33:35,2020
181,209,True,True,active,1,4,10,209,False,2020-08-20 23:14:08+00:00,True,0,0,,,2020-08-20 23:33:35,2020
182,210,True,True,active,1,14,0,210,False,2020-08-20 18:49:02+00:00,True,0,0,,,2020-08-20 23:33:35,2020
183,211,True,True,active,0,6,13,211,False,2020-08-20 23:10:50+00:00,True,0,0,,,2020-08-20 23:33:35,2020
184,212,True,True,active,0,32,1,212,False,2020-08-20 23:30:55+00:00,True,0,0,,,2020-08-20 23:33:35,2020
185,213,True,True,active,0,14,2,213,True,2020-08-20 22:40:56+00:00,True,0,0,,,2020-08-20 23:33:35,2020
186,214,True,True,active,0,14,1,214,False,2020-08-20 23:21:31+00:00,True,0,0,,,2020-08-20 23:33:35,2020
187,215,True,True,active,3,5,7,215,False,2020-08-20 23:33:31+00:00,True,0,0,,,2020-08-20 23:33:35,2020
188,216,True,True,active,0,8,11,216,False,2020-08-20 21:35:16+00:00,True,0,0,,,2020-08-20 23:33:35,2020
189,217,True,True,active,1,17,1,217,False,2020-08-20 23:29:15+00:00,True,0,0,,,2020-08-20 23:33:35,2020
190,218,True,True,active,0,0,15,218,False,2020-08-20 22:22:10+00:00,True,0,0,,,2020-08-20 23:33:35,2020
191,219,True,True,active,0,10,5,219,False,2020-08-20 21:16:00+00:00,True,0,0,,,2020-08-20 23:33:35,2020
192,221,True,True,active,2,10,7,221,False,2020-08-20 23:31:39+00:00,True,0,0,,,2020-08-20 23:33:35,2020
193,222,True,True,active,0,9,5,222,True,2020-08-20 23:17:01+00:00,True,0,0,,,2020-08-20 23:33:35,2020
194,224,True,True,active,2,3,12,224,False,2020-08-20 23:26:54+00:00,True,0,0,,,2020-08-20 23:33:35,2020
195,225,True,True,active,2,11,6,225,False,2020-08-20 23:28:49+00:00,True,0,0,,,2020-08-20 23:33:35,2020
196,226,True,True,active,0,4,11,226,False,2020-08-20 23:33:06+00:00,True,0,0,,,2020-08-20 23:33:35,2020
197,227,True,True,active,0,6,13,227,False,2020-08-20 23:23:36+00:00,True,0,0,,,2020-08-20 23:33:35,2020
198,228,True,True,active,0,9,10,228,False,2020-08-20 23:14:34+00:00,True,0,0,,,2020-08-20 23:33:35,2020
199,232,True,True,active,0,10,1,232,False,2020-08-20 22:50:01+00:00,True,0,0,,,2020-08-20 23:33:35,2020
200,233,True,True,active,1,2,12,233,False,2020-08-20 22:52:06+00:00,True,0,0,,,2020-08-20 23:33:35,2020
201,234,True,True,active,0,10,5,234,False,2020-08-20 22:55:09+00:00,True,0,0,,,2020-08-20 23:33:35,2020
202,235,True,True,active,0,11,4,235,False,2020-08-20 22:50:56+00:00,True,0,0,,,2020-08-20 23:33:35,2020
203,236,True,True,active,0,5,10,236,False,2020-08-20 23:09:36+00:00,True,0,0,,,2020-08-20 23:33:35,2020
204,239,True,True,active,3,7,5,239,False,2020-08-20 23:20:40+00:00,True,0,0,,,2020-08-20 23:33:35,2020
205,255,True,True,active,0,9,6,255,False,2020-08-19 14:52:54+00:00,True,0,0,,,2020-08-20 23:33:35,2020
206,258,True,True,active,0,3,12,258,False,2020-08-20 22:20:39+00:00,True,0,0,,,2020-08-20 23:33:35,2020
207,259,True,True,active,0,6,9,259,False,2020-08-20 08:49:49+00:00,True,0,0,,,2020-08-20 23:33:35,2020
208,260,True,True,active,0,10,5,260,False,2020-08-20 21:42:06+00:00,True,0,0,,,2020-08-20 23:33:35,2020
209,271,True,True,active,0,5,10,271,False,2020-08-20 22:50:38+00:00,True,0,0,,,2020-08-20 23:33:35,2020
210,272,True,True,active,0,10,9,272,False,2020-08-20 23:13:04+00:00,True,0,0,,,2020-08-20 23:33:35,2020
211,273,True,True,active,0,10,30,273,False,2020-08-20 23:33:04+00:00,True,0,0,,,2020-08-20 23:33:35,2020
