,is_renting,num_bikes_disabled,last_reported,station_status,num_ebikes_available,station_id,eightd_has_available_keys,legacy_id,num_docks_available,num_docks_disabled,is_installed,is_returning,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
134,True,0,2020-07-11 21:53:23+00:00,active,0,150,False,150,7,0,True,True,12,,,2020-07-11 23:29:05,2020
135,True,1,2020-07-11 23:20:57+00:00,active,0,151,False,151,11,0,True,True,7,,,2020-07-11 23:29:05,2020
136,True,0,2020-07-11 23:23:58+00:00,active,0,152,True,152,1,0,True,True,14,,,2020-07-11 23:29:05,2020
137,True,0,2020-07-11 23:08:37+00:00,active,0,156,False,156,10,0,True,True,5,,,2020-07-11 23:29:05,2020
138,True,2,2020-07-11 23:09:18+00:00,active,0,157,False,157,0,0,True,True,13,,,2020-07-11 23:29:05,2020
139,True,1,2020-07-11 22:48:12+00:00,active,0,159,False,159,8,0,True,True,6,,,2020-07-11 23:29:05,2020
140,True,0,2020-07-11 23:15:03+00:00,active,0,160,True,160,12,0,True,True,2,,,2020-07-11 23:29:05,2020
141,True,0,2020-07-11 23:28:33+00:00,active,0,161,True,161,17,0,True,True,6,,,2020-07-11 23:29:05,2020
142,True,1,2020-07-11 21:28:09+00:00,active,0,162,False,162,12,0,True,True,2,,,2020-07-11 23:29:05,2020
143,True,0,2020-07-11 22:13:44+00:00,active,0,163,True,163,6,0,True,True,13,,,2020-07-11 23:29:05,2020
144,True,0,2020-07-11 23:11:14+00:00,active,0,167,False,167,12,0,True,True,3,,,2020-07-11 23:29:05,2020
145,True,0,2020-07-11 22:57:31+00:00,active,0,169,False,169,17,0,True,True,2,,,2020-07-11 23:29:05,2020
146,True,0,2020-07-11 17:31:39+00:00,active,0,170,True,170,14,0,True,True,0,,,2020-07-11 23:29:05,2020
147,True,0,2020-07-11 23:22:35+00:00,active,0,171,True,171,13,0,True,True,10,,,2020-07-11 23:29:05,2020
148,True,0,2020-07-11 23:04:12+00:00,active,0,173,True,173,6,0,True,True,8,,,2020-07-11 23:29:05,2020
