,is_renting,station_id,num_bikes_disabled,is_installed,legacy_id,is_returning,station_status,eightd_has_available_keys,num_docks_available,last_reported,num_bikes_available,num_docks_disabled,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
114,True,126,1,True,126,True,active,False,4,2020-08-20 13:25:50+00:00,10,0,0,,,2020-08-20 15:12:40,2020
115,True,128,0,True,128,True,active,False,10,2020-08-20 14:58:59+00:00,9,0,0,,,2020-08-20 15:12:40,2020
116,True,129,0,True,129,True,active,False,14,2020-08-20 13:35:05+00:00,5,0,0,,,2020-08-20 15:12:40,2020
117,True,130,0,True,130,True,active,False,1,2020-08-20 14:10:36+00:00,14,0,0,,,2020-08-20 15:12:40,2020
118,True,131,0,True,131,True,active,False,11,2020-08-20 14:13:09+00:00,7,0,0,,,2020-08-20 15:12:40,2020
119,True,133,1,True,133,True,active,False,7,2020-08-20 14:25:35+00:00,15,0,0,,,2020-08-20 15:12:40,2020
120,True,135,0,True,135,True,active,False,12,2020-08-20 14:31:07+00:00,5,0,0,,,2020-08-20 15:12:40,2020
121,True,136,0,True,136,True,active,False,14,2020-08-20 14:40:29+00:00,5,0,0,,,2020-08-20 15:12:40,2020
122,True,137,0,True,137,True,active,False,9,2020-08-20 13:35:23+00:00,6,0,0,,,2020-08-20 15:12:40,2020
123,True,138,0,True,138,True,active,False,3,2020-08-20 14:58:41+00:00,12,0,0,,,2020-08-20 15:12:40,2020
124,True,139,0,True,139,True,active,False,17,2020-08-20 15:03:31+00:00,2,0,0,,,2020-08-20 15:12:40,2020
125,True,140,0,True,140,True,active,False,6,2020-08-20 14:36:39+00:00,11,0,0,,,2020-08-20 15:12:40,2020
126,True,141,0,True,141,True,active,False,7,2020-08-20 14:58:25+00:00,8,0,0,,,2020-08-20 15:12:40,2020
127,True,142,0,True,142,True,active,False,5,2020-08-20 13:40:16+00:00,18,0,0,,,2020-08-20 15:12:40,2020
128,True,143,0,True,143,True,active,False,16,2020-08-20 14:22:51+00:00,7,0,0,,,2020-08-20 15:12:40,2020
129,True,144,0,True,144,True,active,False,8,2020-08-20 14:52:53+00:00,11,0,0,,,2020-08-20 15:12:40,2020
130,True,145,1,True,145,True,active,False,5,2020-08-20 15:04:23+00:00,13,0,0,,,2020-08-20 15:12:40,2020
131,True,146,0,True,146,True,active,False,7,2020-08-20 14:36:37+00:00,12,0,0,,,2020-08-20 15:12:40,2020
132,True,149,1,True,149,True,active,True,9,2020-08-20 14:57:37+00:00,8,0,0,,,2020-08-20 15:12:40,2020
133,True,150,1,True,150,True,active,False,9,2020-08-20 14:42:39+00:00,9,0,0,,,2020-08-20 15:12:40,2020
134,True,151,0,True,151,True,active,False,8,2020-08-20 14:45:46+00:00,11,0,0,,,2020-08-20 15:12:40,2020
135,True,152,0,True,152,True,active,True,6,2020-08-20 14:50:20+00:00,9,0,0,,,2020-08-20 15:12:40,2020
