,eightd_has_available_keys,num_docks_disabled,is_renting,num_docks_available,is_installed,num_ebikes_available,legacy_id,last_reported,is_returning,station_status,num_bikes_available,station_id,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
115,False,0,True,5,True,0,128,2020-07-29 20:10:38+00:00,True,active,14,128,0,,,2020-07-29 20:17:20,2020
116,False,0,True,12,True,0,129,2020-07-29 18:29:23+00:00,True,active,7,129,0,,,2020-07-29 20:17:20,2020
117,False,0,True,8,True,0,130,2020-07-29 17:49:53+00:00,True,active,7,130,0,,,2020-07-29 20:17:20,2020
118,False,0,True,8,True,0,131,2020-07-29 20:17:01+00:00,True,active,9,131,1,,,2020-07-29 20:17:20,2020
119,False,0,True,17,True,0,133,2020-07-29 19:51:35+00:00,True,active,6,133,0,,,2020-07-29 20:17:20,2020
120,False,0,True,10,True,0,135,2020-07-29 18:57:58+00:00,True,active,7,135,0,,,2020-07-29 20:17:20,2020
121,False,0,True,1,True,0,136,2020-07-29 20:00:48+00:00,True,active,18,136,0,,,2020-07-29 20:17:20,2020
122,False,0,True,12,True,0,137,2020-07-29 19:46:24+00:00,True,active,3,137,0,,,2020-07-29 20:17:20,2020
123,False,0,True,7,True,0,138,2020-07-29 20:05:18+00:00,True,active,8,138,0,,,2020-07-29 20:17:20,2020
124,False,0,True,15,True,0,139,2020-07-29 19:59:17+00:00,True,active,4,139,0,,,2020-07-29 20:17:20,2020
125,False,0,True,10,True,0,140,2020-07-29 18:24:22+00:00,True,active,7,140,0,,,2020-07-29 20:17:20,2020
126,False,0,True,8,True,0,141,2020-07-29 19:53:50+00:00,True,active,7,141,0,,,2020-07-29 20:17:20,2020
127,False,0,True,5,True,0,142,2020-07-29 20:16:28+00:00,True,active,17,142,1,,,2020-07-29 20:17:20,2020
128,False,0,True,18,True,0,143,2020-07-29 20:04:18+00:00,True,active,5,143,0,,,2020-07-29 20:17:20,2020
129,False,0,True,9,True,0,144,2020-07-29 20:12:07+00:00,True,active,10,144,0,,,2020-07-29 20:17:20,2020
130,False,0,True,8,True,0,145,2020-07-29 18:39:30+00:00,True,active,11,145,0,,,2020-07-29 20:17:20,2020
131,False,0,True,6,True,0,146,2020-07-29 20:15:28+00:00,True,active,12,146,1,,,2020-07-29 20:17:20,2020
132,True,0,True,7,True,0,149,2020-07-29 20:16:07+00:00,True,active,11,149,0,,,2020-07-29 20:17:20,2020
133,False,0,True,6,True,0,150,2020-07-29 20:07:25+00:00,True,active,13,150,0,,,2020-07-29 20:17:20,2020
134,False,0,True,6,True,0,151,2020-07-29 19:26:10+00:00,True,active,12,151,1,,,2020-07-29 20:17:20,2020
