,is_returning,last_reported,station_id,eightd_has_available_keys,num_bikes_available,num_ebikes_available,num_docks_available,is_renting,legacy_id,station_status,num_docks_disabled,num_bikes_disabled,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
145,True,2020-08-15 19:47:29+00:00,170,True,1,0,13,True,170,active,0,0,True,,,2020-08-15 21:19:05,2020
146,True,2020-08-15 17:44:53+00:00,171,True,9,0,14,True,171,active,0,0,True,,,2020-08-15 21:19:05,2020
147,True,2020-08-15 21:15:44+00:00,173,True,7,0,7,True,173,active,0,0,True,,,2020-08-15 21:19:05,2020
148,True,2020-08-15 21:04:04+00:00,174,False,9,0,6,True,174,active,0,0,True,,,2020-08-15 21:19:05,2020
149,True,2020-08-15 21:11:03+00:00,175,True,1,0,16,True,175,active,0,0,True,,,2020-08-15 21:19:05,2020
150,True,2020-08-15 20:11:30+00:00,176,False,12,0,3,True,176,active,0,0,True,,,2020-08-15 21:19:05,2020
151,True,2020-08-15 21:17:51+00:00,177,False,14,0,4,True,177,active,0,1,True,,,2020-08-15 21:19:05,2020
152,True,2020-08-15 21:18:17+00:00,178,False,1,0,17,True,178,active,0,1,True,,,2020-08-15 21:19:05,2020
153,True,2020-08-15 21:17:10+00:00,179,False,0,0,25,True,179,active,0,0,True,,,2020-08-15 21:19:05,2020
154,True,2020-08-15 21:08:20+00:00,180,False,13,0,6,True,180,active,0,0,True,,,2020-08-15 21:19:05,2020
155,True,2020-08-15 21:18:15+00:00,181,False,11,0,8,True,181,active,0,0,True,,,2020-08-15 21:19:05,2020
156,True,2020-08-15 21:01:54+00:00,182,True,6,0,13,True,182,active,0,0,True,,,2020-08-15 21:19:05,2020
157,True,2020-08-15 21:10:25+00:00,183,False,13,0,6,True,183,active,0,0,True,,,2020-08-15 21:19:05,2020
158,True,2020-08-15 21:10:40+00:00,184,False,2,0,17,True,184,active,0,0,True,,,2020-08-15 21:19:05,2020
159,True,2020-08-15 21:08:28+00:00,185,False,1,0,14,True,185,active,0,0,True,,,2020-08-15 21:19:05,2020
160,True,2020-08-15 21:17:40+00:00,186,True,5,0,10,True,186,active,0,0,True,,,2020-08-15 21:19:05,2020
161,True,2020-08-15 20:15:16+00:00,187,False,11,0,4,True,187,active,0,0,True,,,2020-08-15 21:19:05,2020
162,True,2020-08-15 20:47:35+00:00,188,False,4,0,11,True,188,active,0,0,True,,,2020-08-15 21:19:05,2020
163,True,2020-08-15 21:16:56+00:00,189,True,5,0,18,True,189,active,0,0,True,,,2020-08-15 21:19:05,2020
164,True,2020-08-15 21:17:22+00:00,190,True,7,0,29,True,190,active,0,1,True,,,2020-08-15 21:19:05,2020
165,True,2020-08-15 19:53:13+00:00,191,False,5,0,10,True,191,active,0,0,True,,,2020-08-15 21:19:05,2020
166,True,2020-08-15 21:00:11+00:00,192,False,3,0,16,True,192,active,0,0,True,,,2020-08-15 21:19:05,2020
167,True,2020-08-15 20:58:40+00:00,193,True,12,0,1,True,193,active,0,2,True,,,2020-08-15 21:19:05,2020
168,True,2020-08-15 20:07:51+00:00,194,False,1,0,18,True,194,active,0,0,True,,,2020-08-15 21:19:05,2020
169,True,2020-08-15 21:17:11+00:00,195,False,8,0,15,True,195,active,0,0,True,,,2020-08-15 21:19:05,2020
170,True,2020-08-15 20:43:56+00:00,196,False,1,0,9,True,196,active,0,0,True,,,2020-08-15 21:19:05,2020
171,True,2020-08-15 20:54:30+00:00,197,False,6,0,9,True,197,active,0,0,True,,,2020-08-15 21:19:05,2020
172,True,2020-08-15 19:36:47+00:00,199,False,6,0,9,True,199,active,0,0,True,,,2020-08-15 21:19:05,2020
173,True,2020-08-15 20:53:55+00:00,200,False,13,0,6,True,200,active,0,0,True,,,2020-08-15 21:19:05,2020
174,True,2020-08-15 19:27:33+00:00,201,False,6,0,9,True,201,active,0,0,True,,,2020-08-15 21:19:05,2020
175,True,2020-08-15 19:35:02+00:00,202,False,8,0,7,True,202,active,0,0,True,,,2020-08-15 21:19:05,2020
176,True,2020-08-15 19:39:30+00:00,203,False,1,0,14,True,203,active,0,0,True,,,2020-08-15 21:19:05,2020
177,True,2020-08-15 20:12:05+00:00,204,False,2,0,13,True,204,active,0,0,True,,,2020-08-15 21:19:05,2020
178,True,2020-08-15 16:25:20+00:00,205,False,7,0,8,True,205,active,0,0,True,,,2020-08-15 21:19:05,2020
179,True,2020-08-15 21:14:48+00:00,206,True,1,0,21,True,206,active,0,1,True,,,2020-08-15 21:19:05,2020
180,True,2020-08-15 21:15:57+00:00,208,True,6,0,9,True,208,active,0,0,True,,,2020-08-15 21:19:05,2020
181,True,2020-08-15 19:07:07+00:00,209,False,13,0,2,True,209,active,0,0,True,,,2020-08-15 21:19:05,2020
182,True,2020-08-15 20:23:11+00:00,210,False,0,0,14,True,210,active,0,1,True,,,2020-08-15 21:19:05,2020
183,True,2020-08-15 21:15:58+00:00,211,False,3,0,16,True,211,active,0,0,True,,,2020-08-15 21:19:05,2020
184,True,2020-08-15 21:03:28+00:00,212,False,19,0,14,True,212,active,0,0,True,,,2020-08-15 21:19:05,2020
185,True,2020-08-15 20:13:43+00:00,213,True,4,0,12,True,213,active,0,0,True,,,2020-08-15 21:19:05,2020
186,True,2020-08-15 21:11:35+00:00,214,False,8,0,7,True,214,active,0,0,True,,,2020-08-15 21:19:05,2020
187,True,2020-08-15 18:57:28+00:00,215,False,8,0,6,True,215,active,0,1,True,,,2020-08-15 21:19:05,2020
188,True,2020-08-15 13:51:48+00:00,216,False,18,0,0,True,216,active,0,1,True,,,2020-08-15 21:19:05,2020
189,True,2020-08-15 20:18:36+00:00,217,False,7,0,12,True,217,active,0,0,True,,,2020-08-15 21:19:05,2020
190,True,2020-08-15 21:17:32+00:00,218,False,10,0,5,True,218,active,0,0,True,,,2020-08-15 21:19:05,2020
191,True,2020-08-15 17:26:12+00:00,219,False,1,0,14,True,219,active,0,0,True,,,2020-08-15 21:19:05,2020
192,True,2020-08-15 21:17:10+00:00,221,False,1,0,18,True,221,active,0,0,True,,,2020-08-15 21:19:05,2020
193,True,2020-08-15 21:15:46+00:00,222,True,8,0,6,True,222,active,0,0,True,,,2020-08-15 21:19:05,2020
194,True,2020-08-15 20:54:20+00:00,224,False,9,0,6,True,224,active,0,2,True,,,2020-08-15 21:19:05,2020
