,is_installed,num_bikes_available,last_reported,is_renting,num_ebikes_available,legacy_id,num_docks_disabled,eightd_has_available_keys,num_docks_available,is_returning,station_id,station_status,num_bikes_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
208,True,5,2020-07-30 16:02:55+00:00,True,0,260,0,False,9,True,260,active,1,,,2020-07-30 18:37:05,2020
209,True,1,2020-07-30 17:45:28+00:00,True,0,271,0,False,14,True,271,active,0,,,2020-07-30 18:37:05,2020
210,True,5,2020-07-30 17:59:20+00:00,True,0,272,0,False,12,True,272,active,2,,,2020-07-30 18:37:05,2020
211,True,26,2020-07-30 18:06:37+00:00,True,0,273,0,False,14,True,273,active,0,,,2020-07-30 18:37:05,2020
212,True,9,2020-07-30 16:40:55+00:00,True,0,279,0,False,10,True,279,active,0,,,2020-07-30 18:37:05,2020
213,True,6,2020-07-30 18:34:02+00:00,True,0,280,0,False,13,True,280,active,0,,,2020-07-30 18:37:05,2020
214,True,9,2020-07-30 18:27:21+00:00,True,0,282,0,False,5,True,282,active,1,,,2020-07-30 18:37:05,2020
215,True,12,2020-07-30 18:08:33+00:00,True,0,296,0,False,11,True,296,active,0,,,2020-07-30 18:37:05,2020
216,True,18,2020-07-30 18:30:14+00:00,True,0,318,0,False,1,True,318,active,0,,,2020-07-30 18:37:05,2020
217,True,14,2020-07-30 16:44:54+00:00,True,0,319,0,False,11,True,319,active,0,,,2020-07-30 18:37:05,2020
218,True,11,2020-07-30 17:45:39+00:00,True,0,327,0,False,4,True,327,active,0,,,2020-07-30 18:37:05,2020
219,True,5,2020-07-30 18:25:33+00:00,True,0,328,0,False,10,True,328,active,0,,,2020-07-30 18:37:05,2020
220,True,11,2020-07-30 17:55:14+00:00,True,0,329,0,False,4,True,329,active,0,,,2020-07-30 18:37:05,2020
221,True,3,2020-07-30 18:31:45+00:00,True,0,330,0,False,12,True,330,active,0,,,2020-07-30 18:37:05,2020
222,True,13,2020-07-30 18:17:39+00:00,True,0,331,0,False,0,True,331,active,2,,,2020-07-30 18:37:05,2020
223,True,2,2020-07-30 18:27:14+00:00,True,0,332,0,False,13,True,332,active,0,,,2020-07-30 18:37:05,2020
224,True,18,2020-07-30 18:18:38+00:00,True,0,333,0,False,7,True,333,active,0,,,2020-07-30 18:37:05,2020
225,True,19,2020-07-30 18:19:55+00:00,True,0,334,0,False,0,True,334,active,0,,,2020-07-30 18:37:05,2020
226,True,13,2020-07-30 18:19:03+00:00,True,0,335,0,False,6,True,335,active,0,,,2020-07-30 18:37:05,2020
227,True,12,2020-07-30 15:39:42+00:00,True,0,336,0,False,3,True,336,active,0,,,2020-07-30 18:37:05,2020
228,True,14,2020-07-30 14:34:22+00:00,True,0,337,0,False,0,True,337,active,1,,,2020-07-30 18:37:05,2020
229,True,1,2020-07-30 18:29:18+00:00,True,0,338,0,False,14,True,338,active,0,,,2020-07-30 18:37:05,2020
230,True,10,2020-07-30 18:13:21+00:00,True,0,339,0,False,5,True,339,active,0,,,2020-07-30 18:37:05,2020
231,True,13,2020-07-30 15:05:44+00:00,True,0,340,0,False,5,True,340,active,1,,,2020-07-30 18:37:05,2020
232,True,9,2020-07-30 12:03:50+00:00,True,0,341,0,True,6,True,341,active,0,,,2020-07-30 18:37:05,2020
233,True,2,2020-07-30 18:33:14+00:00,True,0,342,0,False,12,True,342,active,1,,,2020-07-30 18:37:05,2020
234,True,4,2020-07-29 22:58:46+00:00,True,0,343,0,False,10,True,343,active,1,,,2020-07-30 18:37:05,2020
235,True,1,2020-07-30 18:32:27+00:00,True,0,344,0,False,18,True,344,active,0,,,2020-07-30 18:37:05,2020
236,True,1,2020-07-30 16:58:12+00:00,True,0,345,0,False,18,True,345,active,0,,,2020-07-30 18:37:05,2020
237,True,0,2020-07-30 17:37:55+00:00,True,0,346,0,False,15,True,346,active,0,,,2020-07-30 18:37:05,2020
238,True,4,2020-07-30 18:01:51+00:00,True,0,347,0,False,11,True,347,active,0,,,2020-07-30 18:37:05,2020
239,True,9,2020-07-30 17:34:40+00:00,True,0,348,0,False,4,True,348,active,2,,,2020-07-30 18:37:05,2020
240,True,10,2020-07-30 16:05:49+00:00,True,0,349,0,True,7,True,349,active,0,,,2020-07-30 18:37:05,2020
241,True,1,2020-07-30 12:54:11+00:00,True,0,350,0,False,16,True,350,active,0,,,2020-07-30 18:37:05,2020
242,True,10,2020-07-30 17:48:19+00:00,True,0,351,0,False,5,True,351,active,0,,,2020-07-30 18:37:05,2020
243,True,6,2020-07-30 18:32:21+00:00,True,0,352,0,False,9,True,352,active,0,,,2020-07-30 18:37:05,2020
