,last_reported,num_ebikes_available,num_docks_available,legacy_id,station_status,num_docks_disabled,is_installed,is_returning,is_renting,eightd_has_available_keys,station_id,num_bikes_disabled,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
120,2020-07-11 23:19:50+00:00,0,13,134,active,0,True,True,True,False,134,1,1,,,2020-07-11 23:27:55,2020
121,2020-07-11 22:43:55+00:00,0,15,135,active,0,True,True,True,False,135,0,2,,,2020-07-11 23:27:55,2020
122,2020-07-11 22:47:52+00:00,0,18,136,active,0,True,True,True,False,136,0,1,,,2020-07-11 23:27:55,2020
123,2020-07-11 22:20:57+00:00,0,12,137,active,0,True,True,True,False,137,0,3,,,2020-07-11 23:27:55,2020
124,2020-07-11 23:23:53+00:00,0,6,138,active,0,True,True,True,False,138,1,8,,,2020-07-11 23:27:55,2020
125,2020-07-11 23:25:35+00:00,0,16,139,active,0,True,True,True,False,139,1,2,,,2020-07-11 23:27:55,2020
126,2020-07-11 23:18:41+00:00,0,0,140,active,0,True,True,True,False,140,2,15,,,2020-07-11 23:27:55,2020
127,2020-07-11 23:22:50+00:00,0,8,141,active,0,True,True,True,False,141,0,7,,,2020-07-11 23:27:55,2020
128,2020-07-11 23:10:49+00:00,0,23,142,active,0,True,True,True,False,142,0,0,,,2020-07-11 23:27:55,2020
129,2020-07-11 23:15:00+00:00,0,21,143,active,0,True,True,True,False,143,2,0,,,2020-07-11 23:27:55,2020
130,2020-07-11 23:06:58+00:00,0,4,144,active,0,True,True,True,False,144,1,14,,,2020-07-11 23:27:55,2020
131,2020-07-11 22:48:54+00:00,0,2,145,active,0,True,True,True,False,145,0,17,,,2020-07-11 23:27:55,2020
132,2020-07-11 23:12:07+00:00,0,19,146,active,0,True,True,True,False,146,0,0,,,2020-07-11 23:27:55,2020
133,2020-07-11 23:17:19+00:00,0,2,149,active,0,True,True,True,True,149,0,16,,,2020-07-11 23:27:55,2020
134,2020-07-11 21:53:23+00:00,0,7,150,active,0,True,True,True,False,150,0,12,,,2020-07-11 23:27:55,2020
135,2020-07-11 23:20:57+00:00,0,11,151,active,0,True,True,True,False,151,1,7,,,2020-07-11 23:27:55,2020
136,2020-07-11 23:23:58+00:00,0,1,152,active,0,True,True,True,True,152,0,14,,,2020-07-11 23:27:55,2020
137,2020-07-11 23:08:37+00:00,0,10,156,active,0,True,True,True,False,156,0,5,,,2020-07-11 23:27:55,2020
138,2020-07-11 23:09:18+00:00,0,0,157,active,0,True,True,True,False,157,2,13,,,2020-07-11 23:27:55,2020
139,2020-07-11 22:48:12+00:00,0,8,159,active,0,True,True,True,False,159,1,6,,,2020-07-11 23:27:55,2020
140,2020-07-11 23:15:03+00:00,0,12,160,active,0,True,True,True,True,160,0,2,,,2020-07-11 23:27:55,2020
141,2020-07-11 23:17:45+00:00,0,16,161,active,0,True,True,True,True,161,0,7,,,2020-07-11 23:27:55,2020
142,2020-07-11 21:28:09+00:00,0,12,162,active,0,True,True,True,False,162,1,2,,,2020-07-11 23:27:55,2020
143,2020-07-11 22:13:44+00:00,0,6,163,active,0,True,True,True,True,163,0,13,,,2020-07-11 23:27:55,2020
144,2020-07-11 23:11:14+00:00,0,12,167,active,0,True,True,True,False,167,0,3,,,2020-07-11 23:27:55,2020
