,station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,timestamp
92,101,4,0,0,11,0,True,True,True,2020-03-10 21:03:55+00:00
93,102,11,0,0,4,0,True,True,True,2020-03-10 21:16:32+00:00
94,103,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
95,104,6,0,2,11,0,True,True,True,2020-03-10 21:08:11+00:00
96,105,1,0,0,18,0,True,True,True,2020-03-10 21:20:01+00:00
97,106,0,0,0,3,0,False,False,False,2019-11-19 16:56:13+00:00
98,108,2,0,1,14,0,True,True,True,2020-03-10 21:17:54+00:00
99,109,8,0,1,26,0,True,True,True,2020-03-10 21:17:58+00:00
100,110,5,0,0,10,0,True,True,True,2020-03-10 21:21:35+00:00
101,111,4,0,1,10,0,True,True,True,2020-03-10 20:51:23+00:00
102,112,7,0,0,8,0,False,False,False,2020-03-10 15:33:10+00:00
103,113,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
104,114,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
105,115,12,0,0,7,0,True,True,True,2020-03-10 21:16:11+00:00
106,116,11,0,0,12,0,True,True,True,2020-03-10 21:14:00+00:00
107,117,7,0,1,11,0,True,True,True,2020-03-10 21:07:21+00:00
108,118,6,0,1,12,0,True,True,True,2020-03-10 21:09:32+00:00
109,119,12,0,0,3,0,True,True,True,2020-03-10 21:04:28+00:00
110,120,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
111,121,13,0,0,4,0,True,True,True,2020-03-10 21:22:47+00:00
112,122,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
113,124,8,0,0,7,0,True,True,True,2020-03-10 20:44:29+00:00
114,125,4,0,0,11,0,True,True,True,2020-03-10 21:19:58+00:00
115,126,2,0,0,13,0,True,True,True,2020-03-10 20:59:35+00:00
116,128,0,0,0,19,0,False,False,False,2019-11-07 14:52:43+00:00
117,129,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
118,130,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
119,131,13,0,2,3,0,True,True,True,2020-03-10 21:11:32+00:00
120,133,11,0,0,12,0,True,True,True,2020-03-10 21:00:42+00:00
121,134,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
122,135,0,0,0,17,0,True,True,True,2020-03-10 20:57:23+00:00
123,136,11,0,0,8,0,True,True,True,2020-03-10 21:07:58+00:00
124,137,6,0,0,9,0,True,True,True,2020-03-10 21:00:10+00:00
125,138,15,0,0,0,0,True,True,True,2020-03-10 21:11:26+00:00
126,139,4,0,0,15,0,True,True,True,2020-03-10 21:12:23+00:00
127,140,11,0,0,6,0,True,True,True,2020-03-10 21:17:22+00:00
128,141,6,0,0,9,0,True,True,True,2020-03-10 21:22:40+00:00
129,142,2,0,0,21,0,True,True,True,2020-03-10 21:01:43+00:00
130,143,14,0,1,8,0,True,True,True,2020-03-10 21:20:32+00:00
131,144,5,0,0,14,0,True,True,True,2020-03-10 21:22:32+00:00
132,145,4,0,1,14,0,True,True,True,2020-03-10 20:41:38+00:00
133,146,3,0,0,16,0,True,True,True,2020-03-10 20:05:07+00:00
134,149,7,0,1,10,0,True,True,True,2020-03-10 21:19:44+00:00
135,150,12,0,2,5,0,True,True,True,2020-03-10 21:12:31+00:00
136,151,14,0,0,5,0,True,True,True,2020-03-10 21:22:31+00:00
137,152,2,0,0,13,0,True,True,True,2020-03-10 21:11:11+00:00
138,156,1,0,0,14,0,True,True,True,2020-03-10 16:57:54+00:00
139,157,4,0,1,10,0,True,True,True,2020-03-10 21:21:35+00:00
140,159,0,0,0,15,0,True,True,True,2020-03-10 20:34:54+00:00
141,160,6,0,0,8,0,True,True,True,2020-03-10 21:21:14+00:00
142,161,7,0,0,16,0,True,True,True,2020-03-10 21:14:19+00:00
143,162,3,0,0,12,0,True,True,True,2020-03-10 08:09:30+00:00
144,163,8,0,0,11,0,True,True,True,2020-03-10 21:19:01+00:00
145,167,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00
146,169,4,0,0,15,0,True,True,True,2020-03-10 21:06:11+00:00
147,170,0,0,0,14,0,True,True,True,2020-03-10 08:43:46+00:00
148,171,12,0,0,11,0,True,True,True,2020-03-10 21:12:33+00:00
149,173,14,0,0,0,0,True,True,True,2020-03-10 21:14:54+00:00
150,174,8,0,0,7,0,True,True,True,2020-03-10 21:11:38+00:00
151,175,7,0,1,9,0,True,True,True,2020-03-10 21:18:49+00:00
152,176,1,0,1,13,0,True,True,True,2020-03-10 21:02:08+00:00
153,177,15,0,0,4,0,True,True,True,2020-03-10 21:22:48+00:00
154,178,0,0,1,18,0,True,True,True,2020-03-10 21:20:48+00:00
155,179,10,0,0,15,0,True,True,True,2020-03-10 21:15:44+00:00
156,180,7,0,0,12,0,True,True,True,2020-03-10 21:14:19+00:00
