,num_bikes_disabled,station_status,station_id,legacy_id,num_docks_disabled,is_returning,last_reported,num_ebikes_available,is_installed,num_docks_available,num_bikes_available,eightd_has_available_keys,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
221,0,active,330,330,0,True,2020-08-20 19:14:06+00:00,0,True,12,3,False,True,,,2020-08-20 20:09:10,2020
222,0,active,331,331,0,True,2020-08-20 20:07:31+00:00,0,True,7,8,False,True,,,2020-08-20 20:09:10,2020
223,0,active,332,332,0,True,2020-08-20 20:08:02+00:00,0,True,1,14,False,True,,,2020-08-20 20:09:10,2020
224,0,active,333,333,0,True,2020-08-20 19:42:20+00:00,0,True,8,17,False,True,,,2020-08-20 20:09:10,2020
225,0,active,334,334,0,True,2020-08-20 19:10:18+00:00,0,True,1,18,False,True,,,2020-08-20 20:09:10,2020
226,0,active,335,335,0,True,2020-08-20 20:03:33+00:00,0,True,11,8,False,True,,,2020-08-20 20:09:10,2020
227,0,active,336,336,0,True,2020-08-20 20:04:15+00:00,0,True,12,3,False,True,,,2020-08-20 20:09:10,2020
228,0,active,337,337,0,True,2020-08-20 11:47:32+00:00,0,True,2,13,False,True,,,2020-08-20 20:09:10,2020
229,0,active,338,338,0,True,2020-08-20 19:56:30+00:00,0,True,13,2,False,True,,,2020-08-20 20:09:10,2020
230,0,active,339,339,0,True,2020-08-20 15:22:04+00:00,0,True,0,15,False,True,,,2020-08-20 20:09:10,2020
231,0,active,340,340,0,True,2020-08-20 08:51:25+00:00,0,True,5,14,False,True,,,2020-08-20 20:09:10,2020
232,0,active,341,341,0,True,2020-08-20 10:20:54+00:00,0,True,3,12,True,True,,,2020-08-20 20:09:10,2020
233,3,active,342,342,0,True,2020-08-20 20:08:11+00:00,0,True,8,4,False,True,,,2020-08-20 20:09:10,2020
234,0,active,343,343,0,True,2020-08-20 05:26:24+00:00,0,True,12,3,False,True,,,2020-08-20 20:09:10,2020
235,0,active,344,344,0,True,2020-08-20 18:28:26+00:00,0,True,14,5,False,True,,,2020-08-20 20:09:10,2020
236,0,active,345,345,0,True,2020-08-20 20:03:53+00:00,0,True,2,17,False,True,,,2020-08-20 20:09:10,2020
237,0,active,346,346,0,True,2020-08-20 19:05:58+00:00,0,True,11,4,False,True,,,2020-08-20 20:09:10,2020
238,0,active,347,347,0,True,2020-08-20 11:58:38+00:00,0,True,5,10,False,True,,,2020-08-20 20:09:10,2020
239,0,active,348,348,0,True,2020-08-20 17:04:21+00:00,0,True,9,6,False,True,,,2020-08-20 20:09:10,2020
240,0,active,349,349,0,True,2020-08-20 14:18:20+00:00,0,True,11,6,False,True,,,2020-08-20 20:09:10,2020
241,0,active,350,350,0,True,2020-08-20 19:57:02+00:00,0,True,7,10,False,True,,,2020-08-20 20:09:10,2020
242,0,active,351,351,0,True,2020-08-20 16:12:15+00:00,0,True,4,11,False,True,,,2020-08-20 20:09:10,2020
243,0,active,352,352,0,True,2020-08-20 20:08:09+00:00,0,True,6,9,False,True,,,2020-08-20 20:09:10,2020
244,0,active,353,353,0,True,2020-08-20 16:48:31+00:00,0,True,7,8,True,True,,,2020-08-20 20:09:10,2020
245,0,active,354,354,0,True,2020-08-20 19:52:14+00:00,0,True,15,0,False,True,,,2020-08-20 20:09:10,2020
246,0,active,355,355,0,True,2020-08-20 19:38:45+00:00,0,True,1,16,False,True,,,2020-08-20 20:09:10,2020
247,1,active,356,356,0,True,2020-08-20 20:06:34+00:00,0,True,12,10,False,True,,,2020-08-20 20:09:10,2020
248,0,active,357,357,0,True,2020-08-20 19:44:26+00:00,0,True,5,10,False,True,,,2020-08-20 20:09:10,2020
249,0,active,358,358,0,True,2020-08-20 19:57:00+00:00,0,True,10,9,False,True,,,2020-08-20 20:09:10,2020
250,0,active,359,359,0,True,2020-08-20 20:03:11+00:00,0,True,8,7,False,True,,,2020-08-20 20:09:10,2020
251,0,active,360,360,0,True,2020-08-20 19:22:20+00:00,0,True,10,5,False,True,,,2020-08-20 20:09:10,2020
252,1,active,361,361,0,True,2020-08-20 19:46:00+00:00,0,True,9,9,False,True,,,2020-08-20 20:09:10,2020
253,3,active,362,362,0,True,2020-08-20 19:48:43+00:00,0,True,6,10,False,True,,,2020-08-20 20:09:10,2020
254,0,active,363,363,0,True,2020-08-20 19:37:12+00:00,0,True,3,16,False,True,,,2020-08-20 20:09:10,2020
255,0,active,364,364,0,True,2020-08-20 20:01:25+00:00,0,True,16,3,False,True,,,2020-08-20 20:09:10,2020
256,0,active,365,365,0,True,2020-08-20 20:07:15+00:00,0,True,1,18,False,True,,,2020-08-20 20:09:10,2020
257,0,out_of_service,366,366,0,True,1970-01-02 00:00:00+00:00,0,False,0,0,False,True,,,2020-08-20 20:09:10,1970
258,0,active,367,367,0,True,2020-08-20 19:08:17+00:00,0,True,3,16,False,True,,,2020-08-20 20:09:10,2020
259,0,active,368,368,0,True,2020-08-20 19:33:42+00:00,0,True,10,5,False,True,,,2020-08-20 20:09:10,2020
260,0,active,369,369,0,True,2020-08-20 20:06:19+00:00,0,True,15,0,False,True,,,2020-08-20 20:09:10,2020
261,0,active,370,370,0,True,2020-08-20 19:57:20+00:00,0,True,9,10,False,True,,,2020-08-20 20:09:10,2020
262,0,active,371,371,0,True,2020-08-20 18:04:37+00:00,0,True,17,2,False,True,,,2020-08-20 20:09:10,2020
263,1,active,372,372,0,True,2020-08-20 19:44:05+00:00,0,True,12,6,False,True,,,2020-08-20 20:09:10,2020
264,0,active,373,373,0,True,2020-08-20 12:11:08+00:00,0,True,8,7,False,True,,,2020-08-20 20:09:10,2020
265,0,active,374,374,0,True,2020-08-20 20:06:42+00:00,0,True,18,1,False,True,,,2020-08-20 20:09:10,2020
266,0,active,376,376,0,True,2020-08-20 19:58:52+00:00,0,True,10,5,False,True,,,2020-08-20 20:09:10,2020
267,0,active,377,377,0,True,2020-08-20 19:16:00+00:00,0,True,15,4,False,True,,,2020-08-20 20:09:10,2020
268,0,active,378,378,0,True,2020-08-20 18:58:24+00:00,0,True,15,4,False,True,,,2020-08-20 20:09:10,2020
269,0,active,379,379,0,True,2020-08-20 19:58:19+00:00,0,True,8,7,False,True,,,2020-08-20 20:09:10,2020
270,1,active,380,380,0,True,2020-08-20 19:46:35+00:00,0,True,4,13,False,True,,,2020-08-20 20:09:10,2020
271,0,active,381,381,0,True,2020-08-20 20:04:00+00:00,0,True,14,5,False,True,,,2020-08-20 20:09:10,2020
272,0,active,384,384,0,True,2020-08-20 19:37:55+00:00,0,True,6,13,True,True,,,2020-08-20 20:09:10,2020
273,0,active,385,385,1,True,2020-08-20 19:54:35+00:00,0,True,7,7,False,True,,,2020-08-20 20:09:10,2020
274,0,active,386,386,0,True,2020-08-20 19:57:08+00:00,0,True,17,2,False,True,,,2020-08-20 20:09:10,2020
275,0,active,387,387,0,True,2020-08-20 17:27:45+00:00,0,True,4,11,False,True,,,2020-08-20 20:09:10,2020
276,0,active,388,388,0,True,2020-08-20 09:01:03+00:00,0,True,3,8,False,True,,,2020-08-20 20:09:10,2020
277,0,active,389,389,0,True,2020-08-20 08:55:40+00:00,0,True,9,5,False,True,,,2020-08-20 20:09:10,2020
278,0,active,390,390,0,True,2020-08-20 12:33:16+00:00,0,True,6,9,False,True,,,2020-08-20 20:09:10,2020
279,0,active,391,391,0,True,2020-08-20 20:02:27+00:00,0,True,2,13,False,True,,,2020-08-20 20:09:10,2020
280,0,active,392,392,0,True,2020-08-20 18:02:43+00:00,0,True,10,5,False,True,,,2020-08-20 20:09:10,2020
281,0,active,393,393,0,True,2020-08-20 19:44:08+00:00,0,True,7,8,False,True,,,2020-08-20 20:09:10,2020
282,0,active,394,394,0,True,2020-08-20 09:00:38+00:00,0,True,14,0,False,True,,,2020-08-20 20:09:10,2020
283,0,active,395,395,0,True,2020-08-20 18:55:51+00:00,0,True,2,13,False,True,,,2020-08-20 20:09:10,2020
284,0,active,396,396,0,True,2020-08-20 08:56:31+00:00,0,True,2,13,False,True,,,2020-08-20 20:09:10,2020
285,0,active,397,397,0,True,2020-08-20 10:44:00+00:00,0,True,5,10,False,True,,,2020-08-20 20:09:10,2020
