,is_returning,is_installed,num_docks_available,is_renting,last_reported,num_bikes_disabled,num_bikes_available,legacy_id,station_id,num_docks_disabled,station_status,eightd_has_available_keys,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
179,True,True,14,True,2020-08-04 19:07:41+00:00,0,9,206,206,0,active,False,0,,,2020-08-04 19:14:40,2020
180,True,True,0,True,2020-08-04 18:08:42+00:00,0,15,208,208,0,active,True,0,,,2020-08-04 19:14:40,2020
181,True,True,6,True,2020-08-04 19:03:01+00:00,0,9,209,209,0,active,False,0,,,2020-08-04 19:14:40,2020
182,True,True,13,True,2020-08-04 18:57:17+00:00,1,1,210,210,0,active,False,0,,,2020-08-04 19:14:40,2020
183,True,True,4,True,2020-08-04 18:54:27+00:00,0,15,211,211,0,active,False,0,,,2020-08-04 19:14:40,2020
184,True,True,10,True,2020-08-04 19:00:35+00:00,0,23,212,212,0,active,False,0,,,2020-08-04 19:14:40,2020
185,True,True,11,True,2020-08-04 17:54:14+00:00,0,5,213,213,0,active,True,0,,,2020-08-04 19:14:40,2020
186,True,True,5,True,2020-08-04 19:14:17+00:00,0,10,214,214,0,active,False,0,,,2020-08-04 19:14:40,2020
187,True,True,0,True,2020-08-04 19:07:32+00:00,0,15,215,215,0,active,False,0,,,2020-08-04 19:14:40,2020
188,True,True,7,True,2020-08-04 18:10:19+00:00,0,12,216,216,0,active,False,0,,,2020-08-04 19:14:40,2020
189,True,True,2,True,2020-08-04 18:52:13+00:00,1,16,217,217,0,active,False,0,,,2020-08-04 19:14:40,2020
190,True,True,7,True,2020-08-04 18:38:02+00:00,1,7,218,218,0,active,False,0,,,2020-08-04 19:14:40,2020
191,True,True,8,True,2020-08-04 08:56:33+00:00,0,7,219,219,0,active,False,0,,,2020-08-04 19:14:40,2020
192,True,True,11,True,2020-08-04 19:08:56+00:00,0,8,221,221,0,active,False,0,,,2020-08-04 19:14:40,2020
193,True,True,10,True,2020-08-04 19:04:32+00:00,0,4,222,222,0,active,True,0,,,2020-08-04 19:14:40,2020
194,True,True,12,True,2020-08-04 18:37:56+00:00,0,5,224,224,0,active,False,0,,,2020-08-04 19:14:40,2020
195,True,True,18,True,2020-08-04 18:06:37+00:00,0,1,225,225,0,active,False,0,,,2020-08-04 19:14:40,2020
196,True,True,14,True,2020-08-04 19:12:05+00:00,1,0,226,226,0,active,False,0,,,2020-08-04 19:14:40,2020
197,True,True,18,True,2020-08-04 19:12:33+00:00,0,1,227,227,0,active,False,0,,,2020-08-04 19:14:40,2020
198,True,True,3,True,2020-08-04 17:03:22+00:00,1,15,228,228,0,active,False,0,,,2020-08-04 19:14:40,2020
199,True,True,9,True,2020-08-04 18:35:54+00:00,0,2,232,232,0,active,False,0,,,2020-08-04 19:14:40,2020
200,True,True,10,True,2020-08-04 18:53:42+00:00,0,4,233,233,1,active,False,0,,,2020-08-04 19:14:40,2020
201,True,True,13,True,2020-08-04 18:48:07+00:00,0,2,234,234,0,active,False,0,,,2020-08-04 19:14:40,2020
202,True,True,11,True,2020-08-04 18:56:45+00:00,1,3,235,235,0,active,False,0,,,2020-08-04 19:14:40,2020
203,True,True,5,True,2020-08-04 18:31:25+00:00,0,10,236,236,0,active,False,0,,,2020-08-04 19:14:40,2020
204,True,True,5,True,2020-08-04 19:03:46+00:00,0,10,239,239,0,active,False,0,,,2020-08-04 19:14:40,2020
205,True,True,2,True,2020-08-04 18:43:38+00:00,0,13,255,255,0,active,False,0,,,2020-08-04 19:14:40,2020
206,True,True,1,True,2020-08-04 18:56:26+00:00,0,14,258,258,0,active,False,0,,,2020-08-04 19:14:40,2020
207,True,True,15,True,2020-08-04 09:01:37+00:00,0,0,259,259,0,active,False,0,,,2020-08-04 19:14:40,2020
208,True,True,14,True,2020-08-04 18:56:16+00:00,0,1,260,260,0,active,False,0,,,2020-08-04 19:14:40,2020
209,True,True,8,True,2020-08-04 18:48:00+00:00,0,7,271,271,0,active,False,0,,,2020-08-04 19:14:40,2020
210,True,True,15,True,2020-08-04 18:50:11+00:00,0,4,272,272,0,active,False,0,,,2020-08-04 19:14:40,2020
211,True,True,14,True,2020-08-04 19:08:07+00:00,1,25,273,273,0,active,False,0,,,2020-08-04 19:14:40,2020
212,True,True,17,True,2020-08-04 18:59:10+00:00,0,2,279,279,0,active,False,0,,,2020-08-04 19:14:40,2020
213,True,True,12,True,2020-08-04 19:10:06+00:00,0,7,280,280,0,active,False,0,,,2020-08-04 19:14:40,2020
214,True,True,2,True,2020-08-04 18:55:14+00:00,0,13,282,282,0,active,False,0,,,2020-08-04 19:14:40,2020
215,True,True,15,True,2020-08-04 17:24:45+00:00,1,7,296,296,0,active,False,0,,,2020-08-04 19:14:40,2020
216,True,True,3,True,2020-08-04 19:08:45+00:00,0,16,318,318,0,active,False,0,,,2020-08-04 19:14:40,2020
217,True,True,14,True,2020-08-04 18:17:46+00:00,0,11,319,319,0,active,False,0,,,2020-08-04 19:14:40,2020
218,True,True,9,True,2020-08-04 18:10:52+00:00,0,6,327,327,0,active,False,0,,,2020-08-04 19:14:40,2020
