,num_docks_disabled,is_renting,is_returning,num_bikes_available,eightd_has_available_keys,station_id,is_installed,station_status,last_reported,num_bikes_disabled,num_docks_available,legacy_id,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
100,0,True,True,5,False,111,True,active,2020-08-20 18:13:42+00:00,0,10,111,0,,,2020-08-20 20:39:50,2020
101,0,True,True,3,False,112,True,active,2020-08-20 20:36:03+00:00,0,12,112,0,,,2020-08-20 20:39:50,2020
102,0,True,True,12,False,113,True,active,2020-08-20 20:23:43+00:00,1,2,113,0,,,2020-08-20 20:39:50,2020
103,0,True,True,4,False,114,True,active,2020-08-20 20:22:42+00:00,0,11,114,0,,,2020-08-20 20:39:50,2020
104,0,True,True,4,False,115,True,active,2020-08-20 20:34:19+00:00,0,15,115,0,,,2020-08-20 20:39:50,2020
105,0,True,True,3,False,116,True,active,2020-08-20 20:28:43+00:00,0,20,116,0,,,2020-08-20 20:39:50,2020
106,0,True,True,5,False,117,True,active,2020-08-20 20:37:27+00:00,0,14,117,0,,,2020-08-20 20:39:50,2020
107,0,True,True,7,False,118,True,active,2020-08-20 20:33:55+00:00,0,12,118,0,,,2020-08-20 20:39:50,2020
108,0,True,True,4,False,119,True,active,2020-08-20 20:05:43+00:00,0,11,119,0,,,2020-08-20 20:39:50,2020
109,0,True,True,6,False,120,True,active,2020-08-20 20:34:42+00:00,0,9,120,0,,,2020-08-20 20:39:50,2020
110,0,True,True,3,False,121,True,active,2020-08-20 20:36:04+00:00,1,13,121,0,,,2020-08-20 20:39:50,2020
111,0,True,True,14,False,122,True,active,2020-08-20 20:07:52+00:00,0,1,122,0,,,2020-08-20 20:39:50,2020
112,0,True,True,0,False,124,True,active,2020-08-20 19:43:43+00:00,0,15,124,0,,,2020-08-20 20:39:50,2020
113,0,True,True,0,False,125,True,active,2020-08-20 20:29:12+00:00,1,14,125,0,,,2020-08-20 20:39:50,2020
114,0,True,True,12,False,126,True,active,2020-08-20 19:28:56+00:00,2,1,126,0,,,2020-08-20 20:39:50,2020
115,0,True,True,9,False,128,True,active,2020-08-20 20:35:30+00:00,0,10,128,0,,,2020-08-20 20:39:50,2020
116,0,True,True,0,False,129,True,active,2020-08-20 20:34:34+00:00,0,19,129,0,,,2020-08-20 20:39:50,2020
117,0,True,True,12,False,130,True,active,2020-08-20 20:23:12+00:00,0,3,130,0,,,2020-08-20 20:39:50,2020
118,0,True,True,8,False,131,True,active,2020-08-20 20:35:02+00:00,0,10,131,0,,,2020-08-20 20:39:50,2020
119,0,True,True,12,False,133,True,active,2020-08-20 18:52:00+00:00,1,10,133,0,,,2020-08-20 20:39:50,2020
120,0,True,True,3,False,135,True,active,2020-08-20 20:19:30+00:00,0,14,135,0,,,2020-08-20 20:39:50,2020
121,0,True,True,3,False,136,True,active,2020-08-20 20:25:03+00:00,0,16,136,0,,,2020-08-20 20:39:50,2020
122,0,True,True,4,False,137,True,active,2020-08-20 20:26:54+00:00,0,11,137,0,,,2020-08-20 20:39:50,2020
123,0,True,True,9,False,138,True,active,2020-08-20 20:39:27+00:00,0,6,138,0,,,2020-08-20 20:39:50,2020
124,0,True,True,4,False,139,True,active,2020-08-20 20:15:22+00:00,0,15,139,0,,,2020-08-20 20:39:50,2020
125,0,True,True,11,False,140,True,active,2020-08-20 20:21:10+00:00,0,6,140,0,,,2020-08-20 20:39:50,2020
126,0,True,True,7,False,141,True,active,2020-08-20 20:39:40+00:00,0,8,141,0,,,2020-08-20 20:39:50,2020
127,0,True,True,15,False,142,True,active,2020-08-20 20:00:53+00:00,0,8,142,0,,,2020-08-20 20:39:50,2020
128,0,True,True,8,False,143,True,active,2020-08-20 20:37:05+00:00,0,15,143,0,,,2020-08-20 20:39:50,2020
129,0,True,True,15,False,144,True,active,2020-08-20 19:39:43+00:00,0,4,144,0,,,2020-08-20 20:39:50,2020
130,0,True,True,11,False,145,True,active,2020-08-20 20:32:41+00:00,0,8,145,0,,,2020-08-20 20:39:50,2020
131,0,True,True,12,False,146,True,active,2020-08-20 20:39:17+00:00,0,7,146,0,,,2020-08-20 20:39:50,2020
132,0,True,True,3,True,149,True,active,2020-08-20 20:38:03+00:00,1,14,149,0,,,2020-08-20 20:39:50,2020
133,0,True,True,10,False,150,True,active,2020-08-20 20:14:04+00:00,0,9,150,0,,,2020-08-20 20:39:50,2020
134,0,True,True,3,False,151,True,active,2020-08-20 20:23:24+00:00,0,16,151,0,,,2020-08-20 20:39:50,2020
135,0,True,True,11,True,152,True,active,2020-08-20 20:34:36+00:00,0,4,152,0,,,2020-08-20 20:39:50,2020
136,0,True,True,7,False,156,True,active,2020-08-20 19:43:03+00:00,1,7,156,0,,,2020-08-20 20:39:50,2020
137,0,True,True,4,False,157,True,active,2020-08-20 20:36:09+00:00,0,11,157,0,,,2020-08-20 20:39:50,2020
138,0,True,True,0,False,159,True,active,2020-08-20 20:34:42+00:00,0,15,159,0,,,2020-08-20 20:39:50,2020
139,0,True,True,6,True,160,True,active,2020-08-20 20:39:16+00:00,0,8,160,0,,,2020-08-20 20:39:50,2020
