,legacy_id,is_renting,num_bikes_available,station_status,num_docks_disabled,eightd_has_available_keys,num_ebikes_available,is_installed,station_id,last_reported,num_bikes_disabled,is_returning,num_docks_available,timestamp_of_data_read_request,year_station_last_reported
265,374,True,0,active,0,False,0,True,374,2020-08-12 22:21:25+00:00,0,True,19,2020-08-12 22:59:55,2020
266,376,True,10,active,0,False,0,True,376,2020-08-12 22:48:13+00:00,1,True,4,2020-08-12 22:59:55,2020
267,377,True,11,active,0,False,0,True,377,2020-08-12 22:54:06+00:00,0,True,8,2020-08-12 22:59:55,2020
268,378,True,7,active,0,False,0,True,378,2020-08-12 22:52:32+00:00,1,True,11,2020-08-12 22:59:55,2020
269,379,True,10,active,0,False,0,True,379,2020-08-12 22:55:08+00:00,0,True,5,2020-08-12 22:59:55,2020
270,380,True,3,active,0,False,0,True,380,2020-08-12 22:57:01+00:00,0,True,15,2020-08-12 22:59:55,2020
271,381,True,10,active,0,False,0,True,381,2020-08-12 22:50:34+00:00,0,True,9,2020-08-12 22:59:55,2020
272,384,True,3,active,0,True,0,True,384,2020-08-12 22:55:13+00:00,0,True,16,2020-08-12 22:59:55,2020
273,385,True,1,active,1,False,0,True,385,2020-08-12 21:54:28+00:00,1,True,12,2020-08-12 22:59:55,2020
274,386,True,2,active,0,False,0,True,386,2020-08-12 22:56:37+00:00,0,True,17,2020-08-12 22:59:55,2020
275,387,True,10,active,0,False,0,True,387,2020-08-12 22:56:58+00:00,1,True,4,2020-08-12 22:59:55,2020
276,388,True,4,active,0,False,0,True,388,2020-08-12 08:57:42+00:00,0,True,7,2020-08-12 22:59:55,2020
277,389,True,11,active,0,False,0,True,389,2020-08-12 19:51:34+00:00,0,True,3,2020-08-12 22:59:55,2020
278,390,True,14,active,0,False,0,True,390,2020-08-12 19:23:05+00:00,0,True,1,2020-08-12 22:59:55,2020
279,391,True,13,active,0,False,0,True,391,2020-08-12 21:20:47+00:00,0,True,2,2020-08-12 22:59:55,2020
280,392,True,6,active,0,False,0,True,392,2020-08-12 19:41:13+00:00,0,True,9,2020-08-12 22:59:55,2020
281,393,True,6,active,0,False,0,True,393,2020-08-12 15:19:15+00:00,1,True,8,2020-08-12 22:59:55,2020
282,394,True,2,active,0,False,0,True,394,2020-08-12 08:58:35+00:00,0,True,12,2020-08-12 22:59:55,2020
283,395,True,10,active,0,False,0,True,395,2020-08-12 15:00:11+00:00,0,True,5,2020-08-12 22:59:55,2020
284,396,True,12,active,0,False,0,True,396,2020-08-12 08:58:34+00:00,0,True,3,2020-08-12 22:59:55,2020
285,397,True,8,active,0,False,0,True,397,2020-08-12 22:11:10+00:00,0,True,7,2020-08-12 22:59:55,2020
286,398,True,10,active,0,False,0,True,398,2020-08-12 22:41:17+00:00,0,True,9,2020-08-12 22:59:55,2020
287,399,True,6,active,0,False,0,True,399,2020-08-12 22:49:33+00:00,0,True,9,2020-08-12 22:59:55,2020
288,400,True,7,active,0,False,0,True,400,2020-08-12 22:33:21+00:00,0,True,20,2020-08-12 22:59:55,2020
289,401,True,3,active,0,False,0,True,401,2020-08-12 22:57:31+00:00,0,True,12,2020-08-12 22:59:55,2020
