,station_status,eightd_has_available_keys,num_bikes_disabled,num_docks_available,is_returning,num_bikes_available,legacy_id,last_reported,num_docks_disabled,is_installed,num_ebikes_available,is_renting,station_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
119,active,False,1,17,True,5,133,2020-07-28 21:05:16+00:00,0,True,0,True,133,,,2020-07-28 21:12:55,2020
120,active,False,1,10,True,6,135,2020-07-28 20:33:14+00:00,0,True,0,True,135,,,2020-07-28 21:12:55,2020
121,active,False,1,0,True,18,136,2020-07-28 18:00:55+00:00,0,True,0,True,136,,,2020-07-28 21:12:55,2020
122,active,False,0,12,True,3,137,2020-07-28 19:57:40+00:00,0,True,0,True,137,,,2020-07-28 21:12:55,2020
123,active,False,1,9,True,5,138,2020-07-28 20:57:39+00:00,0,True,0,True,138,,,2020-07-28 21:12:55,2020
124,active,False,1,11,True,7,139,2020-07-28 21:07:13+00:00,0,True,0,True,139,,,2020-07-28 21:12:55,2020
125,active,False,1,8,True,8,140,2020-07-28 19:18:50+00:00,0,True,0,True,140,,,2020-07-28 21:12:55,2020
126,active,False,1,8,True,6,141,2020-07-28 21:08:29+00:00,0,True,0,True,141,,,2020-07-28 21:12:55,2020
127,active,False,1,3,True,19,142,2020-07-28 18:31:53+00:00,0,True,0,True,142,,,2020-07-28 21:12:55,2020
128,active,False,0,17,True,6,143,2020-07-28 20:57:00+00:00,0,True,0,True,143,,,2020-07-28 21:12:55,2020
129,active,False,0,8,True,11,144,2020-07-28 21:11:18+00:00,0,True,0,True,144,,,2020-07-28 21:12:55,2020
130,active,False,0,15,True,4,145,2020-07-28 19:36:31+00:00,0,True,0,True,145,,,2020-07-28 21:12:55,2020
131,active,False,0,9,True,10,146,2020-07-28 21:10:27+00:00,0,True,0,True,146,,,2020-07-28 21:12:55,2020
132,active,True,0,16,True,2,149,2020-07-28 20:50:59+00:00,0,True,0,True,149,,,2020-07-28 21:12:55,2020
133,active,False,0,7,True,12,150,2020-07-28 18:15:42+00:00,0,True,0,True,150,,,2020-07-28 21:12:55,2020
134,active,False,0,9,True,10,151,2020-07-28 21:07:56+00:00,0,True,0,True,151,,,2020-07-28 21:12:55,2020
135,active,True,0,6,True,9,152,2020-07-28 19:18:42+00:00,0,True,0,True,152,,,2020-07-28 21:12:55,2020
136,active,False,0,5,True,10,156,2020-07-28 20:26:20+00:00,0,True,0,True,156,,,2020-07-28 21:12:55,2020
137,active,False,4,3,True,8,157,2020-07-28 21:12:34+00:00,0,True,0,True,157,,,2020-07-28 21:12:55,2020
138,active,False,1,12,True,2,159,2020-07-28 20:38:09+00:00,0,True,0,True,159,,,2020-07-28 21:12:55,2020
139,active,True,1,9,True,4,160,2020-07-28 20:52:56+00:00,0,True,0,True,160,,,2020-07-28 21:12:55,2020
140,active,True,2,8,True,13,161,2020-07-28 21:01:07+00:00,0,True,0,True,161,,,2020-07-28 21:12:55,2020
141,active,False,0,8,True,7,162,2020-07-28 20:36:22+00:00,0,True,0,True,162,,,2020-07-28 21:12:55,2020
142,active,True,0,16,True,3,163,2020-07-28 20:49:29+00:00,0,True,0,True,163,,,2020-07-28 21:12:55,2020
143,active,False,2,6,True,7,167,2020-07-28 20:55:25+00:00,0,True,0,True,167,,,2020-07-28 21:12:55,2020
144,active,False,1,8,True,10,169,2020-07-28 19:22:33+00:00,0,True,0,True,169,,,2020-07-28 21:12:55,2020
145,active,True,0,13,True,1,170,2020-07-28 17:46:22+00:00,0,True,0,True,170,,,2020-07-28 21:12:55,2020
146,active,True,1,16,True,6,171,2020-07-28 20:46:05+00:00,0,True,0,True,171,,,2020-07-28 21:12:55,2020
147,active,True,0,7,True,7,173,2020-07-28 20:02:29+00:00,0,True,0,True,173,,,2020-07-28 21:12:55,2020
148,active,False,0,9,True,6,174,2020-07-28 21:11:55+00:00,0,True,0,True,174,,,2020-07-28 21:12:55,2020
149,active,True,0,17,True,0,175,2020-07-28 20:53:19+00:00,0,True,0,True,175,,,2020-07-28 21:12:55,2020
150,active,False,0,2,True,13,176,2020-07-28 20:12:33+00:00,0,True,0,True,176,,,2020-07-28 21:12:55,2020
151,active,False,0,14,True,5,177,2020-07-28 21:09:36+00:00,0,True,0,True,177,,,2020-07-28 21:12:55,2020
152,active,False,1,12,True,6,178,2020-07-28 21:08:49+00:00,0,True,0,True,178,,,2020-07-28 21:12:55,2020
153,active,False,0,18,True,7,179,2020-07-28 21:08:55+00:00,0,True,0,True,179,,,2020-07-28 21:12:55,2020
154,active,False,0,9,True,10,180,2020-07-28 21:00:41+00:00,0,True,0,True,180,,,2020-07-28 21:12:55,2020
155,active,False,0,11,True,8,181,2020-07-28 20:44:20+00:00,0,True,0,True,181,,,2020-07-28 21:12:55,2020
156,active,True,0,10,True,9,182,2020-07-28 19:58:47+00:00,0,True,0,True,182,,,2020-07-28 21:12:55,2020
157,active,False,0,16,True,3,183,2020-07-28 21:03:56+00:00,0,True,0,True,183,,,2020-07-28 21:12:55,2020
158,active,False,0,10,True,9,184,2020-07-28 21:11:15+00:00,0,True,0,True,184,,,2020-07-28 21:12:55,2020
159,active,False,0,14,True,1,185,2020-07-28 21:03:01+00:00,0,True,0,True,185,,,2020-07-28 21:12:55,2020
160,active,True,0,5,True,10,186,2020-07-28 20:59:23+00:00,0,True,0,True,186,,,2020-07-28 21:12:55,2020
161,active,False,0,9,True,6,187,2020-07-28 19:51:33+00:00,0,True,0,True,187,,,2020-07-28 21:12:55,2020
162,active,False,0,5,True,10,188,2020-07-28 18:42:44+00:00,0,True,0,True,188,,,2020-07-28 21:12:55,2020
163,active,True,1,8,True,14,189,2020-07-28 21:03:30+00:00,0,True,0,True,189,,,2020-07-28 21:12:55,2020
164,active,True,1,17,True,19,190,2020-07-28 21:08:39+00:00,0,True,0,True,190,,,2020-07-28 21:12:55,2020
165,active,False,0,13,True,2,191,2020-07-28 20:55:54+00:00,0,True,0,True,191,,,2020-07-28 21:12:55,2020
166,active,False,0,8,True,11,192,2020-07-28 20:56:33+00:00,0,True,0,True,192,,,2020-07-28 21:12:55,2020
167,active,True,0,1,True,14,193,2020-07-28 21:06:21+00:00,0,True,0,True,193,,,2020-07-28 21:12:55,2020
168,active,False,0,1,True,18,194,2020-07-28 19:53:11+00:00,0,True,0,True,194,,,2020-07-28 21:12:55,2020
169,active,False,0,17,True,6,195,2020-07-28 21:10:21+00:00,0,True,0,True,195,,,2020-07-28 21:12:55,2020
170,active,True,0,9,True,1,196,2020-07-28 19:32:19+00:00,0,True,0,True,196,,,2020-07-28 21:12:55,2020
171,active,False,0,14,True,1,197,2020-07-28 19:38:35+00:00,0,True,0,True,197,,,2020-07-28 21:12:55,2020
172,active,False,0,12,True,3,199,2020-07-28 19:44:57+00:00,0,True,0,True,199,,,2020-07-28 21:12:55,2020
173,active,False,0,2,True,17,200,2020-07-28 21:05:36+00:00,0,True,0,True,200,,,2020-07-28 21:12:55,2020
174,active,False,0,14,True,1,201,2020-07-28 18:49:12+00:00,0,True,0,True,201,,,2020-07-28 21:12:55,2020
175,active,False,1,11,True,3,202,2020-07-28 14:43:09+00:00,0,True,0,True,202,,,2020-07-28 21:12:55,2020
176,active,False,0,13,True,2,203,2020-07-28 08:58:21+00:00,0,True,0,True,203,,,2020-07-28 21:12:55,2020
177,active,False,0,15,True,0,204,2020-07-28 21:11:55+00:00,0,True,0,True,204,,,2020-07-28 21:12:55,2020
178,active,False,1,11,True,3,205,2020-07-28 12:30:54+00:00,0,True,0,True,205,,,2020-07-28 21:12:55,2020
179,active,False,0,15,True,8,206,2020-07-28 21:03:35+00:00,0,True,0,True,206,,,2020-07-28 21:12:55,2020
180,active,True,0,3,True,12,208,2020-07-28 16:23:20+00:00,0,True,0,True,208,,,2020-07-28 21:12:55,2020
181,active,False,1,3,True,11,209,2020-07-28 21:07:40+00:00,0,True,0,True,209,,,2020-07-28 21:12:55,2020
182,active,False,0,15,True,0,210,2020-07-28 13:53:23+00:00,0,True,0,True,210,,,2020-07-28 21:12:55,2020
183,active,False,1,3,True,15,211,2020-07-28 21:07:16+00:00,0,True,0,True,211,,,2020-07-28 21:12:55,2020
184,active,False,0,30,True,3,212,2020-07-28 20:53:30+00:00,0,True,0,True,212,,,2020-07-28 21:12:55,2020
185,active,True,0,7,True,9,213,2020-07-28 20:32:14+00:00,0,True,0,True,213,,,2020-07-28 21:12:55,2020
186,active,False,0,5,True,10,214,2020-07-28 19:59:13+00:00,0,True,0,True,214,,,2020-07-28 21:12:55,2020
187,active,False,1,0,True,14,215,2020-07-28 17:42:05+00:00,0,True,0,True,215,,,2020-07-28 21:12:55,2020
188,active,False,1,3,True,15,216,2020-07-28 12:48:44+00:00,0,True,0,True,216,,,2020-07-28 21:12:55,2020
189,active,False,0,12,True,7,217,2020-07-28 20:54:30+00:00,0,True,0,True,217,,,2020-07-28 21:12:55,2020
190,active,False,0,7,True,8,218,2020-07-28 21:09:16+00:00,0,True,0,True,218,,,2020-07-28 21:12:55,2020
191,active,False,0,2,True,13,219,2020-07-28 19:42:26+00:00,0,True,0,True,219,,,2020-07-28 21:12:55,2020
