,is_installed,last_reported,num_bikes_available,num_ebikes_available,station_id,num_bikes_disabled,station_status,is_returning,legacy_id,num_docks_disabled,eightd_has_available_keys,num_docks_available,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
240,True,2020-07-29 16:21:16+00:00,3,0,349,0,active,True,349,0,True,14,True,,,2020-07-29 22:09:40,2020
241,True,2020-07-29 21:49:50+00:00,3,0,350,0,active,True,350,0,False,14,True,,,2020-07-29 22:09:40,2020
242,True,2020-07-29 20:14:54+00:00,4,0,351,0,active,True,351,0,False,11,True,,,2020-07-29 22:09:40,2020
243,True,2020-07-29 22:02:15+00:00,7,0,352,0,active,True,352,0,False,8,True,,,2020-07-29 22:09:40,2020
244,True,2020-07-29 22:07:04+00:00,12,0,353,0,active,True,353,0,True,3,True,,,2020-07-29 22:09:40,2020
245,True,2020-07-29 21:41:10+00:00,1,0,354,0,active,True,354,0,False,14,True,,,2020-07-29 22:09:40,2020
246,True,2020-07-29 20:24:25+00:00,12,0,355,0,active,True,355,0,False,5,True,,,2020-07-29 22:09:40,2020
247,True,2020-07-29 22:03:56+00:00,16,0,356,0,active,True,356,0,False,7,True,,,2020-07-29 22:09:40,2020
248,True,2020-07-29 21:56:18+00:00,12,0,357,0,active,True,357,0,False,3,True,,,2020-07-29 22:09:40,2020
249,True,2020-07-29 21:18:59+00:00,5,0,358,0,active,True,358,0,False,14,True,,,2020-07-29 22:09:40,2020
250,True,2020-07-29 22:08:30+00:00,1,0,359,0,active,True,359,0,False,14,True,,,2020-07-29 22:09:40,2020
251,True,2020-07-29 21:56:20+00:00,2,0,360,0,active,True,360,0,False,13,True,,,2020-07-29 22:09:40,2020
252,True,2020-07-29 22:05:02+00:00,13,0,361,0,active,True,361,0,False,6,True,,,2020-07-29 22:09:40,2020
253,True,2020-07-29 21:59:57+00:00,15,0,362,0,active,True,362,0,False,4,True,,,2020-07-29 22:09:40,2020
254,True,2020-07-29 21:58:07+00:00,14,0,363,0,active,True,363,0,False,5,True,,,2020-07-29 22:09:40,2020
255,True,2020-07-29 22:00:10+00:00,10,0,364,2,active,True,364,0,False,7,True,,,2020-07-29 22:09:40,2020
256,True,2020-07-29 22:08:14+00:00,3,0,365,0,active,True,365,0,False,16,True,,,2020-07-29 22:09:40,2020
257,True,2020-07-29 21:58:37+00:00,3,0,366,0,active,True,366,0,False,12,True,,,2020-07-29 22:09:40,2020
258,True,2020-07-29 21:25:07+00:00,17,0,367,1,active,True,367,0,False,1,True,,,2020-07-29 22:09:40,2020
