,is_renting,num_bikes_disabled,num_docks_disabled,station_id,is_installed,num_bikes_available,legacy_id,last_reported,num_docks_available,is_returning,station_status,num_ebikes_available,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
151,True,2,0,177,True,11,177,2020-08-10 02:03:17+00:00,6,True,active,0,False,2020-08-10 02:12:35,2020
152,True,0,0,178,True,5,178,2020-08-10 01:51:03+00:00,14,True,active,0,False,2020-08-10 02:12:35,2020
153,True,0,0,179,True,12,179,2020-08-10 01:59:38+00:00,13,True,active,0,False,2020-08-10 02:12:35,2020
154,True,0,0,180,True,9,180,2020-08-10 00:15:17+00:00,10,True,active,0,False,2020-08-10 02:12:35,2020
155,True,0,0,181,True,10,181,2020-08-10 02:10:56+00:00,9,True,active,0,False,2020-08-10 02:12:35,2020
156,True,0,0,182,True,6,182,2020-08-10 00:58:45+00:00,13,True,active,0,True,2020-08-10 02:12:35,2020
157,True,0,0,183,True,6,183,2020-08-10 00:52:13+00:00,13,True,active,0,False,2020-08-10 02:12:35,2020
158,True,0,0,184,True,1,184,2020-08-10 01:30:49+00:00,18,True,active,0,False,2020-08-10 02:12:35,2020
159,True,0,0,185,True,15,185,2020-08-10 02:04:00+00:00,0,True,active,0,False,2020-08-10 02:12:35,2020
160,True,3,0,186,True,5,186,2020-08-10 01:05:53+00:00,7,True,active,0,True,2020-08-10 02:12:35,2020
161,True,0,0,187,True,12,187,2020-08-10 00:37:35+00:00,3,True,active,0,False,2020-08-10 02:12:35,2020
162,True,0,0,188,True,10,188,2020-08-10 01:40:49+00:00,5,True,active,0,False,2020-08-10 02:12:35,2020
163,True,0,0,189,True,7,189,2020-08-10 01:34:10+00:00,16,True,active,0,True,2020-08-10 02:12:35,2020
164,True,3,0,190,True,12,190,2020-08-10 01:17:33+00:00,22,True,active,0,True,2020-08-10 02:12:35,2020
165,True,0,0,191,True,3,191,2020-08-10 01:54:14+00:00,12,True,active,0,False,2020-08-10 02:12:35,2020
166,True,0,0,192,True,6,192,2020-08-10 02:03:47+00:00,13,True,active,0,False,2020-08-10 02:12:35,2020
167,True,0,0,193,True,9,193,2020-08-10 01:42:51+00:00,6,True,active,0,True,2020-08-10 02:12:35,2020
168,True,0,0,194,True,3,194,2020-08-10 00:16:19+00:00,16,True,active,0,False,2020-08-10 02:12:35,2020
169,True,0,0,195,True,15,195,2020-08-10 02:03:17+00:00,8,True,active,0,False,2020-08-10 02:12:35,2020
170,True,0,0,196,True,4,196,2020-08-10 01:28:25+00:00,6,True,active,0,True,2020-08-10 02:12:35,2020
171,True,0,0,197,True,5,197,2020-08-10 01:37:42+00:00,10,True,active,0,False,2020-08-10 02:12:35,2020
172,True,0,0,199,True,2,199,2020-08-09 23:35:16+00:00,13,True,active,0,False,2020-08-10 02:12:35,2020
173,True,1,0,200,True,6,200,2020-08-10 00:02:37+00:00,12,True,active,0,False,2020-08-10 02:12:35,2020
174,True,0,0,201,True,4,201,2020-08-10 01:07:54+00:00,11,True,active,0,False,2020-08-10 02:12:35,2020
175,True,0,0,202,True,7,202,2020-08-10 01:30:00+00:00,8,True,active,0,False,2020-08-10 02:12:35,2020
176,True,1,0,203,True,2,203,2020-08-09 23:26:38+00:00,12,True,active,0,False,2020-08-10 02:12:35,2020
177,True,0,0,204,True,2,204,2020-08-09 21:19:36+00:00,13,True,active,0,False,2020-08-10 02:12:35,2020
178,True,1,0,205,True,6,205,2020-08-09 22:01:29+00:00,8,True,active,0,False,2020-08-10 02:12:35,2020
179,True,0,0,206,True,3,206,2020-08-10 02:08:15+00:00,20,True,active,0,False,2020-08-10 02:12:35,2020
180,True,0,0,208,True,2,208,2020-08-09 22:48:59+00:00,13,True,active,0,True,2020-08-10 02:12:35,2020
181,True,0,0,209,True,12,209,2020-08-10 00:19:03+00:00,3,True,active,0,False,2020-08-10 02:12:35,2020
182,True,0,0,210,True,2,210,2020-08-09 19:39:21+00:00,13,True,active,0,False,2020-08-10 02:12:35,2020
183,True,1,0,211,True,7,211,2020-08-10 02:08:25+00:00,11,True,active,0,False,2020-08-10 02:12:35,2020
184,True,1,0,212,True,23,212,2020-08-10 02:04:52+00:00,9,True,active,0,False,2020-08-10 02:12:35,2020
185,True,0,0,213,True,6,213,2020-08-09 23:32:57+00:00,10,True,active,0,True,2020-08-10 02:12:35,2020
186,True,0,0,214,True,10,214,2020-08-10 01:11:39+00:00,5,True,active,0,False,2020-08-10 02:12:35,2020
187,True,0,0,215,True,9,215,2020-08-10 00:45:02+00:00,6,True,active,0,False,2020-08-10 02:12:35,2020
188,True,0,0,216,True,17,216,2020-08-09 21:47:12+00:00,2,True,active,0,False,2020-08-10 02:12:35,2020
189,True,0,0,217,True,14,217,2020-08-10 02:02:37+00:00,5,True,active,0,False,2020-08-10 02:12:35,2020
