,eightd_has_available_keys,station_status,num_bikes_available,is_installed,is_returning,station_id,is_renting,num_docks_available,last_reported,num_bikes_disabled,num_ebikes_available,legacy_id,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
101,False,active,10,True,True,112,True,5,2020-07-27 01:59:09+00:00,0,0,112,0,,,2020-07-27 02:14:45,2020
102,False,active,12,True,True,113,True,2,2020-07-27 01:30:32+00:00,1,0,113,0,,,2020-07-27 02:14:45,2020
103,False,active,4,True,True,114,True,11,2020-07-27 01:18:55+00:00,0,0,114,0,,,2020-07-27 02:14:45,2020
104,False,active,6,True,True,115,True,13,2020-07-27 01:43:08+00:00,0,0,115,0,,,2020-07-27 02:14:45,2020
105,False,active,12,True,True,116,True,11,2020-07-27 01:54:09+00:00,0,0,116,0,,,2020-07-27 02:14:45,2020
106,False,active,9,True,True,117,True,10,2020-07-27 01:21:37+00:00,0,0,117,0,,,2020-07-27 02:14:45,2020
107,False,active,13,True,True,118,True,6,2020-07-27 01:58:26+00:00,0,0,118,0,,,2020-07-27 02:14:45,2020
108,False,active,13,True,True,119,True,2,2020-07-27 01:34:43+00:00,0,0,119,0,,,2020-07-27 02:14:45,2020
109,False,active,11,True,True,120,True,4,2020-07-27 01:45:58+00:00,0,0,120,0,,,2020-07-27 02:14:45,2020
110,False,active,12,True,True,121,True,5,2020-07-27 01:41:28+00:00,0,0,121,0,,,2020-07-27 02:14:45,2020
111,False,active,12,True,True,122,True,3,2020-07-27 01:59:00+00:00,0,0,122,0,,,2020-07-27 02:14:45,2020
112,False,active,1,True,True,124,True,14,2020-07-26 23:49:24+00:00,0,0,124,0,,,2020-07-27 02:14:45,2020
113,False,active,14,True,True,125,True,1,2020-07-27 02:01:13+00:00,0,0,125,0,,,2020-07-27 02:14:45,2020
114,False,active,2,True,True,126,True,13,2020-07-27 00:07:19+00:00,0,0,126,0,,,2020-07-27 02:14:45,2020
115,False,active,16,True,True,128,True,2,2020-07-27 01:33:21+00:00,1,0,128,0,,,2020-07-27 02:14:45,2020
116,False,active,8,True,True,129,True,11,2020-07-26 22:26:02+00:00,0,0,129,0,,,2020-07-27 02:14:45,2020
117,False,active,7,True,True,130,True,8,2020-07-27 01:45:03+00:00,0,0,130,0,,,2020-07-27 02:14:45,2020
118,False,active,15,True,True,131,True,3,2020-07-27 01:59:43+00:00,0,0,131,0,,,2020-07-27 02:14:45,2020
119,False,active,12,True,True,133,True,11,2020-07-27 00:34:55+00:00,0,0,133,0,,,2020-07-27 02:14:45,2020
120,False,active,1,True,True,134,True,13,2020-07-27 01:38:31+00:00,1,0,134,0,,,2020-07-27 02:14:45,2020
121,False,active,5,True,True,135,True,12,2020-07-27 01:08:46+00:00,0,0,135,0,,,2020-07-27 02:14:45,2020
122,False,active,13,True,True,136,True,6,2020-07-26 19:53:10+00:00,0,0,136,0,,,2020-07-27 02:14:45,2020
123,False,active,3,True,True,137,True,12,2020-07-27 01:56:38+00:00,0,0,137,0,,,2020-07-27 02:14:45,2020
124,False,active,7,True,True,138,True,7,2020-07-27 00:39:23+00:00,1,0,138,0,,,2020-07-27 02:14:45,2020
125,False,active,8,True,True,139,True,11,2020-07-27 02:09:27+00:00,0,0,139,0,,,2020-07-27 02:14:45,2020
126,False,active,10,True,True,140,True,7,2020-07-27 01:05:41+00:00,0,0,140,0,,,2020-07-27 02:14:45,2020
127,False,active,5,True,True,141,True,9,2020-07-27 01:47:13+00:00,1,0,141,0,,,2020-07-27 02:14:45,2020
128,False,active,20,True,True,142,True,3,2020-07-26 23:33:02+00:00,0,0,142,0,,,2020-07-27 02:14:45,2020
129,False,active,8,True,True,143,True,14,2020-07-27 01:34:34+00:00,1,0,143,0,,,2020-07-27 02:14:45,2020
130,False,active,5,True,True,144,True,14,2020-07-27 01:11:39+00:00,0,0,144,0,,,2020-07-27 02:14:45,2020
131,False,active,7,True,True,145,True,12,2020-07-27 01:31:38+00:00,0,0,145,0,,,2020-07-27 02:14:45,2020
132,False,active,11,True,True,146,True,5,2020-07-27 02:05:21+00:00,3,0,146,0,,,2020-07-27 02:14:45,2020
133,True,active,12,True,True,149,True,3,2020-07-27 01:49:21+00:00,3,0,149,0,,,2020-07-27 02:14:45,2020
134,False,active,11,True,True,150,True,8,2020-07-27 01:35:49+00:00,0,0,150,0,,,2020-07-27 02:14:45,2020
135,False,active,3,True,True,151,True,16,2020-07-27 00:42:28+00:00,0,0,151,0,,,2020-07-27 02:14:45,2020
136,True,active,4,True,True,152,True,11,2020-07-27 01:32:24+00:00,0,0,152,0,,,2020-07-27 02:14:45,2020
137,False,active,3,True,True,156,True,12,2020-07-27 00:18:15+00:00,0,0,156,0,,,2020-07-27 02:14:45,2020
138,False,active,1,True,True,157,True,12,2020-07-27 02:01:06+00:00,2,0,157,0,,,2020-07-27 02:14:45,2020
139,False,active,8,True,True,159,True,6,2020-07-27 01:07:09+00:00,1,0,159,0,,,2020-07-27 02:14:45,2020
140,True,active,4,True,True,160,True,10,2020-07-27 01:44:03+00:00,0,0,160,0,,,2020-07-27 02:14:45,2020
141,True,active,8,True,True,161,True,14,2020-07-27 00:27:35+00:00,1,0,161,0,,,2020-07-27 02:14:45,2020
142,False,active,12,True,True,162,True,3,2020-07-26 22:14:57+00:00,0,0,162,0,,,2020-07-27 02:14:45,2020
143,True,active,4,True,True,163,True,15,2020-07-27 01:48:08+00:00,0,0,163,0,,,2020-07-27 02:14:45,2020
