,station_id,is_returning,is_renting,station_status,num_bikes_disabled,num_bikes_available,num_ebikes_available,num_docks_available,num_docks_disabled,is_installed,last_reported,eightd_has_available_keys,legacy_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
85,96,True,True,active,0,2,0,17,0,True,2020-07-30 16:03:38+00:00,False,96,,,2020-07-30 16:24:25,2020
86,97,True,True,active,1,3,0,15,0,True,2020-07-30 16:13:06+00:00,False,97,,,2020-07-30 16:24:25,2020
87,98,True,True,active,0,1,0,21,0,True,2020-07-30 16:16:25+00:00,False,98,,,2020-07-30 16:24:25,2020
88,99,True,True,active,0,7,0,8,0,True,2020-07-30 16:23:13+00:00,False,99,,,2020-07-30 16:24:25,2020
89,100,True,True,active,2,12,0,11,0,True,2020-07-30 15:18:20+00:00,True,100,,,2020-07-30 16:24:25,2020
90,101,True,True,active,0,0,0,15,0,True,2020-07-30 13:25:45+00:00,False,101,,,2020-07-30 16:24:25,2020
91,102,True,True,active,0,6,0,9,0,True,2020-07-30 16:22:16+00:00,False,102,,,2020-07-30 16:24:25,2020
92,103,True,True,active,1,0,0,14,0,True,2020-07-30 14:35:51+00:00,False,103,,,2020-07-30 16:24:25,2020
93,104,True,True,active,1,11,0,7,0,True,2020-07-30 15:25:51+00:00,False,104,,,2020-07-30 16:24:25,2020
94,105,True,True,active,0,6,0,13,0,True,2020-07-30 16:04:11+00:00,False,105,,,2020-07-30 16:24:25,2020
95,106,True,True,active,0,7,0,8,0,True,2020-07-30 12:55:09+00:00,False,106,,,2020-07-30 16:24:25,2020
96,107,True,True,active,0,19,0,0,0,True,2020-07-30 16:22:48+00:00,False,107,,,2020-07-30 16:24:25,2020
97,108,True,True,active,0,13,0,4,0,True,2020-07-30 15:18:55+00:00,False,108,,,2020-07-30 16:24:25,2020
98,109,True,True,active,2,26,0,7,0,True,2020-07-30 14:43:54+00:00,False,109,,,2020-07-30 16:24:25,2020
99,110,True,True,active,0,9,0,6,0,True,2020-07-30 15:29:01+00:00,False,110,,,2020-07-30 16:24:25,2020
100,111,True,True,active,0,3,0,12,0,True,2020-07-30 14:21:30+00:00,False,111,,,2020-07-30 16:24:25,2020
101,112,True,True,active,0,8,0,7,0,True,2020-07-30 13:35:05+00:00,False,112,,,2020-07-30 16:24:25,2020
102,113,True,True,active,0,12,0,3,0,True,2020-07-30 15:48:01+00:00,False,113,,,2020-07-30 16:24:25,2020
103,114,True,True,active,0,2,0,13,0,True,2020-07-30 13:27:43+00:00,False,114,,,2020-07-30 16:24:25,2020
104,115,True,True,active,0,8,0,11,0,True,2020-07-30 16:09:14+00:00,False,115,,,2020-07-30 16:24:25,2020
105,116,True,True,active,0,7,0,16,0,True,2020-07-30 15:46:47+00:00,False,116,,,2020-07-30 16:24:25,2020
106,117,True,True,active,0,19,0,0,0,True,2020-07-30 13:25:46+00:00,False,117,,,2020-07-30 16:24:25,2020
107,118,True,True,active,0,4,0,15,0,True,2020-07-30 15:27:05+00:00,False,118,,,2020-07-30 16:24:25,2020
