,station_id,is_renting,num_ebikes_available,num_bikes_disabled,eightd_has_available_keys,last_reported,num_docks_disabled,is_returning,legacy_id,is_installed,num_bikes_available,num_docks_available,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
96,107,True,0,0,False,2020-08-01 17:58:24+00:00,0,True,107,True,11,8,active,,,2020-08-01 18:05:40,2020
97,108,True,0,1,False,2020-08-01 18:01:07+00:00,0,True,108,True,15,1,active,,,2020-08-01 18:05:40,2020
98,109,True,0,2,False,2020-08-01 13:14:25+00:00,0,True,109,True,28,5,active,,,2020-08-01 18:05:40,2020
99,110,True,0,1,False,2020-08-01 17:36:14+00:00,0,True,110,True,14,0,active,,,2020-08-01 18:05:40,2020
100,111,True,0,0,False,2020-08-01 17:33:50+00:00,0,True,111,True,0,15,active,,,2020-08-01 18:05:40,2020
101,112,True,0,0,False,2020-08-01 17:13:26+00:00,0,True,112,True,9,6,active,,,2020-08-01 18:05:40,2020
102,113,True,0,2,False,2020-08-01 17:52:41+00:00,0,True,113,True,9,4,active,,,2020-08-01 18:05:40,2020
103,114,True,0,0,False,2020-08-01 17:56:41+00:00,0,True,114,True,1,14,active,,,2020-08-01 18:05:40,2020
104,115,True,0,0,False,2020-08-01 17:44:32+00:00,0,True,115,True,16,3,active,,,2020-08-01 18:05:40,2020
105,116,True,0,0,False,2020-08-01 17:46:11+00:00,0,True,116,True,1,22,active,,,2020-08-01 18:05:40,2020
106,117,True,0,0,False,2020-08-01 17:01:01+00:00,0,True,117,True,3,16,active,,,2020-08-01 18:05:40,2020
107,118,True,0,1,False,2020-08-01 17:55:03+00:00,0,True,118,True,9,9,active,,,2020-08-01 18:05:40,2020
108,119,True,0,1,False,2020-08-01 17:44:11+00:00,0,True,119,True,14,0,active,,,2020-08-01 18:05:40,2020
109,120,True,0,1,False,2020-08-01 18:00:12+00:00,0,True,120,True,2,12,active,,,2020-08-01 18:05:40,2020
110,121,True,0,1,False,2020-08-01 18:01:12+00:00,0,True,121,True,14,2,active,,,2020-08-01 18:05:40,2020
111,122,True,0,0,False,2020-08-01 18:01:06+00:00,0,True,122,True,0,15,active,,,2020-08-01 18:05:40,2020
112,124,True,0,0,False,2020-08-01 17:18:11+00:00,0,True,124,True,6,9,active,,,2020-08-01 18:05:40,2020
113,125,True,0,0,False,2020-08-01 18:03:55+00:00,0,True,125,True,1,14,active,,,2020-08-01 18:05:40,2020
114,126,True,0,2,False,2020-08-01 17:29:51+00:00,0,True,126,True,10,3,active,,,2020-08-01 18:05:40,2020
115,128,True,0,0,False,2020-08-01 17:12:25+00:00,0,True,128,True,9,10,active,,,2020-08-01 18:05:40,2020
116,129,True,0,0,False,2020-08-01 17:44:47+00:00,0,True,129,True,10,9,active,,,2020-08-01 18:05:40,2020
117,130,True,0,0,False,2020-08-01 18:05:27+00:00,0,True,130,True,10,5,active,,,2020-08-01 18:05:40,2020
118,131,True,0,6,False,2020-08-01 17:58:55+00:00,0,True,131,True,4,8,active,,,2020-08-01 18:05:40,2020
119,133,True,0,0,False,2020-08-01 17:57:27+00:00,0,True,133,True,15,8,active,,,2020-08-01 18:05:40,2020
120,135,True,0,0,False,2020-08-01 18:02:32+00:00,0,True,135,True,3,14,active,,,2020-08-01 18:05:40,2020
121,136,True,0,0,False,2020-08-01 17:13:23+00:00,0,True,136,True,16,3,active,,,2020-08-01 18:05:40,2020
122,137,True,0,0,False,2020-08-01 17:58:55+00:00,0,True,137,True,6,9,active,,,2020-08-01 18:05:40,2020
123,138,True,0,0,False,2020-08-01 17:10:18+00:00,0,True,138,True,15,0,active,,,2020-08-01 18:05:40,2020
124,139,True,0,0,False,2020-08-01 18:03:11+00:00,0,True,139,True,11,8,active,,,2020-08-01 18:05:40,2020
125,140,True,0,1,False,2020-08-01 17:38:31+00:00,0,True,140,True,7,9,active,,,2020-08-01 18:05:40,2020
