,last_reported,legacy_id,num_bikes_available,station_status,is_installed,eightd_has_available_keys,is_returning,num_docks_disabled,station_id,num_bikes_disabled,is_renting,num_docks_available,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
169,2020-07-31 19:17:18+00:00,195,13,active,True,False,True,0,195,0,True,10,0,,,2020-07-31 19:27:25,2020
170,2020-07-31 19:10:47+00:00,196,1,active,True,True,True,0,196,1,True,8,0,,,2020-07-31 19:27:25,2020
171,2020-07-31 17:12:42+00:00,197,3,active,True,False,True,0,197,0,True,12,0,,,2020-07-31 19:27:25,2020
172,2020-07-31 18:45:24+00:00,199,5,active,True,False,True,0,199,2,True,8,0,,,2020-07-31 19:27:25,2020
173,2020-07-31 18:28:16+00:00,200,13,active,True,False,True,0,200,0,True,6,0,,,2020-07-31 19:27:25,2020
174,2020-07-31 08:12:47+00:00,201,0,active,True,False,True,0,201,0,True,15,0,,,2020-07-31 19:27:25,2020
175,2020-07-31 19:11:31+00:00,202,3,active,True,False,True,0,202,0,True,12,0,,,2020-07-31 19:27:25,2020
176,2020-07-31 16:43:41+00:00,203,6,active,True,False,True,0,203,0,True,9,0,,,2020-07-31 19:27:25,2020
177,2020-07-31 14:06:39+00:00,204,6,active,True,False,True,0,204,0,True,9,0,,,2020-07-31 19:27:25,2020
178,2020-07-31 17:39:13+00:00,205,7,active,True,False,True,0,205,0,True,8,0,,,2020-07-31 19:27:25,2020
179,2020-07-31 19:03:24+00:00,206,18,active,True,False,True,0,206,0,True,5,0,,,2020-07-31 19:27:25,2020
180,2020-07-31 19:23:45+00:00,208,10,active,True,True,True,0,208,0,True,5,0,,,2020-07-31 19:27:25,2020
181,2020-07-31 18:24:14+00:00,209,10,active,True,False,True,0,209,1,True,4,0,,,2020-07-31 19:27:25,2020
182,2020-07-31 12:46:10+00:00,210,2,active,True,False,True,0,210,0,True,13,0,,,2020-07-31 19:27:25,2020
183,2020-07-31 18:55:08+00:00,211,18,active,True,False,True,0,211,0,True,1,0,,,2020-07-31 19:27:25,2020
184,2020-07-31 18:50:08+00:00,212,12,active,True,False,True,0,212,0,True,21,0,,,2020-07-31 19:27:25,2020
185,2020-07-31 19:22:25+00:00,213,4,active,True,True,True,0,213,0,True,12,0,,,2020-07-31 19:27:25,2020
186,2020-07-31 19:26:57+00:00,214,2,active,True,False,True,0,214,0,True,13,0,,,2020-07-31 19:27:25,2020
187,2020-07-31 18:00:40+00:00,215,14,active,True,False,True,0,215,0,True,1,0,,,2020-07-31 19:27:25,2020
188,2020-07-31 08:26:03+00:00,216,16,active,True,False,True,0,216,0,True,3,0,,,2020-07-31 19:27:25,2020
189,2020-07-31 18:46:36+00:00,217,5,active,True,False,True,0,217,0,True,14,0,,,2020-07-31 19:27:25,2020
190,2020-07-31 19:24:32+00:00,218,13,active,True,False,True,0,218,1,True,1,0,,,2020-07-31 19:27:25,2020
191,2020-07-31 15:00:03+00:00,219,10,active,True,False,True,0,219,1,True,4,0,,,2020-07-31 19:27:25,2020
192,2020-07-31 19:20:39+00:00,221,1,active,True,False,True,0,221,0,True,18,0,,,2020-07-31 19:27:25,2020
