,legacy_id,station_status,station_id,num_docks_available,num_bikes_available,is_renting,eightd_has_available_keys,last_reported,is_installed,num_docks_disabled,num_ebikes_available,num_bikes_disabled,is_returning,timestamp_of_data_read_request,year_station_last_reported
138,159,active,159,8,6,True,False,2020-08-12 00:13:53+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
139,160,active,160,14,0,True,True,2020-08-11 22:40:23+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
140,161,active,161,7,15,True,True,2020-08-12 00:56:07+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
141,162,active,162,10,5,True,False,2020-08-12 00:57:50+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
142,163,active,163,10,9,True,True,2020-08-12 01:09:39+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
143,167,active,167,9,6,True,False,2020-08-12 00:23:28+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
144,169,active,169,5,14,True,False,2020-08-12 01:12:55+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
145,170,active,170,11,2,True,True,2020-08-12 00:06:07+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
146,171,active,171,14,9,True,True,2020-08-12 00:25:43+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
147,173,active,173,6,8,True,True,2020-08-12 00:16:57+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
148,174,active,174,5,9,True,False,2020-08-12 01:07:29+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
149,175,active,175,9,8,True,True,2020-08-12 01:10:09+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
150,176,active,176,0,15,True,False,2020-08-11 23:12:55+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
151,177,active,177,13,6,True,False,2020-08-12 01:03:14+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
152,178,active,178,14,5,True,False,2020-08-12 01:12:52+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
153,179,active,179,16,8,True,False,2020-08-12 00:25:06+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
154,180,active,180,5,13,True,False,2020-08-12 00:10:58+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
155,181,active,181,7,12,True,False,2020-08-12 00:49:21+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
156,182,active,182,15,4,True,True,2020-08-12 00:57:54+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
157,183,active,183,9,9,True,False,2020-08-12 00:54:50+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
158,184,active,184,9,8,True,False,2020-08-12 01:15:40+00:00,True,0,0,2,True,2020-08-12 01:18:05,2020
159,185,active,185,1,14,True,False,2020-08-12 01:17:40+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
160,186,active,186,11,4,True,True,2020-08-12 00:52:50+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
161,187,active,187,5,10,True,False,2020-08-12 00:47:26+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
162,188,active,188,3,12,True,False,2020-08-12 00:42:22+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
163,189,active,189,10,13,True,True,2020-08-12 01:01:33+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
164,190,active,190,22,14,True,True,2020-08-12 01:12:43+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
165,191,active,191,10,5,True,False,2020-08-12 00:07:52+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
166,192,active,192,17,0,True,False,2020-08-12 01:06:13+00:00,True,0,0,2,True,2020-08-12 01:18:05,2020
167,193,active,193,9,6,True,True,2020-08-12 01:14:30+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
168,194,active,194,17,1,True,False,2020-08-11 22:31:21+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
169,195,active,195,10,13,True,False,2020-08-12 00:49:13+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
170,196,active,196,9,1,True,True,2020-08-11 23:59:37+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
171,197,active,197,13,2,True,False,2020-08-12 00:42:10+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
172,199,active,199,12,3,True,False,2020-08-12 00:29:30+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
173,200,active,200,4,15,True,False,2020-08-12 00:47:12+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
174,201,active,201,14,1,True,False,2020-08-12 00:48:44+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
175,202,active,202,10,5,True,False,2020-08-11 21:15:52+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
176,203,active,203,14,1,True,False,2020-08-12 00:29:43+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
177,204,active,204,14,1,True,False,2020-08-12 00:23:12+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
178,205,active,205,11,4,True,False,2020-08-11 23:04:36+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
179,206,active,206,15,8,True,True,2020-08-12 00:38:10+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
180,208,active,208,11,4,True,True,2020-08-11 22:20:43+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
181,209,active,209,11,4,True,False,2020-08-11 23:50:56+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
182,210,active,210,12,3,True,False,2020-08-11 20:57:01+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
183,211,active,211,14,5,True,False,2020-08-12 00:18:35+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
184,212,active,212,8,23,True,False,2020-08-12 01:17:49+00:00,True,0,0,2,True,2020-08-12 01:18:05,2020
185,213,active,213,10,6,True,True,2020-08-11 21:41:30+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
186,214,active,214,12,3,True,False,2020-08-12 00:53:22+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
187,215,active,215,5,10,True,False,2020-08-11 23:53:58+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
188,216,active,216,0,18,True,False,2020-08-11 20:56:55+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
189,217,active,217,3,16,True,False,2020-08-12 01:06:11+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
190,218,active,218,14,1,True,False,2020-08-12 01:13:18+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
191,219,active,219,9,4,True,False,2020-08-12 00:26:30+00:00,True,0,0,2,True,2020-08-12 01:18:05,2020
192,221,active,221,9,10,True,False,2020-08-12 00:48:16+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
193,222,active,222,4,10,True,True,2020-08-12 01:09:34+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
194,224,active,224,5,11,True,False,2020-08-12 00:21:27+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
195,225,active,225,13,5,True,False,2020-08-12 00:36:37+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
196,226,active,226,11,4,True,False,2020-08-12 01:06:56+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
197,227,active,227,13,6,True,False,2020-08-12 01:03:48+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
198,228,active,228,11,8,True,False,2020-08-12 01:08:39+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
199,232,active,232,3,8,True,False,2020-08-11 01:22:39+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
200,233,active,233,7,8,True,False,2020-08-12 01:17:18+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
201,234,active,234,14,1,True,False,2020-08-12 00:45:55+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
202,235,active,235,12,3,True,False,2020-08-11 18:58:03+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
203,236,active,236,6,9,True,False,2020-08-12 01:16:08+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
204,239,active,239,8,7,True,False,2020-08-12 00:57:19+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
205,255,active,255,7,8,True,False,2020-08-12 01:08:02+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
206,258,active,258,5,10,True,False,2020-08-12 00:05:54+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
207,259,active,259,0,15,True,False,2020-08-11 08:42:57+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
208,260,active,260,3,11,True,False,2020-08-11 23:48:57+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
209,271,active,271,10,5,True,False,2020-08-12 00:39:24+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
210,272,active,272,12,6,True,False,2020-08-12 00:45:18+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
211,273,active,273,27,13,True,False,2020-08-12 00:53:16+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
212,279,active,279,4,15,True,False,2020-08-12 00:35:47+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
213,280,active,280,12,7,True,False,2020-08-12 00:14:20+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
214,282,active,282,8,6,True,False,2020-08-12 01:05:23+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
215,296,active,296,13,10,True,False,2020-08-12 00:56:23+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
216,318,active,318,16,3,True,False,2020-08-12 01:17:47+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
217,319,active,319,22,3,True,False,2020-08-11 23:20:29+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
218,327,active,327,5,9,True,False,2020-08-12 01:01:55+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
219,328,active,328,3,11,True,False,2020-08-12 01:15:12+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
220,329,active,329,8,7,True,False,2020-08-11 23:13:16+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
221,330,active,330,4,11,True,False,2020-08-12 00:49:34+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
222,331,active,331,11,4,True,False,2020-08-12 01:16:24+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
223,332,active,332,13,1,True,False,2020-08-12 00:57:42+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
