,num_docks_available,num_bikes_disabled,num_bikes_available,station_status,num_ebikes_available,num_docks_disabled,station_id,is_renting,is_returning,legacy_id,eightd_has_available_keys,last_reported,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
123,7,1,7,active,0,0,138,True,True,138,False,2020-08-21 18:37:54+00:00,True,,,2020-08-21 18:45:15,2020
124,19,0,0,active,0,0,139,True,True,139,False,2020-08-21 17:58:38+00:00,True,,,2020-08-21 18:45:15,2020
125,2,0,15,active,0,0,140,True,True,140,False,2020-08-21 18:16:00+00:00,True,,,2020-08-21 18:45:15,2020
126,14,0,1,active,0,0,141,True,True,141,False,2020-08-21 18:43:10+00:00,True,,,2020-08-21 18:45:15,2020
127,4,0,19,active,0,0,142,True,True,142,False,2020-08-21 18:30:03+00:00,True,,,2020-08-21 18:45:15,2020
128,4,0,19,active,0,0,143,True,True,143,False,2020-08-21 17:51:32+00:00,True,,,2020-08-21 18:45:15,2020
129,2,0,17,active,0,0,144,True,True,144,False,2020-08-21 17:47:17+00:00,True,,,2020-08-21 18:45:15,2020
130,6,0,13,active,0,0,145,True,True,145,False,2020-08-21 15:46:40+00:00,True,,,2020-08-21 18:45:15,2020
131,5,0,14,active,0,0,146,True,True,146,False,2020-08-21 18:04:03+00:00,True,,,2020-08-21 18:45:15,2020
132,9,0,9,active,0,0,149,True,True,149,True,2020-08-21 18:06:28+00:00,True,,,2020-08-21 18:45:15,2020
133,13,1,5,active,0,0,150,True,True,150,False,2020-08-21 18:08:33+00:00,True,,,2020-08-21 18:45:15,2020
134,11,1,7,active,0,0,151,True,True,151,False,2020-08-21 18:44:45+00:00,True,,,2020-08-21 18:45:15,2020
135,8,0,7,active,0,0,152,True,True,152,True,2020-08-21 18:27:31+00:00,True,,,2020-08-21 18:45:15,2020
136,13,0,2,active,0,0,156,True,True,156,False,2020-08-21 18:28:21+00:00,True,,,2020-08-21 18:45:15,2020
137,9,0,6,active,0,0,157,True,True,157,False,2020-08-21 18:43:12+00:00,True,,,2020-08-21 18:45:15,2020
138,11,1,3,active,0,0,159,True,True,159,False,2020-08-21 18:43:34+00:00,True,,,2020-08-21 18:45:15,2020
139,9,0,5,active,0,0,160,True,True,160,True,2020-08-21 18:27:14+00:00,True,,,2020-08-21 18:45:15,2020
140,13,0,10,active,0,0,161,True,True,161,True,2020-08-21 18:43:51+00:00,True,,,2020-08-21 18:45:15,2020
141,10,0,5,active,0,0,162,True,True,162,False,2020-08-21 17:47:29+00:00,True,,,2020-08-21 18:45:15,2020
142,7,0,12,active,0,0,163,True,True,163,True,2020-08-21 18:42:06+00:00,True,,,2020-08-21 18:45:15,2020
143,3,0,12,active,0,0,167,True,True,167,False,2020-08-21 18:26:48+00:00,True,,,2020-08-21 18:45:15,2020
144,12,0,7,active,0,0,169,True,True,169,False,2020-08-21 18:33:03+00:00,True,,,2020-08-21 18:45:15,2020
145,7,0,7,active,0,0,170,True,True,170,True,2020-08-21 17:10:44+00:00,True,,,2020-08-21 18:45:15,2020
146,12,0,11,active,0,0,171,True,True,171,True,2020-08-21 18:37:40+00:00,True,,,2020-08-21 18:45:15,2020
147,3,1,10,active,0,0,173,True,True,173,True,2020-08-21 18:07:17+00:00,True,,,2020-08-21 18:45:15,2020
148,9,0,6,active,0,0,174,True,True,174,False,2020-08-21 17:33:38+00:00,True,,,2020-08-21 18:45:15,2020
149,11,0,6,active,0,0,175,True,True,175,True,2020-08-21 18:31:17+00:00,True,,,2020-08-21 18:45:15,2020
150,7,1,7,active,0,0,176,True,True,176,False,2020-08-21 18:38:27+00:00,True,,,2020-08-21 18:45:15,2020
151,9,2,8,active,0,0,177,True,True,177,False,2020-08-21 18:25:56+00:00,True,,,2020-08-21 18:45:15,2020
152,19,0,0,active,0,0,178,True,True,178,False,2020-08-21 18:36:42+00:00,True,,,2020-08-21 18:45:15,2020
153,6,0,19,active,0,0,179,True,True,179,False,2020-08-21 18:44:04+00:00,True,,,2020-08-21 18:45:15,2020
154,6,0,13,active,0,0,180,True,True,180,False,2020-08-21 17:23:59+00:00,True,,,2020-08-21 18:45:15,2020
155,18,0,1,active,0,0,181,True,True,181,False,2020-08-21 16:09:10+00:00,True,,,2020-08-21 18:45:15,2020
156,15,0,4,active,0,0,182,True,True,182,True,2020-08-21 18:34:26+00:00,True,,,2020-08-21 18:45:15,2020
157,13,0,6,active,0,0,183,True,True,183,False,2020-08-21 17:50:59+00:00,True,,,2020-08-21 18:45:15,2020
158,18,1,0,active,0,0,184,True,True,184,False,2020-08-21 18:42:51+00:00,True,,,2020-08-21 18:45:15,2020
159,13,0,2,active,0,0,185,True,True,185,False,2020-08-21 18:30:43+00:00,True,,,2020-08-21 18:45:15,2020
