,num_bikes_available,is_returning,num_ebikes_available,eightd_has_available_keys,last_reported,station_status,is_installed,legacy_id,station_id,num_docks_available,is_renting,num_bikes_disabled,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
135,8,True,0,True,2020-08-01 00:47:49+00:00,active,True,152,152,7,True,0,0,,,2020-08-01 00:54:00,2020
136,1,True,0,False,2020-08-01 00:44:43+00:00,active,True,156,156,14,True,0,0,,,2020-08-01 00:54:00,2020
137,10,True,0,False,2020-08-01 00:43:17+00:00,active,True,157,157,4,True,1,0,,,2020-08-01 00:54:00,2020
138,1,True,0,False,2020-08-01 00:26:51+00:00,active,True,159,159,13,True,1,0,,,2020-08-01 00:54:00,2020
139,0,True,0,True,2020-08-01 00:01:06+00:00,active,True,160,160,14,True,0,0,,,2020-08-01 00:54:00,2020
140,8,True,0,True,2020-08-01 00:53:03+00:00,active,True,161,161,15,True,0,0,,,2020-08-01 00:54:00,2020
141,5,True,0,False,2020-08-01 00:50:29+00:00,active,True,162,162,10,True,0,0,,,2020-08-01 00:54:00,2020
142,17,True,0,True,2020-08-01 00:27:19+00:00,active,True,163,163,2,True,0,0,,,2020-08-01 00:54:00,2020
143,2,True,0,False,2020-07-31 23:54:31+00:00,active,True,167,167,12,True,1,0,,,2020-08-01 00:54:00,2020
144,4,True,0,False,2020-08-01 00:33:34+00:00,active,True,169,169,15,True,0,0,,,2020-08-01 00:54:00,2020
145,4,True,0,True,2020-07-31 22:06:37+00:00,active,True,170,170,10,True,0,0,,,2020-08-01 00:54:00,2020
146,7,True,0,True,2020-08-01 00:37:20+00:00,active,True,171,171,16,True,0,0,,,2020-08-01 00:54:00,2020
147,6,True,0,True,2020-08-01 00:23:42+00:00,active,True,173,173,6,True,2,0,,,2020-08-01 00:54:00,2020
148,8,True,0,False,2020-07-31 22:41:56+00:00,active,True,174,174,7,True,0,0,,,2020-08-01 00:54:00,2020
149,2,True,0,True,2020-08-01 00:25:50+00:00,active,True,175,175,14,True,1,0,,,2020-08-01 00:54:00,2020
150,7,True,0,False,2020-08-01 00:48:17+00:00,active,True,176,176,8,True,0,0,,,2020-08-01 00:54:00,2020
151,10,True,0,False,2020-08-01 00:53:19+00:00,active,True,177,177,9,True,0,0,,,2020-08-01 00:54:00,2020
152,6,True,0,False,2020-08-01 00:52:05+00:00,active,True,178,178,13,True,0,0,,,2020-08-01 00:54:00,2020
153,6,True,0,False,2020-08-01 00:47:39+00:00,active,True,179,179,17,True,2,0,,,2020-08-01 00:54:00,2020
154,9,True,0,False,2020-08-01 00:07:53+00:00,active,True,180,180,10,True,0,0,,,2020-08-01 00:54:00,2020
155,6,True,0,False,2020-08-01 00:10:48+00:00,active,True,181,181,12,True,1,0,,,2020-08-01 00:54:00,2020
156,3,True,0,True,2020-08-01 00:52:34+00:00,active,True,182,182,14,True,2,0,,,2020-08-01 00:54:00,2020
157,7,True,0,False,2020-08-01 00:37:55+00:00,active,True,183,183,12,True,0,0,,,2020-08-01 00:54:00,2020
158,3,True,0,False,2020-08-01 00:37:17+00:00,active,True,184,184,16,True,0,0,,,2020-08-01 00:54:00,2020
159,12,True,0,False,2020-08-01 00:33:49+00:00,active,True,185,185,3,True,0,0,,,2020-08-01 00:54:00,2020
160,13,True,0,True,2020-08-01 00:25:11+00:00,active,True,186,186,2,True,0,0,,,2020-08-01 00:54:00,2020
161,14,True,0,False,2020-08-01 00:12:13+00:00,active,True,187,187,1,True,0,0,,,2020-08-01 00:54:00,2020
162,3,True,0,False,2020-08-01 00:22:44+00:00,active,True,188,188,12,True,0,0,,,2020-08-01 00:54:00,2020
