,is_installed,is_renting,is_returning,num_ebikes_available,num_bikes_available,num_bikes_disabled,station_id,station_status,num_docks_available,legacy_id,eightd_has_available_keys,last_reported,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
129,True,True,True,0,9,0,144,active,10,144,False,2020-07-29 17:12:14+00:00,0,,,2020-07-29 17:33:50,2020
130,True,True,True,0,12,0,145,active,7,145,False,2020-07-29 17:01:27+00:00,0,,,2020-07-29 17:33:50,2020
131,True,True,True,0,13,3,146,active,3,146,False,2020-07-29 16:13:12+00:00,0,,,2020-07-29 17:33:50,2020
132,True,True,True,0,10,1,149,active,7,149,True,2020-07-29 14:33:52+00:00,0,,,2020-07-29 17:33:50,2020
133,True,True,True,0,13,0,150,active,6,150,False,2020-07-29 17:16:53+00:00,0,,,2020-07-29 17:33:50,2020
134,True,True,True,0,12,1,151,active,6,151,False,2020-07-29 17:20:09+00:00,0,,,2020-07-29 17:33:50,2020
135,True,True,True,0,8,0,152,active,7,152,True,2020-07-29 15:56:24+00:00,0,,,2020-07-29 17:33:50,2020
136,True,True,True,0,4,0,156,active,11,156,False,2020-07-29 17:09:34+00:00,0,,,2020-07-29 17:33:50,2020
137,True,True,True,0,6,2,157,active,7,157,False,2020-07-29 17:30:49+00:00,0,,,2020-07-29 17:33:50,2020
138,True,True,True,0,3,2,159,active,10,159,False,2020-07-29 17:06:15+00:00,0,,,2020-07-29 17:33:50,2020
139,True,True,True,0,10,1,160,active,3,160,True,2020-07-29 12:58:53+00:00,0,,,2020-07-29 17:33:50,2020
140,True,True,True,0,11,0,161,active,12,161,True,2020-07-29 17:23:53+00:00,0,,,2020-07-29 17:33:50,2020
141,True,True,True,0,4,0,162,active,11,162,False,2020-07-29 14:53:50+00:00,0,,,2020-07-29 17:33:50,2020
142,True,True,True,0,6,0,163,active,13,163,True,2020-07-29 16:44:29+00:00,0,,,2020-07-29 17:33:50,2020
143,True,True,True,0,11,2,167,active,2,167,False,2020-07-29 16:21:57+00:00,0,,,2020-07-29 17:33:50,2020
144,True,True,True,0,8,0,169,active,11,169,False,2020-07-29 17:30:51+00:00,0,,,2020-07-29 17:33:50,2020
145,True,True,True,0,2,0,170,active,12,170,True,2020-07-29 17:30:50+00:00,0,,,2020-07-29 17:33:50,2020
146,True,True,True,0,6,1,171,active,16,171,True,2020-07-29 14:03:30+00:00,0,,,2020-07-29 17:33:50,2020
147,True,True,True,0,8,0,173,active,6,173,True,2020-07-29 08:49:27+00:00,0,,,2020-07-29 17:33:50,2020
148,True,True,True,0,7,0,174,active,8,174,False,2020-07-29 17:24:21+00:00,0,,,2020-07-29 17:33:50,2020
149,True,True,True,0,3,0,175,active,14,175,True,2020-07-29 17:30:03+00:00,0,,,2020-07-29 17:33:50,2020
150,True,True,True,0,10,0,176,active,5,176,False,2020-07-29 17:16:02+00:00,0,,,2020-07-29 17:33:50,2020
151,True,True,True,0,9,0,177,active,10,177,False,2020-07-29 17:20:26+00:00,0,,,2020-07-29 17:33:50,2020
152,True,True,True,0,11,2,178,active,6,178,False,2020-07-29 17:25:05+00:00,0,,,2020-07-29 17:33:50,2020
153,True,True,True,0,16,0,179,active,9,179,False,2020-07-29 17:32:44+00:00,0,,,2020-07-29 17:33:50,2020
154,True,True,True,0,10,0,180,active,9,180,False,2020-07-29 17:11:09+00:00,0,,,2020-07-29 17:33:50,2020
155,True,True,True,0,6,0,181,active,13,181,False,2020-07-29 17:06:31+00:00,0,,,2020-07-29 17:33:50,2020
156,True,True,True,0,5,0,182,active,14,182,True,2020-07-29 17:22:11+00:00,0,,,2020-07-29 17:33:50,2020
157,True,True,True,0,8,0,183,active,11,183,False,2020-07-29 15:03:02+00:00,0,,,2020-07-29 17:33:50,2020
158,True,True,True,0,10,1,184,active,8,184,False,2020-07-29 16:04:48+00:00,0,,,2020-07-29 17:33:50,2020
159,True,True,True,0,3,0,185,active,12,185,False,2020-07-29 17:25:52+00:00,0,,,2020-07-29 17:33:50,2020
