,num_ebikes_available,eightd_has_available_keys,num_docks_disabled,legacy_id,last_reported,num_bikes_disabled,station_status,is_renting,num_bikes_available,station_id,is_returning,is_installed,num_docks_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
116,0,False,0,129,2020-07-28 23:20:13+00:00,0,active,True,9,129,True,True,10,,,2020-07-29 00:26:45,2020
117,0,False,0,130,2020-07-28 22:45:44+00:00,0,active,True,7,130,True,True,8,,,2020-07-29 00:26:45,2020
118,0,False,0,131,2020-07-29 00:16:38+00:00,1,active,True,15,131,True,True,2,,,2020-07-29 00:26:45,2020
119,0,False,0,133,2020-07-28 22:44:38+00:00,1,active,True,13,133,True,True,9,,,2020-07-29 00:26:45,2020
120,0,False,0,135,2020-07-29 00:11:50+00:00,1,active,True,7,135,True,True,9,,,2020-07-29 00:26:45,2020
121,0,False,0,136,2020-07-28 23:29:36+00:00,2,active,True,11,136,True,True,6,,,2020-07-29 00:26:45,2020
122,0,False,0,137,2020-07-28 23:04:02+00:00,0,active,True,2,137,True,True,13,,,2020-07-29 00:26:45,2020
123,0,False,0,138,2020-07-28 23:26:35+00:00,1,active,True,7,138,True,True,7,,,2020-07-29 00:26:45,2020
124,0,False,0,139,2020-07-29 00:15:13+00:00,1,active,True,6,139,True,True,12,,,2020-07-29 00:26:45,2020
125,0,False,0,140,2020-07-29 00:18:45+00:00,1,active,True,4,140,True,True,12,,,2020-07-29 00:26:45,2020
126,0,False,0,141,2020-07-29 00:12:52+00:00,1,active,True,3,141,True,True,11,,,2020-07-29 00:26:45,2020
127,0,False,0,142,2020-07-29 00:19:44+00:00,0,active,True,19,142,True,True,4,,,2020-07-29 00:26:45,2020
128,0,False,0,143,2020-07-29 00:11:32+00:00,2,active,True,3,143,True,True,18,,,2020-07-29 00:26:45,2020
129,0,False,0,144,2020-07-29 00:16:00+00:00,0,active,True,11,144,True,True,8,,,2020-07-29 00:26:45,2020
130,0,False,0,145,2020-07-28 23:59:06+00:00,0,active,True,10,145,True,True,9,,,2020-07-29 00:26:45,2020
131,0,False,0,146,2020-07-29 00:17:34+00:00,0,active,True,8,146,True,True,11,,,2020-07-29 00:26:45,2020
132,0,True,0,149,2020-07-29 00:20:59+00:00,0,active,True,11,149,True,True,7,,,2020-07-29 00:26:45,2020
133,0,False,0,150,2020-07-29 00:14:56+00:00,0,active,True,15,150,True,True,4,,,2020-07-29 00:26:45,2020
134,0,False,0,151,2020-07-29 00:22:57+00:00,0,active,True,6,151,True,True,13,,,2020-07-29 00:26:45,2020
135,0,True,0,152,2020-07-28 23:21:41+00:00,0,active,True,11,152,True,True,4,,,2020-07-29 00:26:45,2020
136,0,False,0,156,2020-07-29 00:10:48+00:00,0,active,True,7,156,True,True,8,,,2020-07-29 00:26:45,2020
137,0,False,0,157,2020-07-29 00:16:55+00:00,4,active,True,2,157,True,True,9,,,2020-07-29 00:26:45,2020
138,0,False,0,159,2020-07-29 00:17:26+00:00,1,active,True,9,159,True,True,5,,,2020-07-29 00:26:45,2020
139,0,True,0,160,2020-07-28 23:40:35+00:00,1,active,True,6,160,True,True,7,,,2020-07-29 00:26:45,2020
140,0,True,0,161,2020-07-29 00:23:54+00:00,2,active,True,21,161,True,True,0,,,2020-07-29 00:26:45,2020
141,0,False,0,162,2020-07-29 00:09:19+00:00,0,active,True,5,162,True,True,10,,,2020-07-29 00:26:45,2020
142,0,True,0,163,2020-07-29 00:01:11+00:00,0,active,True,4,163,True,True,15,,,2020-07-29 00:26:45,2020
143,0,False,0,167,2020-07-29 00:18:48+00:00,2,active,True,8,167,True,True,5,,,2020-07-29 00:26:45,2020
144,0,False,0,169,2020-07-28 22:52:46+00:00,1,active,True,10,169,True,True,8,,,2020-07-29 00:26:45,2020
145,0,True,0,170,2020-07-28 21:32:52+00:00,0,active,True,2,170,True,True,12,,,2020-07-29 00:26:45,2020
146,0,True,0,171,2020-07-29 00:03:13+00:00,1,active,True,7,171,True,True,15,,,2020-07-29 00:26:45,2020
147,0,True,0,173,2020-07-28 23:10:56+00:00,0,active,True,5,173,True,True,9,,,2020-07-29 00:26:45,2020
148,0,False,0,174,2020-07-29 00:22:37+00:00,0,active,True,7,174,True,True,8,,,2020-07-29 00:26:45,2020
149,0,True,0,175,2020-07-29 00:26:15+00:00,0,active,True,6,175,True,True,11,,,2020-07-29 00:26:45,2020
150,0,False,0,176,2020-07-29 00:19:04+00:00,0,active,True,14,176,True,True,1,,,2020-07-29 00:26:45,2020
151,0,False,0,177,2020-07-29 00:15:19+00:00,0,active,True,4,177,True,True,15,,,2020-07-29 00:26:45,2020
152,0,False,0,178,2020-07-29 00:20:30+00:00,1,active,True,4,178,True,True,14,,,2020-07-29 00:26:45,2020
153,0,False,0,179,2020-07-29 00:21:05+00:00,0,active,True,4,179,True,True,21,,,2020-07-29 00:26:45,2020
154,0,False,0,180,2020-07-28 23:55:48+00:00,0,active,True,7,180,True,True,12,,,2020-07-29 00:26:45,2020
155,0,False,0,181,2020-07-28 23:58:27+00:00,0,active,True,9,181,True,True,10,,,2020-07-29 00:26:45,2020
156,0,True,0,182,2020-07-28 23:59:15+00:00,0,active,True,7,182,True,True,12,,,2020-07-29 00:26:45,2020
157,0,False,0,183,2020-07-28 23:40:42+00:00,0,active,True,3,183,True,True,16,,,2020-07-29 00:26:45,2020
158,0,False,0,184,2020-07-29 00:19:46+00:00,0,active,True,5,184,True,True,14,,,2020-07-29 00:26:45,2020
159,0,False,0,185,2020-07-29 00:22:46+00:00,0,active,True,1,185,True,True,14,,,2020-07-29 00:26:45,2020
160,0,True,0,186,2020-07-28 23:44:45+00:00,0,active,True,9,186,True,True,6,,,2020-07-29 00:26:45,2020
161,0,False,0,187,2020-07-28 23:54:38+00:00,0,active,True,7,187,True,True,8,,,2020-07-29 00:26:45,2020
162,0,False,0,188,2020-07-29 00:16:02+00:00,0,active,True,10,188,True,True,5,,,2020-07-29 00:26:45,2020
163,0,True,0,189,2020-07-29 00:18:16+00:00,1,active,True,6,189,True,True,16,,,2020-07-29 00:26:45,2020
164,0,True,0,190,2020-07-29 00:22:04+00:00,1,active,True,22,190,True,True,14,,,2020-07-29 00:26:45,2020
165,0,False,0,191,2020-07-28 22:58:09+00:00,0,active,True,3,191,True,True,12,,,2020-07-29 00:26:45,2020
166,0,False,0,192,2020-07-29 00:20:28+00:00,0,active,True,1,192,True,True,18,,,2020-07-29 00:26:45,2020
167,0,True,0,193,2020-07-28 21:39:38+00:00,0,active,True,15,193,True,True,0,,,2020-07-29 00:26:45,2020
168,0,False,0,194,2020-07-28 21:52:10+00:00,0,active,True,12,194,True,True,7,,,2020-07-29 00:26:45,2020
169,0,False,0,195,2020-07-28 23:35:39+00:00,1,active,True,12,195,True,True,10,,,2020-07-29 00:26:45,2020
170,0,True,0,196,2020-07-28 21:39:44+00:00,0,active,True,0,196,True,True,10,,,2020-07-29 00:26:45,2020
171,0,False,0,197,2020-07-29 00:02:15+00:00,0,active,True,1,197,True,True,14,,,2020-07-29 00:26:45,2020
172,0,False,0,199,2020-07-29 00:10:42+00:00,0,active,True,5,199,True,True,10,,,2020-07-29 00:26:45,2020
173,0,False,0,200,2020-07-29 00:18:17+00:00,0,active,True,16,200,True,True,3,,,2020-07-29 00:26:45,2020
174,0,False,0,201,2020-07-28 18:49:12+00:00,0,active,True,1,201,True,True,14,,,2020-07-29 00:26:45,2020
175,0,False,0,202,2020-07-28 23:36:31+00:00,1,active,True,2,202,True,True,12,,,2020-07-29 00:26:45,2020
176,0,False,0,203,2020-07-28 08:58:21+00:00,0,active,True,2,203,True,True,13,,,2020-07-29 00:26:45,2020
177,0,False,0,204,2020-07-28 23:39:08+00:00,0,active,True,1,204,True,True,14,,,2020-07-29 00:26:45,2020
178,0,False,0,205,2020-07-28 23:26:15+00:00,1,active,True,2,205,True,True,12,,,2020-07-29 00:26:45,2020
179,0,False,0,206,2020-07-29 00:06:00+00:00,0,active,True,0,206,True,True,23,,,2020-07-29 00:26:45,2020
180,0,True,0,208,2020-07-29 00:15:29+00:00,0,active,True,14,208,True,True,1,,,2020-07-29 00:26:45,2020
181,0,False,0,209,2020-07-28 23:37:42+00:00,1,active,True,13,209,True,True,1,,,2020-07-29 00:26:45,2020
182,0,False,0,210,2020-07-28 13:53:23+00:00,0,active,True,0,210,True,True,15,,,2020-07-29 00:26:45,2020
183,0,False,0,211,2020-07-28 23:55:14+00:00,1,active,True,15,211,True,True,3,,,2020-07-29 00:26:45,2020
184,0,False,0,212,2020-07-28 23:35:22+00:00,0,active,True,2,212,True,True,31,,,2020-07-29 00:26:45,2020
185,0,True,0,213,2020-07-28 22:22:34+00:00,0,active,True,8,213,True,True,8,,,2020-07-29 00:26:45,2020
186,0,False,0,214,2020-07-29 00:14:12+00:00,0,active,True,8,214,True,True,7,,,2020-07-29 00:26:45,2020
187,0,False,0,215,2020-07-28 23:38:00+00:00,1,active,True,14,215,True,True,0,,,2020-07-29 00:26:45,2020
188,0,False,0,216,2020-07-28 12:48:44+00:00,1,active,True,15,216,True,True,3,,,2020-07-29 00:26:45,2020
189,0,False,0,217,2020-07-28 23:58:09+00:00,0,active,True,6,217,True,True,13,,,2020-07-29 00:26:45,2020
190,0,False,0,218,2020-07-29 00:08:50+00:00,0,active,True,7,218,True,True,8,,,2020-07-29 00:26:45,2020
191,0,False,0,219,2020-07-28 23:33:41+00:00,0,active,True,14,219,True,True,1,,,2020-07-29 00:26:45,2020
192,0,False,0,221,2020-07-29 00:21:34+00:00,2,active,True,4,221,True,True,13,,,2020-07-29 00:26:45,2020
193,0,True,0,222,2020-07-29 00:24:30+00:00,0,active,True,4,222,True,True,10,,,2020-07-29 00:26:45,2020
194,0,False,0,224,2020-07-29 00:11:19+00:00,0,active,True,9,224,True,True,8,,,2020-07-29 00:26:45,2020
195,0,False,0,225,2020-07-29 00:22:33+00:00,2,active,True,17,225,True,True,0,,,2020-07-29 00:26:45,2020
196,0,False,0,226,2020-07-29 00:09:11+00:00,0,active,True,1,226,True,True,14,,,2020-07-29 00:26:45,2020
197,0,False,0,227,2020-07-29 00:20:11+00:00,1,active,True,6,227,True,True,12,,,2020-07-29 00:26:45,2020
198,0,False,0,228,2020-07-29 00:01:07+00:00,0,active,True,0,228,True,True,19,,,2020-07-29 00:26:45,2020
199,0,False,0,232,2020-07-28 21:22:00+00:00,0,active,True,5,232,True,True,6,,,2020-07-29 00:26:45,2020
200,0,False,0,233,2020-07-29 00:23:24+00:00,0,active,True,11,233,True,True,4,,,2020-07-29 00:26:45,2020
201,0,False,0,234,2020-07-29 00:12:35+00:00,0,active,True,5,234,True,True,10,,,2020-07-29 00:26:45,2020
202,0,False,0,235,2020-07-28 22:08:31+00:00,0,active,True,14,235,True,True,1,,,2020-07-29 00:26:45,2020
203,0,False,0,236,2020-07-29 00:13:06+00:00,0,active,True,10,236,True,True,5,,,2020-07-29 00:26:45,2020
204,0,False,0,239,2020-07-29 00:25:58+00:00,0,active,True,6,239,True,True,9,,,2020-07-29 00:26:45,2020
205,0,False,0,255,2020-07-28 16:47:53+00:00,0,active,True,7,255,True,True,8,,,2020-07-29 00:26:45,2020
206,0,False,0,258,2020-07-28 23:21:30+00:00,0,active,True,6,258,True,True,9,,,2020-07-29 00:26:45,2020
207,0,False,0,259,2020-07-28 22:00:07+00:00,1,active,True,1,259,True,True,13,,,2020-07-29 00:26:45,2020
208,0,False,0,260,2020-07-28 17:40:18+00:00,0,active,False,13,260,False,True,2,,,2020-07-29 00:26:45,2020
209,0,False,0,271,2020-07-29 00:09:08+00:00,1,active,True,4,271,True,True,10,,,2020-07-29 00:26:45,2020
210,0,False,0,272,2020-07-29 00:23:56+00:00,0,active,True,12,272,True,True,7,,,2020-07-29 00:26:45,2020
211,0,False,0,273,2020-07-29 00:13:12+00:00,1,active,True,26,273,True,True,13,,,2020-07-29 00:26:45,2020
212,0,False,0,279,2020-07-29 00:12:51+00:00,0,active,True,8,279,True,True,11,,,2020-07-29 00:26:45,2020
213,0,False,0,280,2020-07-29 00:16:38+00:00,0,active,True,11,280,True,True,8,,,2020-07-29 00:26:45,2020
214,0,False,0,282,2020-07-28 23:51:37+00:00,0,active,True,11,282,True,True,4,,,2020-07-29 00:26:45,2020
215,0,False,0,296,2020-07-29 00:24:12+00:00,0,active,True,6,296,True,True,17,,,2020-07-29 00:26:45,2020
216,0,False,0,318,2020-07-29 00:15:20+00:00,1,active,True,6,318,True,True,12,,,2020-07-29 00:26:45,2020
217,0,False,0,319,2020-07-29 00:25:19+00:00,0,active,True,13,319,True,True,12,,,2020-07-29 00:26:45,2020
218,0,False,0,327,2020-07-28 23:49:42+00:00,0,active,True,13,327,True,True,2,,,2020-07-29 00:26:45,2020
