,num_bikes_available,num_docks_disabled,is_returning,station_status,num_ebikes_available,eightd_has_available_keys,num_docks_available,station_id,num_bikes_disabled,is_renting,is_installed,last_reported,legacy_id,timestamp_of_data_read_request,year_station_last_reported
180,4,0,True,active,0,True,11,208,0,True,True,2020-08-11 01:06:25+00:00,208,2020-08-11 03:34:25,2020
181,8,0,True,active,0,False,7,209,0,True,True,2020-08-10 22:38:44+00:00,209,2020-08-11 03:34:25,2020
182,4,0,True,active,0,False,11,210,0,True,True,2020-08-10 23:11:11+00:00,210,2020-08-11 03:34:25,2020
183,5,0,True,active,0,False,14,211,0,True,True,2020-08-11 00:57:00+00:00,211,2020-08-11 03:34:25,2020
184,30,0,True,active,0,False,3,212,0,True,True,2020-08-11 03:22:17+00:00,212,2020-08-11 03:34:25,2020
185,4,0,True,active,0,True,12,213,0,True,True,2020-08-11 02:18:20+00:00,213,2020-08-11 03:34:25,2020
186,5,0,True,active,0,False,10,214,0,True,True,2020-08-11 03:30:24+00:00,214,2020-08-11 03:34:25,2020
187,7,0,True,active,0,False,8,215,0,True,True,2020-08-11 02:56:26+00:00,215,2020-08-11 03:34:25,2020
188,16,0,True,active,0,False,2,216,1,True,True,2020-08-10 23:27:09+00:00,216,2020-08-11 03:34:25,2020
189,13,0,True,active,0,False,6,217,0,True,True,2020-08-11 03:09:34+00:00,217,2020-08-11 03:34:25,2020
190,2,0,True,active,0,False,12,218,1,True,True,2020-08-11 01:41:01+00:00,218,2020-08-11 03:34:25,2020
191,6,0,True,active,0,False,9,219,0,True,True,2020-08-11 02:31:39+00:00,219,2020-08-11 03:34:25,2020
192,12,0,True,active,0,False,7,221,0,True,True,2020-08-11 03:27:30+00:00,221,2020-08-11 03:34:25,2020
193,6,0,True,active,0,True,8,222,0,True,True,2020-08-11 02:56:26+00:00,222,2020-08-11 03:34:25,2020
194,8,0,True,active,0,False,9,224,0,True,True,2020-08-11 02:24:48+00:00,224,2020-08-11 03:34:25,2020
195,13,0,True,active,0,False,6,225,0,True,True,2020-08-11 03:12:59+00:00,225,2020-08-11 03:34:25,2020
196,4,0,True,active,0,False,11,226,0,True,True,2020-08-11 02:44:28+00:00,226,2020-08-11 03:34:25,2020
197,8,0,True,active,0,False,11,227,0,True,True,2020-08-11 02:39:41+00:00,227,2020-08-11 03:34:25,2020
198,11,0,True,active,0,False,8,228,0,True,True,2020-08-11 01:13:02+00:00,228,2020-08-11 03:34:25,2020
199,8,0,True,active,0,False,3,232,0,True,True,2020-08-11 01:22:39+00:00,232,2020-08-11 03:34:25,2020
200,6,0,True,active,0,False,8,233,1,True,True,2020-08-11 03:00:56+00:00,233,2020-08-11 03:34:25,2020
201,2,0,True,active,0,False,13,234,0,True,True,2020-08-11 01:44:48+00:00,234,2020-08-11 03:34:25,2020
202,5,0,True,active,0,False,10,235,0,True,True,2020-08-10 20:46:12+00:00,235,2020-08-11 03:34:25,2020
203,11,0,True,active,0,False,4,236,0,True,True,2020-08-11 01:08:14+00:00,236,2020-08-11 03:34:25,2020
204,11,0,True,active,0,False,4,239,0,True,True,2020-08-11 01:32:03+00:00,239,2020-08-11 03:34:25,2020
205,11,0,True,active,0,False,4,255,0,True,True,2020-08-11 01:54:59+00:00,255,2020-08-11 03:34:25,2020
206,9,0,True,active,0,False,5,258,1,True,True,2020-08-11 00:02:39+00:00,258,2020-08-11 03:34:25,2020
207,15,0,True,active,0,False,0,259,0,True,True,2020-08-11 01:07:45+00:00,259,2020-08-11 03:34:25,2020
208,15,0,True,active,0,False,0,260,0,True,True,2020-08-11 02:13:44+00:00,260,2020-08-11 03:34:25,2020
209,7,0,True,active,0,False,8,271,0,True,True,2020-08-11 01:38:56+00:00,271,2020-08-11 03:34:25,2020
210,6,0,True,active,0,False,12,272,1,True,True,2020-08-10 23:07:58+00:00,272,2020-08-11 03:34:25,2020
211,21,0,True,active,0,False,14,273,5,True,True,2020-08-11 02:23:22+00:00,273,2020-08-11 03:34:25,2020
212,16,0,True,active,0,False,3,279,0,True,True,2020-08-11 02:02:36+00:00,279,2020-08-11 03:34:25,2020
213,9,0,True,active,0,False,10,280,0,True,True,2020-08-11 00:34:06+00:00,280,2020-08-11 03:34:25,2020
214,13,0,True,active,0,False,0,282,2,True,True,2020-08-11 00:17:01+00:00,282,2020-08-11 03:34:25,2020
215,11,0,True,active,0,False,11,296,1,True,True,2020-08-11 03:04:33+00:00,296,2020-08-11 03:34:25,2020
216,8,0,True,active,0,False,11,318,0,True,True,2020-08-11 02:49:27+00:00,318,2020-08-11 03:34:25,2020
217,4,0,True,active,0,False,21,319,0,True,True,2020-08-11 03:06:04+00:00,319,2020-08-11 03:34:25,2020
218,15,0,True,active,0,False,0,327,0,True,True,2020-08-11 01:53:42+00:00,327,2020-08-11 03:34:25,2020
219,2,0,True,active,0,False,13,328,0,True,True,2020-08-11 02:55:11+00:00,328,2020-08-11 03:34:25,2020
220,5,0,True,active,0,False,10,329,0,True,True,2020-08-11 02:08:33+00:00,329,2020-08-11 03:34:25,2020
221,9,0,True,active,0,False,6,330,0,True,True,2020-08-11 01:55:30+00:00,330,2020-08-11 03:34:25,2020
222,10,0,True,active,0,False,5,331,0,True,True,2020-08-11 03:23:23+00:00,331,2020-08-11 03:34:25,2020
223,14,0,True,active,0,False,0,332,1,True,True,2020-08-11 01:42:39+00:00,332,2020-08-11 03:34:25,2020
224,21,0,True,active,0,False,4,333,0,True,True,2020-08-11 01:46:52+00:00,333,2020-08-11 03:34:25,2020
225,18,0,True,active,0,False,1,334,0,True,True,2020-08-11 02:36:46+00:00,334,2020-08-11 03:34:25,2020
226,17,0,True,active,0,False,2,335,0,True,True,2020-08-11 03:06:40+00:00,335,2020-08-11 03:34:25,2020
227,12,0,True,active,0,False,1,336,2,True,True,2020-08-11 01:17:58+00:00,336,2020-08-11 03:34:25,2020
228,14,0,True,active,0,False,1,337,0,True,True,2020-08-11 01:26:03+00:00,337,2020-08-11 03:34:25,2020
