,legacy_id,num_docks_disabled,num_bikes_available,eightd_has_available_keys,station_status,station_id,is_renting,last_reported,num_ebikes_available,num_docks_available,is_returning,is_installed,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
110,121,0,2,False,active,121,True,2020-08-04 18:10:46+00:00,0,15,True,True,0,,,2020-08-04 18:13:25,2020
111,122,0,2,False,active,122,True,2020-08-04 18:12:58+00:00,0,12,True,True,1,,,2020-08-04 18:13:25,2020
112,124,0,4,False,active,124,True,2020-08-04 13:21:47+00:00,0,11,True,True,0,,,2020-08-04 18:13:25,2020
113,125,0,2,False,active,125,True,2020-08-04 17:57:24+00:00,0,13,True,True,0,,,2020-08-04 18:13:25,2020
114,126,0,1,False,active,126,True,2020-08-04 12:46:51+00:00,0,14,True,True,0,,,2020-08-04 18:13:25,2020
115,128,0,13,False,active,128,True,2020-08-04 16:32:26+00:00,0,6,True,True,0,,,2020-08-04 18:13:25,2020
116,129,0,13,False,active,129,True,2020-08-04 17:55:17+00:00,0,6,True,True,0,,,2020-08-04 18:13:25,2020
117,130,0,13,False,active,130,True,2020-08-04 17:43:37+00:00,0,2,True,True,0,,,2020-08-04 18:13:25,2020
118,131,0,9,False,active,131,True,2020-08-04 17:00:43+00:00,0,9,True,True,0,,,2020-08-04 18:13:25,2020
119,133,0,9,False,active,133,True,2020-08-04 18:02:33+00:00,0,13,True,True,1,,,2020-08-04 18:13:25,2020
120,135,0,13,False,active,135,True,2020-08-04 13:58:18+00:00,0,4,True,True,0,,,2020-08-04 18:13:25,2020
121,136,0,17,False,active,136,True,2020-08-04 17:59:40+00:00,0,1,True,True,1,,,2020-08-04 18:13:25,2020
122,137,0,4,False,active,137,True,2020-08-04 16:45:56+00:00,0,11,True,True,0,,,2020-08-04 18:13:25,2020
123,138,0,13,False,active,138,True,2020-08-04 17:55:14+00:00,0,1,True,True,1,,,2020-08-04 18:13:25,2020
124,139,0,0,False,active,139,True,2020-08-04 17:05:41+00:00,0,19,True,True,0,,,2020-08-04 18:13:25,2020
125,140,0,14,False,active,140,True,2020-08-04 17:47:43+00:00,0,3,True,True,0,,,2020-08-04 18:13:25,2020
126,141,0,6,False,active,141,True,2020-08-04 18:11:53+00:00,0,9,True,True,0,,,2020-08-04 18:13:25,2020
127,142,0,8,False,active,142,True,2020-08-04 17:46:50+00:00,0,13,True,True,2,,,2020-08-04 18:13:25,2020
128,143,0,8,False,active,143,True,2020-08-04 18:03:15+00:00,0,14,True,True,1,,,2020-08-04 18:13:25,2020
129,144,0,2,False,active,144,True,2020-08-04 17:45:27+00:00,0,17,True,True,0,,,2020-08-04 18:13:25,2020
130,145,0,14,False,active,145,True,2020-08-04 16:46:28+00:00,0,5,True,True,0,,,2020-08-04 18:13:25,2020
131,146,0,12,False,active,146,True,2020-08-04 17:31:00+00:00,0,5,True,True,2,,,2020-08-04 18:13:25,2020
132,149,0,10,True,active,149,True,2020-08-04 18:13:14+00:00,0,8,True,True,0,,,2020-08-04 18:13:25,2020
133,150,0,0,False,active,150,False,1970-01-02 00:00:00+00:00,0,0,True,True,0,,,2020-08-04 18:13:25,1970
134,151,0,13,False,active,151,True,2020-08-04 17:22:44+00:00,0,6,True,True,0,,,2020-08-04 18:13:25,2020
135,152,0,12,True,active,152,True,2020-08-04 18:07:52+00:00,0,3,True,True,0,,,2020-08-04 18:13:25,2020
136,156,0,5,False,active,156,True,2020-08-04 17:32:55+00:00,0,10,True,True,0,,,2020-08-04 18:13:25,2020
137,157,0,10,False,active,157,True,2020-08-04 18:10:38+00:00,0,2,True,True,3,,,2020-08-04 18:13:25,2020
138,159,0,5,False,active,159,True,2020-08-04 18:07:57+00:00,0,9,True,True,1,,,2020-08-04 18:13:25,2020
139,160,0,2,True,active,160,True,2020-08-04 17:51:47+00:00,0,11,True,True,1,,,2020-08-04 18:13:25,2020
140,161,0,4,True,active,161,True,2020-08-04 18:03:34+00:00,0,19,True,True,0,,,2020-08-04 18:13:25,2020
141,162,0,4,False,active,162,True,2020-08-04 17:35:18+00:00,0,11,True,True,0,,,2020-08-04 18:13:25,2020
142,163,0,6,True,active,163,True,2020-08-04 17:59:14+00:00,0,13,True,True,0,,,2020-08-04 18:13:25,2020
143,167,0,13,False,active,167,True,2020-08-04 18:05:00+00:00,0,2,True,True,0,,,2020-08-04 18:13:25,2020
144,169,0,14,False,active,169,True,2020-08-04 17:55:08+00:00,0,5,True,True,0,,,2020-08-04 18:13:25,2020
145,170,0,1,True,active,170,True,2020-08-04 15:44:17+00:00,0,13,True,True,0,,,2020-08-04 18:13:25,2020
146,171,0,5,True,active,171,True,2020-08-04 12:50:10+00:00,0,18,True,True,0,,,2020-08-04 18:13:25,2020
147,173,0,7,True,active,173,True,2020-08-04 17:59:48+00:00,0,7,True,True,0,,,2020-08-04 18:13:25,2020
148,174,0,6,False,active,174,True,2020-08-04 17:45:49+00:00,0,9,True,True,0,,,2020-08-04 18:13:25,2020
149,175,0,1,True,active,175,True,2020-08-04 18:04:15+00:00,0,16,True,True,0,,,2020-08-04 18:13:25,2020
150,176,0,3,False,active,176,True,2020-08-04 17:52:06+00:00,0,12,True,True,0,,,2020-08-04 18:13:25,2020
151,177,0,11,False,active,177,True,2020-08-04 17:16:02+00:00,0,8,True,True,0,,,2020-08-04 18:13:25,2020
152,178,0,3,False,active,178,True,2020-08-04 17:56:46+00:00,0,16,True,True,0,,,2020-08-04 18:13:25,2020
153,179,0,13,False,active,179,True,2020-08-04 18:08:04+00:00,0,12,True,True,0,,,2020-08-04 18:13:25,2020
154,180,0,16,False,active,180,True,2020-08-04 17:12:47+00:00,0,3,True,True,0,,,2020-08-04 18:13:25,2020
155,181,0,16,False,active,181,True,2020-08-04 18:08:43+00:00,0,2,True,True,1,,,2020-08-04 18:13:25,2020
156,182,0,3,True,active,182,True,2020-08-04 17:58:30+00:00,0,15,True,True,1,,,2020-08-04 18:13:25,2020
157,183,0,12,False,active,183,True,2020-08-04 16:10:06+00:00,0,7,True,True,0,,,2020-08-04 18:13:25,2020
158,184,0,12,False,active,184,True,2020-08-04 18:11:01+00:00,0,6,True,True,1,,,2020-08-04 18:13:25,2020
159,185,0,2,False,active,185,True,2020-08-04 17:36:10+00:00,0,12,True,True,1,,,2020-08-04 18:13:25,2020
160,186,0,1,True,active,186,True,2020-08-04 17:46:40+00:00,0,14,True,True,0,,,2020-08-04 18:13:25,2020
161,187,0,14,False,active,187,True,2020-08-04 15:40:14+00:00,0,1,True,True,0,,,2020-08-04 18:13:25,2020
162,188,0,4,False,active,188,True,2020-08-04 17:09:15+00:00,0,11,True,True,0,,,2020-08-04 18:13:25,2020
163,189,0,6,False,active,189,True,2020-08-04 18:11:05+00:00,0,17,True,True,0,,,2020-08-04 18:13:25,2020
164,190,0,5,True,active,190,True,2020-08-04 18:11:57+00:00,0,32,True,True,0,,,2020-08-04 18:13:25,2020
165,191,0,4,False,active,191,True,2020-08-04 17:43:56+00:00,0,11,True,True,0,,,2020-08-04 18:13:25,2020
166,192,0,9,False,active,192,True,2020-08-04 18:12:02+00:00,0,10,True,True,0,,,2020-08-04 18:13:25,2020
167,193,0,7,True,active,193,True,2020-08-04 17:57:47+00:00,0,7,True,True,1,,,2020-08-04 18:13:25,2020
168,194,0,6,False,active,194,True,2020-08-04 16:50:01+00:00,0,13,True,True,0,,,2020-08-04 18:13:25,2020
169,195,0,5,False,active,195,True,2020-08-04 18:10:29+00:00,0,17,True,True,1,,,2020-08-04 18:13:25,2020
170,196,0,2,True,active,196,True,2020-08-04 18:12:03+00:00,0,8,True,True,0,,,2020-08-04 18:13:25,2020
171,197,0,0,False,active,197,True,2020-08-04 17:43:33+00:00,0,15,True,True,0,,,2020-08-04 18:13:25,2020
172,199,0,12,False,active,199,True,2020-08-04 10:28:56+00:00,0,3,True,True,0,,,2020-08-04 18:13:25,2020
173,200,0,13,False,active,200,True,2020-08-04 16:46:56+00:00,0,5,True,True,1,,,2020-08-04 18:13:25,2020
174,201,0,0,False,active,201,True,2020-08-04 12:17:44+00:00,0,15,True,True,0,,,2020-08-04 18:13:25,2020
175,202,0,0,False,active,202,True,2020-08-04 18:10:32+00:00,0,14,True,True,1,,,2020-08-04 18:13:25,2020
176,203,0,6,False,active,203,True,2020-08-04 08:21:44+00:00,0,9,True,True,0,,,2020-08-04 18:13:25,2020
177,204,0,2,False,active,204,True,2020-08-04 15:21:35+00:00,0,13,True,True,0,,,2020-08-04 18:13:25,2020
178,205,0,7,False,active,205,True,2020-08-04 08:49:49+00:00,0,8,True,True,0,,,2020-08-04 18:13:25,2020
179,206,0,9,False,active,206,True,2020-08-04 17:40:14+00:00,0,14,True,True,0,,,2020-08-04 18:13:25,2020
180,208,0,15,True,active,208,True,2020-08-04 18:08:42+00:00,0,0,True,True,0,,,2020-08-04 18:13:25,2020
181,209,0,6,False,active,209,True,2020-08-04 16:08:34+00:00,0,9,True,True,0,,,2020-08-04 18:13:25,2020
182,210,0,2,False,active,210,True,2020-08-04 16:13:15+00:00,0,12,True,True,1,,,2020-08-04 18:13:25,2020
183,211,0,15,False,active,211,True,2020-08-04 17:44:16+00:00,0,4,True,True,0,,,2020-08-04 18:13:25,2020
184,212,0,24,False,active,212,True,2020-08-04 15:17:56+00:00,0,9,True,True,0,,,2020-08-04 18:13:25,2020
185,213,0,5,True,active,213,True,2020-08-04 17:54:14+00:00,0,11,True,True,0,,,2020-08-04 18:13:25,2020
186,214,0,8,False,active,214,True,2020-08-04 18:09:15+00:00,0,7,True,True,0,,,2020-08-04 18:13:25,2020
187,215,0,13,False,active,215,True,2020-08-04 17:58:30+00:00,0,2,True,True,0,,,2020-08-04 18:13:25,2020
188,216,0,12,False,active,216,True,2020-08-04 18:10:19+00:00,0,7,True,True,0,,,2020-08-04 18:13:25,2020
