,station_id,last_reported,num_bikes_available,num_docks_available,is_installed,legacy_id,station_status,num_docks_disabled,eightd_has_available_keys,num_ebikes_available,num_bikes_disabled,is_returning,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
115,128,2020-08-14 20:59:28+00:00,13,6,True,128,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
116,129,2020-08-14 22:05:22+00:00,13,6,True,129,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
117,130,2020-08-14 18:20:59+00:00,9,6,True,130,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
118,131,2020-08-14 21:50:49+00:00,8,9,True,131,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
119,133,2020-08-14 21:40:41+00:00,1,22,True,133,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
120,135,2020-08-14 21:05:02+00:00,0,17,True,135,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
121,136,2020-08-14 21:57:39+00:00,10,9,True,136,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
122,137,2020-08-14 22:08:44+00:00,5,10,True,137,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
123,138,2020-08-14 21:53:50+00:00,7,7,True,138,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
124,139,2020-08-14 22:05:42+00:00,5,14,True,139,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
125,140,2020-08-14 22:02:06+00:00,15,1,True,140,active,0,False,0,1,True,True,,,2020-08-14 22:09:40,2020
126,141,2020-08-14 21:51:41+00:00,6,9,True,141,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
127,142,2020-08-14 21:42:55+00:00,18,5,True,142,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
128,143,2020-08-14 21:58:02+00:00,14,7,True,143,active,0,False,0,2,True,True,,,2020-08-14 22:09:40,2020
129,144,2020-08-14 21:25:56+00:00,17,2,True,144,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
130,145,2020-08-14 21:29:23+00:00,15,4,True,145,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
131,146,2020-08-14 21:40:12+00:00,6,13,True,146,active,0,False,0,0,True,True,,,2020-08-14 22:09:40,2020
132,149,2020-08-14 22:08:17+00:00,9,9,True,149,active,0,True,0,0,True,True,,,2020-08-14 22:09:40,2020
