,num_docks_available,legacy_id,num_bikes_available,is_installed,is_returning,station_status,num_docks_disabled,is_renting,eightd_has_available_keys,last_reported,station_id,num_bikes_disabled,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
114,7,126,7,True,True,active,0,True,False,2020-08-13 03:35:17+00:00,126,1,0,2020-08-13 05:28:25,2020
115,13,128,5,True,True,active,0,True,False,2020-08-13 04:03:53+00:00,128,1,0,2020-08-13 05:28:25,2020
116,5,129,14,True,True,active,0,True,False,2020-08-13 03:28:06+00:00,129,0,0,2020-08-13 05:28:25,2020
117,3,130,12,True,True,active,0,True,False,2020-08-13 04:03:05+00:00,130,0,0,2020-08-13 05:28:25,2020
118,3,131,15,True,True,active,0,True,False,2020-08-13 04:12:34+00:00,131,0,0,2020-08-13 05:28:25,2020
119,10,133,12,True,True,active,0,True,False,2020-08-13 03:29:58+00:00,133,1,0,2020-08-13 05:28:25,2020
120,15,135,2,True,True,active,0,True,False,2020-08-13 03:23:50+00:00,135,0,0,2020-08-13 05:28:25,2020
121,14,136,4,True,True,active,0,True,False,2020-08-13 03:24:14+00:00,136,1,0,2020-08-13 05:28:25,2020
122,4,137,11,True,True,active,0,True,False,2020-08-13 03:23:15+00:00,137,0,0,2020-08-13 05:28:25,2020
123,2,138,12,True,True,active,0,True,False,2020-08-13 03:34:24+00:00,138,1,0,2020-08-13 05:28:25,2020
124,2,139,17,True,True,active,0,True,False,2020-08-13 05:13:58+00:00,139,0,0,2020-08-13 05:28:25,2020
125,3,140,14,True,True,active,0,True,False,2020-08-13 03:23:54+00:00,140,0,0,2020-08-13 05:28:25,2020
126,10,141,5,True,True,active,0,True,False,2020-08-13 05:14:59+00:00,141,0,0,2020-08-13 05:28:25,2020
127,11,142,11,True,True,active,0,True,False,2020-08-13 03:23:31+00:00,142,1,0,2020-08-13 05:28:25,2020
128,5,143,14,True,True,active,0,True,False,2020-08-13 05:16:34+00:00,143,4,0,2020-08-13 05:28:25,2020
129,8,144,10,True,True,active,0,True,False,2020-08-13 03:23:40+00:00,144,1,0,2020-08-13 05:28:25,2020
130,1,145,18,True,True,active,0,True,False,2020-08-13 03:40:14+00:00,145,0,0,2020-08-13 05:28:25,2020
131,6,146,12,True,True,active,0,True,False,2020-08-13 03:24:37+00:00,146,1,0,2020-08-13 05:28:25,2020
132,7,149,11,True,True,active,0,True,True,2020-08-13 05:25:12+00:00,149,0,0,2020-08-13 05:28:25,2020
133,4,150,15,True,True,active,0,True,False,2020-08-13 03:24:08+00:00,150,0,0,2020-08-13 05:28:25,2020
134,14,151,5,True,True,active,0,True,False,2020-08-13 03:53:22+00:00,151,0,0,2020-08-13 05:28:25,2020
135,10,152,5,True,True,active,0,True,True,2020-08-13 03:54:15+00:00,152,0,0,2020-08-13 05:28:25,2020
136,9,156,6,True,True,active,0,True,False,2020-08-13 04:36:52+00:00,156,0,0,2020-08-13 05:28:25,2020
137,13,157,1,True,True,active,0,True,False,2020-08-13 05:22:27+00:00,157,1,0,2020-08-13 05:28:25,2020
138,0,159,15,True,True,active,0,True,False,2020-08-13 04:31:04+00:00,159,0,0,2020-08-13 05:28:25,2020
139,7,160,7,True,True,active,0,True,True,2020-08-13 05:13:52+00:00,160,0,0,2020-08-13 05:28:25,2020
140,1,161,20,True,True,active,0,True,True,2020-08-13 05:25:55+00:00,161,2,0,2020-08-13 05:28:25,2020
141,11,162,4,True,True,active,0,True,False,2020-08-13 03:24:31+00:00,162,0,0,2020-08-13 05:28:25,2020
142,11,163,8,True,True,active,0,True,True,2020-08-13 03:23:49+00:00,163,0,0,2020-08-13 05:28:25,2020
143,10,167,5,True,True,active,0,True,False,2020-08-13 04:04:32+00:00,167,0,0,2020-08-13 05:28:25,2020
144,5,169,14,True,True,active,0,True,False,2020-08-13 02:45:56+00:00,169,0,0,2020-08-13 05:28:25,2020
145,9,170,4,True,True,active,0,True,True,2020-08-13 03:24:18+00:00,170,1,0,2020-08-13 05:28:25,2020
146,13,171,10,True,True,active,0,True,True,2020-08-12 23:58:34+00:00,171,0,0,2020-08-13 05:28:25,2020
147,5,173,9,True,True,active,0,True,True,2020-08-13 03:24:57+00:00,173,0,0,2020-08-13 05:28:25,2020
148,8,174,6,True,True,active,0,True,False,2020-08-13 05:03:39+00:00,174,1,0,2020-08-13 05:28:25,2020
149,8,175,8,True,True,active,0,True,True,2020-08-13 03:24:23+00:00,175,1,0,2020-08-13 05:28:25,2020
150,1,176,14,True,True,active,0,True,False,2020-08-13 03:23:48+00:00,176,0,0,2020-08-13 05:28:25,2020
151,16,177,3,True,True,active,0,True,False,2020-08-13 04:32:07+00:00,177,0,0,2020-08-13 05:28:25,2020
152,17,178,2,True,True,active,0,True,False,2020-08-13 04:48:35+00:00,178,0,0,2020-08-13 05:28:25,2020
153,12,179,13,True,True,active,0,True,False,2020-08-13 04:40:03+00:00,179,0,0,2020-08-13 05:28:25,2020
154,12,180,7,True,True,active,0,True,False,2020-08-13 03:43:23+00:00,180,0,0,2020-08-13 05:28:25,2020
155,7,181,12,True,True,active,0,True,False,2020-08-13 03:24:55+00:00,181,0,0,2020-08-13 05:28:25,2020
156,18,182,1,True,True,active,0,True,True,2020-08-13 03:24:10+00:00,182,0,0,2020-08-13 05:28:25,2020
157,15,183,3,True,True,active,0,True,False,2020-08-13 04:05:18+00:00,183,1,0,2020-08-13 05:28:25,2020
158,8,184,11,True,True,active,0,True,False,2020-08-13 03:23:51+00:00,184,0,0,2020-08-13 05:28:25,2020
159,7,185,8,True,True,active,0,True,False,2020-08-13 05:16:23+00:00,185,0,0,2020-08-13 05:28:25,2020
160,12,186,3,True,True,active,0,True,True,2020-08-13 04:24:41+00:00,186,0,0,2020-08-13 05:28:25,2020
161,8,187,7,True,True,active,0,True,False,2020-08-13 03:24:24+00:00,187,0,0,2020-08-13 05:28:25,2020
162,0,188,14,True,True,active,0,True,False,2020-08-13 03:24:30+00:00,188,1,0,2020-08-13 05:28:25,2020
163,23,189,0,True,True,active,0,True,True,2020-08-13 03:24:02+00:00,189,0,0,2020-08-13 05:28:25,2020
164,26,190,10,True,True,active,0,True,True,2020-08-13 03:58:36+00:00,190,1,0,2020-08-13 05:28:25,2020
165,8,191,7,True,True,active,0,True,False,2020-08-13 05:21:44+00:00,191,0,0,2020-08-13 05:28:25,2020
166,19,192,0,True,True,active,0,True,False,2020-08-13 03:24:20+00:00,192,0,0,2020-08-13 05:28:25,2020
167,10,193,3,True,True,active,0,True,True,2020-08-13 03:23:32+00:00,193,2,0,2020-08-13 05:28:25,2020
168,17,194,2,True,True,active,0,True,False,2020-08-13 04:34:42+00:00,194,0,0,2020-08-13 05:28:25,2020
169,8,195,15,True,True,active,0,True,False,2020-08-13 03:21:44+00:00,195,0,0,2020-08-13 05:28:25,2020
