,station_id,num_docks_available,eightd_has_available_keys,num_ebikes_available,is_renting,num_bikes_disabled,is_installed,station_status,last_reported,num_bikes_available,legacy_id,is_returning,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
254,363,8,False,0,True,0,True,active,2020-08-06 08:48:10+00:00,11,363,True,0,,,2020-08-06 09:36:55,2020
255,364,11,False,0,True,0,True,active,2020-08-06 05:18:07+00:00,8,364,True,0,,,2020-08-06 09:36:55,2020
256,365,10,False,0,True,1,True,active,2020-08-06 09:36:47+00:00,8,365,True,0,,,2020-08-06 09:36:55,2020
257,366,14,False,0,True,0,True,active,2020-08-06 08:46:53+00:00,1,366,True,0,,,2020-08-06 09:36:55,2020
258,367,2,False,0,True,0,True,active,2020-08-06 07:31:27+00:00,17,367,True,0,,,2020-08-06 09:36:55,2020
259,368,10,False,0,True,0,True,active,2020-08-06 02:51:33+00:00,5,368,True,0,,,2020-08-06 09:36:55,2020
260,369,7,False,0,True,0,True,active,2020-08-06 08:58:26+00:00,8,369,True,0,,,2020-08-06 09:36:55,2020
261,370,3,False,0,True,1,True,active,2020-08-06 08:47:23+00:00,15,370,True,0,,,2020-08-06 09:36:55,2020
262,371,3,False,0,True,0,True,active,2020-08-06 08:48:16+00:00,16,371,True,0,,,2020-08-06 09:36:55,2020
263,372,10,False,0,True,0,True,active,2020-08-06 08:47:23+00:00,9,372,True,0,,,2020-08-06 09:36:55,2020
264,373,9,False,0,True,0,True,active,2020-08-06 09:15:06+00:00,6,373,True,0,,,2020-08-06 09:36:55,2020
265,374,14,False,0,True,0,True,active,2020-08-06 09:16:15+00:00,5,374,True,0,,,2020-08-06 09:36:55,2020
266,376,9,False,0,True,0,True,active,2020-08-06 08:26:41+00:00,6,376,True,0,,,2020-08-06 09:36:55,2020
267,377,3,False,0,False,1,True,active,2020-08-06 03:53:31+00:00,15,377,False,0,,,2020-08-06 09:36:55,2020
268,378,7,False,0,True,0,True,active,2020-08-06 08:07:31+00:00,12,378,True,0,,,2020-08-06 09:36:55,2020
269,379,1,False,0,True,1,True,active,2020-08-06 08:31:56+00:00,13,379,True,0,,,2020-08-06 09:36:55,2020
270,380,17,False,0,True,1,True,active,2020-08-06 08:53:25+00:00,0,380,True,0,,,2020-08-06 09:36:55,2020
271,381,2,False,0,True,0,True,active,2020-08-06 09:02:03+00:00,17,381,True,0,,,2020-08-06 09:36:55,2020
272,384,12,True,0,True,0,True,active,2020-08-06 08:33:35+00:00,7,384,True,0,,,2020-08-06 09:36:55,2020
273,385,5,False,0,True,1,True,active,2020-08-06 09:29:43+00:00,8,385,True,1,,,2020-08-06 09:36:55,2020
274,386,10,False,0,True,0,True,active,2020-08-06 08:48:35+00:00,9,386,True,0,,,2020-08-06 09:36:55,2020
275,387,2,False,0,True,0,True,active,2020-08-06 08:53:27+00:00,13,387,True,0,,,2020-08-06 09:36:55,2020
276,388,9,False,0,True,0,True,active,2020-08-06 08:57:33+00:00,2,388,True,0,,,2020-08-06 09:36:55,2020
277,389,1,False,0,True,0,True,active,2020-08-06 08:52:47+00:00,13,389,True,0,,,2020-08-06 09:36:55,2020
278,390,1,False,0,True,0,True,active,2020-08-06 08:57:02+00:00,14,390,True,0,,,2020-08-06 09:36:55,2020
279,391,1,False,0,True,0,True,active,2020-08-06 08:52:05+00:00,14,391,True,0,,,2020-08-06 09:36:55,2020
280,392,7,False,0,True,0,True,active,2020-08-06 08:52:33+00:00,8,392,True,0,,,2020-08-06 09:36:55,2020
281,393,9,False,0,True,0,True,active,2020-08-06 08:58:36+00:00,6,393,True,0,,,2020-08-06 09:36:55,2020
282,394,14,False,0,True,0,True,active,2020-08-06 08:53:22+00:00,0,394,True,0,,,2020-08-06 09:36:55,2020
283,395,6,False,0,True,0,True,active,2020-08-06 08:57:06+00:00,9,395,True,0,,,2020-08-06 09:36:55,2020
284,396,3,False,0,True,0,True,active,2020-08-06 08:51:49+00:00,12,396,True,0,,,2020-08-06 09:36:55,2020
285,397,8,False,0,True,0,True,active,2020-08-06 08:52:37+00:00,7,397,True,0,,,2020-08-06 09:36:55,2020
286,398,14,False,0,True,0,True,active,2020-08-06 08:57:46+00:00,5,398,True,0,,,2020-08-06 09:36:55,2020
287,399,5,False,0,True,0,True,active,2020-08-06 08:53:22+00:00,10,399,True,0,,,2020-08-06 09:36:55,2020
288,400,24,False,0,True,0,True,active,2020-08-06 08:53:01+00:00,3,400,True,0,,,2020-08-06 09:36:55,2020
289,401,3,False,0,True,0,True,active,2020-08-06 08:58:00+00:00,12,401,True,0,,,2020-08-06 09:36:55,2020
290,402,2,False,0,True,1,True,active,2020-08-06 03:35:47+00:00,12,402,True,0,,,2020-08-06 09:36:55,2020
291,403,1,False,0,True,0,True,active,2020-08-06 09:22:22+00:00,14,403,True,0,,,2020-08-06 09:36:55,2020
292,404,7,False,0,True,0,True,active,2020-08-06 09:17:46+00:00,9,404,True,0,,,2020-08-06 09:36:55,2020
293,405,1,False,0,True,0,True,active,2020-08-06 08:53:34+00:00,18,405,True,0,,,2020-08-06 09:36:55,2020
294,406,5,False,0,True,0,True,active,2020-08-06 08:52:01+00:00,10,406,True,0,,,2020-08-06 09:36:55,2020
295,407,11,False,0,True,0,True,active,2020-08-06 08:51:49+00:00,8,407,True,0,,,2020-08-06 09:36:55,2020
296,408,0,False,0,True,0,True,active,2020-08-06 08:58:37+00:00,15,408,True,0,,,2020-08-06 09:36:55,2020
297,409,7,False,0,True,0,True,active,2020-08-06 08:58:10+00:00,12,409,True,0,,,2020-08-06 09:36:55,2020
298,410,6,False,0,True,0,True,active,2020-08-06 09:15:42+00:00,13,410,True,0,,,2020-08-06 09:36:55,2020
299,411,0,False,0,True,1,True,active,2020-08-06 08:57:31+00:00,14,411,True,0,,,2020-08-06 09:36:55,2020
300,412,9,False,0,True,0,True,active,2020-08-06 08:57:05+00:00,10,412,True,0,,,2020-08-06 09:36:55,2020
301,413,4,False,0,True,0,True,active,2020-08-06 08:57:18+00:00,15,413,True,0,,,2020-08-06 09:36:55,2020
302,414,22,False,0,True,0,True,active,2020-08-06 08:57:12+00:00,1,414,True,0,,,2020-08-06 09:36:55,2020
303,415,11,False,0,True,0,True,active,2020-08-06 07:18:46+00:00,8,415,True,0,,,2020-08-06 09:36:55,2020
304,416,10,False,0,True,0,True,active,2020-08-06 08:58:04+00:00,5,416,True,0,,,2020-08-06 09:36:55,2020
305,417,1,False,0,True,0,True,active,2020-08-06 04:15:42+00:00,18,417,True,0,,,2020-08-06 09:36:55,2020
306,419,13,False,0,True,0,True,active,2020-08-06 08:57:53+00:00,2,419,True,0,,,2020-08-06 09:36:55,2020
307,420,0,False,0,False,0,False,out_of_service,1970-01-02 00:00:00+00:00,0,420,False,0,,,2020-08-06 09:36:55,1970
308,421,6,False,0,False,0,True,active,2020-08-05 16:11:59+00:00,13,421,False,0,,,2020-08-06 09:36:55,2020
309,422,9,False,0,True,0,True,active,2020-08-05 23:13:50+00:00,6,422,True,0,,,2020-08-06 09:36:55,2020
