,eightd_has_available_keys,num_docks_available,num_bikes_available,num_docks_disabled,station_id,station_status,legacy_id,last_reported,num_bikes_disabled,is_installed,is_renting,num_ebikes_available,is_returning,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
89,True,3,21,0,100,active,100,2020-08-06 22:58:51+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
90,False,3,12,0,101,active,101,2020-08-06 22:50:49+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
91,False,6,8,0,102,active,102,2020-08-06 22:09:58+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
92,False,10,5,0,103,active,103,2020-08-06 23:03:23+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
93,False,13,6,0,104,active,104,2020-08-06 23:03:07+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
94,False,12,7,0,105,active,105,2020-08-06 22:58:48+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
95,False,10,4,0,106,active,106,2020-08-06 22:26:30+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
96,False,16,3,0,107,active,107,2020-08-06 23:02:33+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
97,False,8,9,0,108,active,108,2020-08-06 22:52:48+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
98,False,27,8,0,109,active,109,2020-08-06 18:32:49+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
99,False,15,0,0,110,active,110,2020-08-06 23:03:10+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
100,False,12,3,0,111,active,111,2020-08-06 22:57:02+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
101,False,12,3,0,112,active,112,2020-08-06 21:55:32+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
102,False,9,6,0,113,active,113,2020-08-06 23:00:33+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
103,False,3,11,0,114,active,114,2020-08-06 22:20:52+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
104,False,3,15,0,115,active,115,2020-08-06 23:02:35+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
105,False,15,7,0,116,active,116,2020-08-06 23:00:44+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
106,False,3,16,0,117,active,117,2020-08-06 22:57:01+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
107,False,3,16,0,118,active,118,2020-08-06 23:02:57+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
108,False,14,1,0,119,active,119,2020-08-06 22:54:03+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
109,False,13,2,0,120,active,120,2020-08-06 23:00:08+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
110,False,17,0,0,121,active,121,2020-08-06 22:29:13+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
111,False,13,2,0,122,active,122,2020-08-06 20:55:52+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
112,False,10,5,0,124,active,124,2020-08-06 20:22:30+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
113,False,10,4,0,125,active,125,2020-08-06 22:52:22+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
114,False,8,7,0,126,active,126,2020-08-06 22:31:13+00:00,0,True,True,0,True,,,2020-08-06 23:04:15,2020
115,False,4,14,0,128,active,128,2020-08-06 21:54:28+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
116,False,4,14,0,129,active,129,2020-08-06 22:47:52+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
117,False,4,10,0,130,active,130,2020-08-06 22:29:50+00:00,1,True,True,0,True,,,2020-08-06 23:04:15,2020
118,False,13,3,0,131,active,131,2020-08-06 22:44:09+00:00,2,True,True,0,True,,,2020-08-06 23:04:15,2020
