,num_ebikes_available,last_reported,station_id,num_bikes_disabled,is_installed,is_renting,is_returning,num_bikes_available,eightd_has_available_keys,station_status,num_docks_disabled,legacy_id,num_docks_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
104,0,2020-08-06 08:39:23+00:00,115,1,True,True,True,16,False,active,0,115,2,,,2020-08-06 08:46:00,2020
105,0,2020-08-06 04:45:12+00:00,116,0,True,True,True,18,False,active,0,116,5,,,2020-08-06 08:46:00,2020
106,0,2020-08-06 03:09:46+00:00,117,1,True,True,True,13,False,active,0,117,5,,,2020-08-06 08:46:00,2020
107,0,2020-08-06 03:21:07+00:00,118,1,True,True,True,15,False,active,0,118,3,,,2020-08-06 08:46:00,2020
108,0,2020-08-06 08:26:39+00:00,119,0,True,True,True,13,False,active,0,119,2,,,2020-08-06 08:46:00,2020
109,0,2020-08-06 06:31:53+00:00,120,1,True,True,True,9,False,active,0,120,5,,,2020-08-06 08:46:00,2020
110,0,2020-08-06 08:26:54+00:00,121,0,True,True,True,17,False,active,0,121,0,,,2020-08-06 08:46:00,2020
111,0,2020-08-06 05:11:59+00:00,122,0,True,True,True,2,False,active,0,122,13,,,2020-08-06 08:46:00,2020
112,0,2020-08-06 00:27:27+00:00,124,0,True,False,False,6,False,active,0,124,9,,,2020-08-06 08:46:00,2020
113,0,2020-08-06 02:39:45+00:00,125,1,True,True,True,12,False,active,0,125,2,,,2020-08-06 08:46:00,2020
114,0,2020-08-06 08:26:25+00:00,126,0,True,True,True,3,False,active,0,126,12,,,2020-08-06 08:46:00,2020
115,0,2020-08-06 08:33:14+00:00,128,0,True,True,True,13,False,active,0,128,6,,,2020-08-06 08:46:00,2020
116,0,2020-08-06 01:57:13+00:00,129,0,True,True,True,19,False,active,0,129,0,,,2020-08-06 08:46:00,2020
117,0,2020-08-06 08:38:51+00:00,130,1,True,True,True,13,False,active,0,130,1,,,2020-08-06 08:46:00,2020
118,0,2020-08-06 08:22:28+00:00,131,1,True,True,True,17,False,active,0,131,0,,,2020-08-06 08:46:00,2020
119,0,2020-08-06 03:56:59+00:00,133,1,True,True,True,14,False,active,0,133,8,,,2020-08-06 08:46:00,2020
120,0,2020-08-06 00:12:05+00:00,135,0,True,True,True,9,False,active,0,135,8,,,2020-08-06 08:46:00,2020
121,0,2020-08-06 08:12:48+00:00,136,0,True,True,True,1,False,active,0,136,18,,,2020-08-06 08:46:00,2020
122,0,2020-08-06 05:01:25+00:00,137,0,True,True,True,4,False,active,0,137,11,,,2020-08-06 08:46:00,2020
123,0,2020-08-06 05:08:42+00:00,138,0,True,True,True,4,False,active,0,138,11,,,2020-08-06 08:46:00,2020
124,0,2020-08-06 08:13:15+00:00,139,0,True,True,True,14,False,active,0,139,5,,,2020-08-06 08:46:00,2020
125,0,2020-08-06 04:27:32+00:00,140,0,True,True,True,13,False,active,0,140,4,,,2020-08-06 08:46:00,2020
