,num_bikes_available,is_renting,station_status,num_docks_disabled,num_docks_available,station_id,num_bikes_disabled,last_reported,legacy_id,is_returning,is_installed,num_ebikes_available,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
95,7,True,active,0,8,106,0,2020-08-20 22:38:04+00:00,106,True,True,0,False,,,2020-08-20 23:03:00,2020
96,2,True,active,0,17,107,0,2020-08-20 22:57:58+00:00,107,True,True,0,False,,,2020-08-20 23:03:00,2020
97,2,True,active,0,15,108,0,2020-08-20 22:51:32+00:00,108,True,True,0,False,,,2020-08-20 23:03:00,2020
98,2,True,active,0,33,109,0,2020-08-20 22:49:10+00:00,109,True,True,0,False,,,2020-08-20 23:03:00,2020
99,1,True,active,0,14,110,0,2020-08-20 22:53:35+00:00,110,True,True,0,False,,,2020-08-20 23:03:00,2020
100,6,True,active,0,9,111,0,2020-08-20 22:33:35+00:00,111,True,True,0,False,,,2020-08-20 23:03:00,2020
101,2,True,active,0,13,112,0,2020-08-20 22:40:49+00:00,112,True,True,0,False,,,2020-08-20 23:03:00,2020
102,5,True,active,0,8,113,2,2020-08-20 22:53:41+00:00,113,True,True,0,False,,,2020-08-20 23:03:00,2020
103,3,True,active,0,12,114,0,2020-08-20 22:09:10+00:00,114,True,True,0,False,,,2020-08-20 23:03:00,2020
104,8,True,active,0,11,115,0,2020-08-20 22:45:08+00:00,115,True,True,0,False,,,2020-08-20 23:03:00,2020
105,2,True,active,0,21,116,0,2020-08-20 22:59:06+00:00,116,True,True,0,False,,,2020-08-20 23:03:00,2020
106,2,True,active,0,17,117,0,2020-08-20 22:25:00+00:00,117,True,True,0,False,,,2020-08-20 23:03:00,2020
107,11,True,active,0,7,118,1,2020-08-20 22:48:34+00:00,118,True,True,0,False,,,2020-08-20 23:03:00,2020
108,5,True,active,0,10,119,0,2020-08-20 22:54:12+00:00,119,True,True,0,False,,,2020-08-20 23:03:00,2020
109,5,True,active,0,10,120,0,2020-08-20 23:00:15+00:00,120,True,True,0,False,,,2020-08-20 23:03:00,2020
110,4,True,active,0,13,121,0,2020-08-20 22:55:54+00:00,121,True,True,0,False,,,2020-08-20 23:03:00,2020
111,14,True,active,0,0,122,1,2020-08-20 22:58:22+00:00,122,True,True,0,False,,,2020-08-20 23:03:00,2020
112,0,True,active,0,15,124,0,2020-08-20 19:43:43+00:00,124,True,True,0,False,,,2020-08-20 23:03:00,2020
113,6,True,active,0,8,125,1,2020-08-20 22:49:22+00:00,125,True,True,0,False,,,2020-08-20 23:03:00,2020
114,13,True,active,0,1,126,1,2020-08-20 22:46:02+00:00,126,True,True,0,False,,,2020-08-20 23:03:00,2020
