,station_status,is_renting,is_returning,last_reported,eightd_has_available_keys,station_id,num_bikes_disabled,num_ebikes_available,legacy_id,num_docks_available,num_docks_disabled,num_bikes_available,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
111,active,True,True,2020-08-18 17:45:14+00:00,False,122,0,0,122,6,0,9,True,,,2020-08-18 18:03:00,2020
112,active,True,True,2020-08-18 17:24:34+00:00,False,124,0,0,124,12,0,3,True,,,2020-08-18 18:03:00,2020
113,active,True,True,2020-08-18 18:02:37+00:00,False,125,0,0,125,9,1,5,True,,,2020-08-18 18:03:00,2020
114,active,True,True,2020-08-18 16:00:28+00:00,False,126,1,0,126,3,0,11,True,,,2020-08-18 18:03:00,2020
115,active,True,True,2020-08-18 16:52:06+00:00,False,128,0,0,128,4,0,15,True,,,2020-08-18 18:03:00,2020
116,active,True,True,2020-08-18 16:36:46+00:00,False,129,0,0,129,0,0,19,True,,,2020-08-18 18:03:00,2020
117,active,True,True,2020-08-18 16:42:44+00:00,False,130,0,0,130,4,0,11,True,,,2020-08-18 18:03:00,2020
118,active,True,True,2020-08-18 17:13:59+00:00,False,131,0,0,131,17,0,1,True,,,2020-08-18 18:03:00,2020
119,active,True,True,2020-08-18 17:50:57+00:00,False,133,2,0,133,7,0,14,True,,,2020-08-18 18:03:00,2020
120,active,True,True,2020-08-18 16:44:57+00:00,False,135,0,0,135,12,0,5,True,,,2020-08-18 18:03:00,2020
121,active,True,True,2020-08-18 16:10:34+00:00,False,136,1,0,136,13,0,5,True,,,2020-08-18 18:03:00,2020
122,active,True,True,2020-08-18 17:06:55+00:00,False,137,0,0,137,7,0,8,True,,,2020-08-18 18:03:00,2020
123,active,True,True,2020-08-18 17:50:15+00:00,False,138,2,0,138,8,0,5,True,,,2020-08-18 18:03:00,2020
124,active,True,True,2020-08-18 18:00:02+00:00,False,139,0,0,139,17,0,2,True,,,2020-08-18 18:03:00,2020
125,active,True,True,2020-08-18 18:00:02+00:00,False,140,0,0,140,10,0,7,True,,,2020-08-18 18:03:00,2020
126,active,True,True,2020-08-18 17:52:22+00:00,False,141,0,0,141,15,0,0,True,,,2020-08-18 18:03:00,2020
127,active,True,True,2020-08-18 17:02:03+00:00,False,142,0,0,142,6,0,17,True,,,2020-08-18 18:03:00,2020
128,active,True,True,2020-08-18 17:44:09+00:00,False,143,0,0,143,19,0,4,True,,,2020-08-18 18:03:00,2020
129,active,True,True,2020-08-18 17:23:53+00:00,False,144,0,0,144,3,0,16,True,,,2020-08-18 18:03:00,2020
130,active,True,True,2020-08-18 12:24:56+00:00,False,145,1,0,145,3,0,15,True,,,2020-08-18 18:03:00,2020
131,active,True,True,2020-08-18 17:45:09+00:00,False,146,3,0,146,8,0,8,True,,,2020-08-18 18:03:00,2020
132,active,True,True,2020-08-18 17:57:45+00:00,True,149,1,0,149,10,0,7,True,,,2020-08-18 18:03:00,2020
133,active,True,True,2020-08-18 17:36:29+00:00,False,150,1,0,150,12,0,6,True,,,2020-08-18 18:03:00,2020
134,active,True,True,2020-08-18 17:17:24+00:00,False,151,0,0,151,10,0,9,True,,,2020-08-18 18:03:00,2020
135,active,True,True,2020-08-18 17:35:55+00:00,True,152,0,0,152,7,0,8,True,,,2020-08-18 18:03:00,2020
136,active,True,True,2020-08-18 17:44:47+00:00,False,156,0,0,156,14,0,1,True,,,2020-08-18 18:03:00,2020
137,active,True,True,2020-08-18 17:13:30+00:00,False,157,4,0,157,6,0,5,True,,,2020-08-18 18:03:00,2020
138,active,True,True,2020-08-18 17:33:15+00:00,False,159,0,0,159,13,0,2,True,,,2020-08-18 18:03:00,2020
139,active,True,True,2020-08-18 17:54:59+00:00,True,160,0,0,160,8,0,6,True,,,2020-08-18 18:03:00,2020
140,active,True,True,2020-08-18 18:00:37+00:00,True,161,1,0,161,5,0,17,True,,,2020-08-18 18:03:00,2020
141,active,True,True,2020-08-18 17:47:11+00:00,False,162,0,0,162,11,0,4,True,,,2020-08-18 18:03:00,2020
142,active,True,True,2020-08-18 18:01:03+00:00,True,163,0,0,163,14,0,5,True,,,2020-08-18 18:03:00,2020
143,active,True,True,2020-08-18 17:54:53+00:00,False,167,0,0,167,10,0,5,True,,,2020-08-18 18:03:00,2020
144,active,True,True,2020-08-18 17:32:04+00:00,False,169,0,0,169,15,0,4,True,,,2020-08-18 18:03:00,2020
145,active,True,True,2020-08-18 15:32:54+00:00,True,170,0,0,170,10,0,4,True,,,2020-08-18 18:03:00,2020
146,active,True,True,2020-08-18 12:07:00+00:00,True,171,0,0,171,23,0,0,True,,,2020-08-18 18:03:00,2020
