,eightd_has_available_keys,num_bikes_available,station_status,last_reported,num_docks_disabled,is_renting,is_returning,legacy_id,num_bikes_disabled,station_id,num_docks_available,is_installed,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
105,False,10,active,2020-08-10 01:14:13+00:00,0,True,True,116,0,116,13,True,0,2020-08-10 01:41:50,2020
106,False,12,active,2020-08-10 01:32:20+00:00,0,True,True,117,0,117,7,True,0,2020-08-10 01:41:50,2020
107,False,18,active,2020-08-10 01:30:55+00:00,0,True,True,118,0,118,1,True,0,2020-08-10 01:41:50,2020
108,False,10,active,2020-08-10 00:55:35+00:00,0,True,True,119,0,119,5,True,0,2020-08-10 01:41:50,2020
109,False,8,active,2020-08-10 01:25:21+00:00,0,True,True,120,5,120,2,True,0,2020-08-10 01:41:50,2020
110,False,6,active,2020-08-10 01:18:39+00:00,0,True,True,121,1,121,10,True,0,2020-08-10 01:41:50,2020
111,False,12,active,2020-08-10 01:33:17+00:00,0,True,True,122,0,122,3,True,0,2020-08-10 01:41:50,2020
112,False,12,active,2020-08-09 22:54:45+00:00,0,True,True,124,0,124,3,True,0,2020-08-10 01:41:50,2020
113,False,11,active,2020-08-10 01:23:48+00:00,0,True,True,125,1,125,3,True,0,2020-08-10 01:41:50,2020
114,False,5,active,2020-08-09 23:26:23+00:00,0,True,True,126,0,126,10,True,0,2020-08-10 01:41:50,2020
115,False,12,active,2020-08-10 00:20:13+00:00,0,True,True,128,1,128,6,True,0,2020-08-10 01:41:50,2020
116,False,7,active,2020-08-10 00:47:57+00:00,0,True,True,129,0,129,12,True,0,2020-08-10 01:41:50,2020
117,False,14,active,2020-08-10 01:40:34+00:00,0,True,True,130,0,130,1,True,0,2020-08-10 01:41:50,2020
118,False,15,active,2020-08-10 01:31:47+00:00,0,True,True,131,0,131,3,True,0,2020-08-10 01:41:50,2020
119,False,14,active,2020-08-10 01:36:16+00:00,0,True,True,133,0,133,9,True,0,2020-08-10 01:41:50,2020
120,False,1,active,2020-08-10 00:23:47+00:00,0,True,True,135,1,135,15,True,0,2020-08-10 01:41:50,2020
121,False,9,active,2020-08-09 23:20:04+00:00,0,True,True,136,1,136,9,True,0,2020-08-10 01:41:50,2020
122,False,7,active,2020-08-10 00:58:41+00:00,0,True,True,137,0,137,8,True,0,2020-08-10 01:41:50,2020
123,False,7,active,2020-08-10 00:58:18+00:00,0,True,True,138,2,138,6,True,0,2020-08-10 01:41:50,2020
124,False,10,active,2020-08-10 01:38:16+00:00,0,True,True,139,0,139,9,True,0,2020-08-10 01:41:50,2020
125,False,16,active,2020-08-10 00:38:31+00:00,0,True,True,140,0,140,1,True,0,2020-08-10 01:41:50,2020
126,False,0,active,2020-08-10 01:38:16+00:00,0,True,True,141,0,141,15,True,0,2020-08-10 01:41:50,2020
127,False,12,active,2020-08-10 01:19:38+00:00,0,True,True,142,0,142,11,True,0,2020-08-10 01:41:50,2020
128,False,18,active,2020-08-10 01:15:04+00:00,0,True,True,143,0,143,5,True,0,2020-08-10 01:41:50,2020
129,False,15,active,2020-08-10 00:54:33+00:00,0,True,True,144,0,144,4,True,0,2020-08-10 01:41:50,2020
130,False,14,active,2020-08-10 01:38:18+00:00,0,True,True,145,0,145,5,True,0,2020-08-10 01:41:50,2020
131,False,8,active,2020-08-10 01:22:04+00:00,0,True,True,146,2,146,9,True,0,2020-08-10 01:41:50,2020
132,True,4,active,2020-08-10 01:13:03+00:00,0,True,True,149,0,149,14,True,0,2020-08-10 01:41:50,2020
133,False,5,active,2020-08-10 01:39:26+00:00,0,True,True,150,1,150,13,True,0,2020-08-10 01:41:50,2020
134,False,1,active,2020-08-10 01:33:30+00:00,0,True,True,151,0,151,18,True,0,2020-08-10 01:41:50,2020
135,True,15,active,2020-08-09 23:49:24+00:00,0,True,True,152,0,152,0,True,0,2020-08-10 01:41:50,2020
136,False,0,active,2020-08-10 01:06:26+00:00,0,True,True,156,0,156,15,True,0,2020-08-10 01:41:50,2020
137,False,0,active,2020-08-10 01:40:53+00:00,0,True,True,157,0,157,15,True,0,2020-08-10 01:41:50,2020
138,False,5,active,2020-08-10 01:22:16+00:00,0,True,True,159,1,159,9,True,0,2020-08-10 01:41:50,2020
139,True,7,active,2020-08-10 01:14:08+00:00,0,True,True,160,0,160,7,True,0,2020-08-10 01:41:50,2020
140,True,16,active,2020-08-10 01:39:57+00:00,0,True,True,161,1,161,6,True,0,2020-08-10 01:41:50,2020
141,False,7,active,2020-08-09 21:30:56+00:00,0,True,True,162,0,162,8,True,0,2020-08-10 01:41:50,2020
142,True,11,active,2020-08-10 01:17:26+00:00,0,True,True,163,1,163,7,True,0,2020-08-10 01:41:50,2020
143,False,1,active,2020-08-10 01:29:06+00:00,0,True,True,167,0,167,14,True,0,2020-08-10 01:41:50,2020
