,is_renting,is_returning,legacy_id,num_ebikes_available,station_status,num_docks_available,num_bikes_disabled,is_installed,last_reported,num_docks_disabled,station_id,num_bikes_available,eightd_has_available_keys,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
161,True,True,187,0,active,12,0,True,2020-08-13 22:27:19+00:00,0,187,3,False,,,2020-08-13 22:29:40,2020
162,True,True,188,0,active,4,1,True,2020-08-13 22:28:53+00:00,0,188,10,False,,,2020-08-13 22:29:40,2020
163,True,True,189,0,active,22,0,True,2020-08-13 22:25:17+00:00,0,189,1,True,,,2020-08-13 22:29:40,2020
164,True,True,190,0,active,34,2,True,2020-08-13 22:26:44+00:00,0,190,1,True,,,2020-08-13 22:29:40,2020
165,True,True,191,0,active,10,0,True,2020-08-13 21:08:37+00:00,0,191,5,False,,,2020-08-13 22:29:40,2020
166,True,True,192,0,active,16,0,True,2020-08-13 22:05:11+00:00,0,192,3,False,,,2020-08-13 22:29:40,2020
167,True,True,193,0,active,11,1,True,2020-08-13 22:23:18+00:00,0,193,3,True,,,2020-08-13 22:29:40,2020
168,True,True,194,0,active,15,0,True,2020-08-13 22:27:47+00:00,0,194,4,False,,,2020-08-13 22:29:40,2020
169,True,True,195,0,active,15,1,True,2020-08-13 21:57:23+00:00,0,195,7,False,,,2020-08-13 22:29:40,2020
170,True,True,196,0,active,7,1,True,2020-08-13 22:18:00+00:00,0,196,2,True,,,2020-08-13 22:29:40,2020
171,True,True,197,0,active,12,1,True,2020-08-13 22:15:37+00:00,0,197,2,False,,,2020-08-13 22:29:40,2020
172,True,True,199,0,active,13,0,True,2020-08-13 16:46:42+00:00,0,199,2,False,,,2020-08-13 22:29:40,2020
173,True,True,200,0,active,8,1,True,2020-08-13 22:25:05+00:00,0,200,10,False,,,2020-08-13 22:29:40,2020
174,True,True,201,0,active,7,0,True,2020-08-13 18:47:24+00:00,0,201,8,False,,,2020-08-13 22:29:40,2020
175,True,True,202,0,active,14,0,True,2020-08-13 20:38:42+00:00,0,202,1,False,,,2020-08-13 22:29:40,2020
176,True,True,203,0,active,15,0,True,2020-08-13 14:09:27+00:00,0,203,0,False,,,2020-08-13 22:29:40,2020
177,True,True,204,0,active,14,1,True,2020-08-13 04:10:02+00:00,0,204,0,False,,,2020-08-13 22:29:40,2020
178,True,True,205,0,active,13,0,True,2020-08-13 21:21:34+00:00,0,205,2,False,,,2020-08-13 22:29:40,2020
179,True,True,206,0,active,20,1,True,2020-08-13 22:29:00+00:00,0,206,2,True,,,2020-08-13 22:29:40,2020
180,True,True,208,0,active,8,0,True,2020-08-13 21:49:37+00:00,0,208,7,True,,,2020-08-13 22:29:40,2020
181,True,True,209,0,active,7,0,True,2020-08-13 22:18:03+00:00,0,209,8,False,,,2020-08-13 22:29:40,2020
182,True,True,210,0,active,11,0,True,2020-08-13 16:34:19+00:00,0,210,4,False,,,2020-08-13 22:29:40,2020
183,True,True,211,0,active,15,0,True,2020-08-13 22:28:02+00:00,0,211,4,False,,,2020-08-13 22:29:40,2020
184,True,True,212,0,active,12,2,True,2020-08-13 22:28:10+00:00,0,212,19,False,,,2020-08-13 22:29:40,2020
185,True,True,213,0,active,12,0,True,2020-08-13 21:46:34+00:00,0,213,4,True,,,2020-08-13 22:29:40,2020
186,True,True,214,0,active,13,0,True,2020-08-13 22:24:50+00:00,0,214,2,False,,,2020-08-13 22:29:40,2020
187,True,True,215,0,active,10,0,True,2020-08-13 22:07:35+00:00,0,215,5,False,,,2020-08-13 22:29:40,2020
188,True,True,216,0,active,0,1,True,2020-08-13 22:08:51+00:00,0,216,18,False,,,2020-08-13 22:29:40,2020
189,True,True,217,0,active,11,0,True,2020-08-13 21:54:37+00:00,0,217,8,False,,,2020-08-13 22:29:40,2020
