,is_installed,is_renting,is_returning,legacy_id,station_id,num_bikes_available,station_status,num_ebikes_available,num_docks_disabled,num_bikes_disabled,num_docks_available,eightd_has_available_keys,last_reported,timestamp_of_data_read_request,year_station_last_reported
146,True,True,True,171,171,11,active,0,0,0,12,True,2020-08-21 01:12:53+00:00,2020-08-21 01:36:15,2020
147,True,True,True,173,173,9,active,0,0,0,5,True,2020-08-21 00:33:41+00:00,2020-08-21 01:36:15,2020
148,True,True,True,174,174,4,active,0,0,0,11,False,2020-08-21 01:28:54+00:00,2020-08-21 01:36:15,2020
149,True,True,True,175,175,9,active,0,0,2,6,True,2020-08-21 01:08:19+00:00,2020-08-21 01:36:15,2020
150,True,True,True,176,176,15,active,0,0,0,0,False,2020-08-21 00:40:49+00:00,2020-08-21 01:36:15,2020
151,True,True,True,177,177,4,active,0,0,1,14,False,2020-08-21 01:14:09+00:00,2020-08-21 01:36:15,2020
152,True,True,True,178,178,10,active,0,0,0,9,False,2020-08-21 01:35:14+00:00,2020-08-21 01:36:15,2020
153,True,True,True,179,179,21,active,0,0,0,4,False,2020-08-21 01:26:48+00:00,2020-08-21 01:36:15,2020
154,True,True,True,180,180,16,active,0,0,0,3,False,2020-08-20 23:41:43+00:00,2020-08-21 01:36:15,2020
155,True,True,True,181,181,5,active,0,0,0,14,False,2020-08-21 00:51:33+00:00,2020-08-21 01:36:15,2020
156,True,True,True,182,182,1,active,0,0,0,18,True,2020-08-21 00:28:25+00:00,2020-08-21 01:36:15,2020
157,True,True,True,183,183,5,active,0,0,0,14,False,2020-08-21 01:12:59+00:00,2020-08-21 01:36:15,2020
158,True,True,True,184,184,5,active,0,0,0,14,False,2020-08-21 01:29:39+00:00,2020-08-21 01:36:15,2020
159,True,True,True,185,185,4,active,0,0,0,11,False,2020-08-21 01:21:40+00:00,2020-08-21 01:36:15,2020
160,True,True,True,186,186,0,active,0,0,0,15,True,2020-08-21 01:19:50+00:00,2020-08-21 01:36:15,2020
161,True,True,True,187,187,3,active,0,0,0,12,False,2020-08-21 01:28:25+00:00,2020-08-21 01:36:15,2020
162,True,True,True,188,188,14,active,0,0,0,1,False,2020-08-21 00:06:17+00:00,2020-08-21 01:36:15,2020
163,True,True,True,189,189,0,active,0,0,1,22,True,2020-08-21 00:35:58+00:00,2020-08-21 01:36:15,2020
164,True,True,True,190,190,9,active,0,0,0,28,True,2020-08-21 01:31:58+00:00,2020-08-21 01:36:15,2020
165,True,True,True,191,191,1,active,0,0,0,14,False,2020-08-21 00:07:21+00:00,2020-08-21 01:36:15,2020
166,True,True,True,192,192,4,active,0,0,0,15,False,2020-08-21 01:36:05+00:00,2020-08-21 01:36:15,2020
167,True,True,True,193,193,3,active,0,0,0,12,True,2020-08-21 01:16:44+00:00,2020-08-21 01:36:15,2020
168,True,True,True,194,194,2,active,0,0,0,17,False,2020-08-20 23:40:13+00:00,2020-08-21 01:36:15,2020
169,True,True,True,195,195,8,active,0,0,0,15,False,2020-08-21 01:02:27+00:00,2020-08-21 01:36:15,2020
170,True,True,True,196,196,2,active,0,0,0,8,False,2020-08-20 21:12:36+00:00,2020-08-21 01:36:15,2020
171,True,True,True,197,197,7,active,0,0,0,8,False,2020-08-21 01:15:19+00:00,2020-08-21 01:36:15,2020
172,True,True,True,199,199,9,active,0,0,0,6,False,2020-08-20 23:26:19+00:00,2020-08-21 01:36:15,2020
