,is_returning,num_bikes_available,station_id,num_bikes_disabled,is_installed,num_docks_disabled,station_status,is_renting,num_docks_available,legacy_id,last_reported,eightd_has_available_keys,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
206,True,11,258,1,True,0,active,True,3,258,2020-08-14 00:42:11+00:00,False,0,,,2020-08-14 00:52:45,2020
207,True,14,259,0,True,0,active,True,1,259,2020-08-13 18:35:59+00:00,False,0,,,2020-08-14 00:52:45,2020
208,True,15,260,0,True,0,active,True,0,260,2020-08-13 23:02:45+00:00,False,0,,,2020-08-14 00:52:45,2020
209,True,9,271,0,True,0,active,True,6,271,2020-08-13 19:07:23+00:00,False,0,,,2020-08-14 00:52:45,2020
210,True,7,272,1,True,0,active,True,11,272,2020-08-13 22:50:46+00:00,False,0,,,2020-08-14 00:52:45,2020
211,True,17,273,0,True,0,active,True,23,273,2020-08-14 00:33:19+00:00,False,0,,,2020-08-14 00:52:45,2020
212,True,18,279,0,True,0,active,True,1,279,2020-08-13 23:54:59+00:00,False,0,,,2020-08-14 00:52:45,2020
213,True,9,280,1,True,0,active,True,9,280,2020-08-13 23:57:24+00:00,False,0,,,2020-08-14 00:52:45,2020
214,True,8,282,1,True,0,active,True,6,282,2020-08-14 00:09:26+00:00,False,0,,,2020-08-14 00:52:45,2020
215,True,8,296,0,True,0,active,True,15,296,2020-08-14 00:19:54+00:00,False,0,,,2020-08-14 00:52:45,2020
216,True,0,318,1,True,0,active,True,18,318,2020-08-14 00:40:09+00:00,False,0,,,2020-08-14 00:52:45,2020
217,True,4,319,0,True,0,active,True,21,319,2020-08-14 00:41:06+00:00,False,0,,,2020-08-14 00:52:45,2020
218,True,0,327,0,True,0,active,True,15,327,2020-08-13 23:03:24+00:00,False,0,,,2020-08-14 00:52:45,2020
219,True,10,328,2,True,0,active,True,3,328,2020-08-14 00:43:58+00:00,False,0,,,2020-08-14 00:52:45,2020
220,True,13,329,1,True,0,active,True,1,329,2020-08-14 00:32:18+00:00,False,0,,,2020-08-14 00:52:45,2020
221,True,6,330,0,True,0,active,True,9,330,2020-08-13 23:59:19+00:00,False,0,,,2020-08-14 00:52:45,2020
222,True,1,331,1,True,0,active,True,13,331,2020-08-14 00:45:21+00:00,False,0,,,2020-08-14 00:52:45,2020
223,True,5,332,1,True,0,active,True,9,332,2020-08-14 00:22:52+00:00,False,0,,,2020-08-14 00:52:45,2020
224,True,24,333,0,True,0,active,True,1,333,2020-08-14 00:38:14+00:00,False,0,,,2020-08-14 00:52:45,2020
225,True,15,334,2,True,0,active,True,2,334,2020-08-14 00:23:01+00:00,False,0,,,2020-08-14 00:52:45,2020
