,station_id,is_renting,num_ebikes_available,num_bikes_disabled,eightd_has_available_keys,last_reported,eightd_active_station_services,num_docks_disabled,is_returning,legacy_id,is_installed,num_bikes_available,num_docks_available,station_status,valet,timestamp_of_data_read_request,year_station_last_reported
121,135,True,0,0,False,2020-08-03 14:00:54+00:00,,0,True,135,True,10,7,active,,2020-08-03 15:11:55,2020
122,136,True,0,0,False,2020-08-03 14:32:43+00:00,,0,True,136,True,18,1,active,,2020-08-03 15:11:55,2020
123,137,True,0,0,False,2020-08-03 13:35:50+00:00,,0,True,137,True,2,13,active,,2020-08-03 15:11:55,2020
124,138,True,0,0,False,2020-08-03 12:37:13+00:00,,0,True,138,True,15,0,active,,2020-08-03 15:11:55,2020
125,139,True,0,0,False,2020-08-03 14:50:13+00:00,,0,True,139,True,1,18,active,,2020-08-03 15:11:55,2020
126,140,True,0,0,False,2020-08-03 14:50:10+00:00,,0,True,140,True,9,8,active,,2020-08-03 15:11:55,2020
127,141,True,0,0,False,2020-08-03 14:41:12+00:00,,0,True,141,True,7,8,active,,2020-08-03 15:11:55,2020
128,142,True,0,0,False,2020-08-03 13:19:42+00:00,,0,True,142,True,9,14,active,,2020-08-03 15:11:55,2020
129,143,True,0,0,False,2020-08-03 15:09:14+00:00,,0,True,143,True,9,14,active,,2020-08-03 15:11:55,2020
130,144,True,0,0,False,2020-08-03 14:45:01+00:00,,0,True,144,True,8,11,active,,2020-08-03 15:11:55,2020
131,145,True,0,0,False,2020-08-03 14:23:32+00:00,,0,True,145,True,12,7,active,,2020-08-03 15:11:55,2020
132,146,True,0,1,False,2020-08-03 15:07:10+00:00,,0,True,146,True,6,12,active,,2020-08-03 15:11:55,2020
133,149,True,0,1,True,2020-08-03 15:08:30+00:00,,0,True,149,True,8,9,active,,2020-08-03 15:11:55,2020
134,150,True,0,0,False,2020-08-03 14:53:45+00:00,,0,True,150,True,2,17,active,,2020-08-03 15:11:55,2020
135,151,True,0,2,False,2020-08-03 14:50:25+00:00,,0,True,151,True,12,5,active,,2020-08-03 15:11:55,2020
136,152,True,0,0,False,2020-08-03 13:44:00+00:00,,0,True,152,True,2,13,active,,2020-08-03 15:11:55,2020
137,156,True,0,0,False,2020-08-03 14:24:05+00:00,,0,True,156,True,1,14,active,,2020-08-03 15:11:55,2020
138,157,True,0,1,False,2020-08-03 13:44:52+00:00,,0,True,157,True,4,10,active,,2020-08-03 15:11:55,2020
139,159,True,0,1,False,2020-08-03 14:08:35+00:00,,0,True,159,True,0,14,active,,2020-08-03 15:11:55,2020
140,160,True,0,0,True,2020-08-03 13:09:01+00:00,,0,True,160,True,14,0,active,,2020-08-03 15:11:55,2020
141,161,True,0,0,True,2020-08-03 14:39:17+00:00,,0,True,161,True,3,20,active,,2020-08-03 15:11:55,2020
142,162,True,0,0,False,2020-08-03 08:53:47+00:00,,0,True,162,True,0,15,active,,2020-08-03 15:11:55,2020
143,163,True,0,0,True,2020-08-03 14:34:38+00:00,,0,True,163,True,11,8,active,,2020-08-03 15:11:55,2020
144,167,True,0,0,False,2020-08-03 13:52:09+00:00,,0,True,167,True,11,4,active,,2020-08-03 15:11:55,2020
145,169,True,0,0,False,2020-08-03 14:07:44+00:00,,0,True,169,True,4,15,active,,2020-08-03 15:11:55,2020
146,170,True,0,0,True,2020-08-03 14:37:25+00:00,,0,True,170,True,2,12,active,,2020-08-03 15:11:55,2020
147,171,True,0,0,True,2020-08-03 13:40:57+00:00,,0,True,171,True,1,22,active,,2020-08-03 15:11:55,2020
148,173,True,0,0,True,2020-08-03 14:23:53+00:00,,0,True,173,True,12,2,active,,2020-08-03 15:11:55,2020
149,174,True,0,0,False,2020-08-03 14:32:07+00:00,,0,True,174,True,8,7,active,,2020-08-03 15:11:55,2020
150,175,True,0,0,True,2020-08-03 13:51:57+00:00,,0,True,175,True,8,9,active,,2020-08-03 15:11:55,2020
151,176,True,0,0,False,2020-08-03 14:34:34+00:00,,0,True,176,True,7,8,active,,2020-08-03 15:11:55,2020
152,177,True,0,0,False,2020-08-03 15:01:19+00:00,,0,True,177,True,5,14,active,,2020-08-03 15:11:55,2020
153,178,True,0,1,False,2020-08-03 14:47:36+00:00,,0,True,178,True,16,2,active,,2020-08-03 15:11:55,2020
154,179,True,0,0,False,2020-08-03 14:54:42+00:00,,0,True,179,True,13,12,active,,2020-08-03 15:11:55,2020
155,180,True,0,0,False,2020-08-03 14:00:39+00:00,,0,True,180,True,12,7,active,,2020-08-03 15:11:55,2020
156,181,True,0,0,False,2020-08-03 14:08:05+00:00,,0,True,181,True,14,5,active,,2020-08-03 15:11:55,2020
157,182,True,0,0,True,2020-08-03 12:43:43+00:00,,0,True,182,True,3,16,active,,2020-08-03 15:11:55,2020
158,183,True,0,0,False,2020-08-03 14:10:00+00:00,,0,True,183,True,14,5,active,,2020-08-03 15:11:55,2020
159,184,True,0,1,False,2020-08-03 14:44:16+00:00,,0,True,184,True,11,7,active,,2020-08-03 15:11:55,2020
160,185,True,0,0,False,2020-08-03 14:29:59+00:00,,0,True,185,True,3,12,active,,2020-08-03 15:11:55,2020
161,186,True,0,0,True,2020-08-03 15:09:28+00:00,,0,True,186,True,1,14,active,,2020-08-03 15:11:55,2020
162,187,True,0,0,False,2020-08-03 15:00:44+00:00,,0,True,187,True,13,2,active,,2020-08-03 15:11:55,2020
163,188,True,0,0,False,2020-08-03 09:00:08+00:00,,0,True,188,True,11,4,active,,2020-08-03 15:11:55,2020
164,189,True,0,0,True,2020-08-03 14:59:38+00:00,,0,True,189,True,7,16,active,,2020-08-03 15:11:55,2020
165,190,True,0,3,True,2020-08-03 14:57:31+00:00,,0,True,190,True,3,31,active,,2020-08-03 15:11:55,2020
166,191,True,0,0,False,2020-08-03 14:21:40+00:00,,0,True,191,True,3,12,active,,2020-08-03 15:11:55,2020
167,192,True,0,0,False,2020-08-03 13:41:35+00:00,,0,True,192,True,19,0,active,,2020-08-03 15:11:55,2020
168,193,True,0,1,True,2020-08-03 14:19:23+00:00,,0,True,193,True,8,6,active,,2020-08-03 15:11:55,2020
169,194,True,0,0,False,2020-08-03 12:33:54+00:00,,0,True,194,True,7,12,active,,2020-08-03 15:11:55,2020
