,num_bikes_available,eightd_has_available_keys,is_installed,station_status,num_docks_disabled,legacy_id,is_returning,num_docks_available,num_bikes_disabled,num_ebikes_available,is_renting,last_reported,station_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
156,4,True,True,active,0,182,True,15,0,0,True,2020-08-20 12:49:48+00:00,182,,,2020-08-20 15:02:25,2020
157,8,False,True,active,0,183,True,11,0,0,True,2020-08-20 14:29:35+00:00,183,,,2020-08-20 15:02:25,2020
158,9,False,True,active,0,184,True,10,0,0,True,2020-08-20 14:51:58+00:00,184,,,2020-08-20 15:02:25,2020
159,3,False,True,active,0,185,True,11,1,0,True,2020-08-20 14:46:36+00:00,185,,,2020-08-20 15:02:25,2020
160,6,True,True,active,0,186,True,9,0,0,True,2020-08-20 14:34:25+00:00,186,,,2020-08-20 15:02:25,2020
161,3,False,True,active,0,187,True,12,0,0,True,2020-08-20 14:55:18+00:00,187,,,2020-08-20 15:02:25,2020
162,11,False,True,active,0,188,True,4,0,0,True,2020-08-20 14:07:31+00:00,188,,,2020-08-20 15:02:25,2020
163,4,True,True,active,0,189,True,19,0,0,True,2020-08-20 15:01:47+00:00,189,,,2020-08-20 15:02:25,2020
164,11,True,True,active,0,190,True,25,1,0,True,2020-08-20 14:59:50+00:00,190,,,2020-08-20 15:02:25,2020
165,0,False,True,active,0,191,True,15,0,0,True,2020-08-20 12:37:05+00:00,191,,,2020-08-20 15:02:25,2020
166,6,False,True,active,0,192,True,13,0,0,True,2020-08-20 14:09:14+00:00,192,,,2020-08-20 15:02:25,2020
167,2,True,True,active,0,193,True,13,0,0,True,2020-08-20 13:49:28+00:00,193,,,2020-08-20 15:02:25,2020
168,5,False,True,active,0,194,True,14,0,0,True,2020-08-20 14:16:46+00:00,194,,,2020-08-20 15:02:25,2020
169,1,False,True,active,0,195,True,22,0,0,True,2020-08-20 14:50:29+00:00,195,,,2020-08-20 15:02:25,2020
170,0,False,True,active,0,196,True,10,0,0,True,2020-08-20 08:35:06+00:00,196,,,2020-08-20 15:02:25,2020
171,7,False,True,active,0,197,True,7,1,0,True,2020-08-20 12:09:36+00:00,197,,,2020-08-20 15:02:25,2020
172,8,False,True,active,0,199,True,7,0,0,True,2020-08-20 14:19:54+00:00,199,,,2020-08-20 15:02:25,2020
173,13,False,True,active,0,200,True,6,0,0,True,2020-08-20 14:11:24+00:00,200,,,2020-08-20 15:02:25,2020
174,4,False,True,active,0,201,True,11,0,0,True,2020-08-20 12:47:08+00:00,201,,,2020-08-20 15:02:25,2020
