,last_reported,station_status,is_installed,station_id,legacy_id,num_docks_disabled,num_bikes_available,eightd_has_available_keys,is_renting,num_ebikes_available,is_returning,num_docks_available,num_bikes_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
99,2020-07-29 19:11:53+00:00,active,True,110,110,0,4,False,True,0,True,11,0,,,2020-07-29 19:16:00,2020
100,2020-07-29 19:07:20+00:00,active,True,111,111,0,6,False,True,0,True,9,0,,,2020-07-29 19:16:00,2020
101,2020-07-29 19:15:10+00:00,active,True,112,112,0,7,False,True,0,True,8,0,,,2020-07-29 19:16:00,2020
102,2020-07-29 19:06:10+00:00,active,True,113,113,0,2,False,True,0,True,13,0,,,2020-07-29 19:16:00,2020
103,2020-07-29 19:12:33+00:00,active,True,114,114,0,4,False,True,0,True,11,0,,,2020-07-29 19:16:00,2020
104,2020-07-29 19:13:36+00:00,active,True,115,115,0,11,False,True,0,True,7,1,,,2020-07-29 19:16:00,2020
105,2020-07-29 19:12:18+00:00,active,True,116,116,0,5,False,True,0,True,18,0,,,2020-07-29 19:16:00,2020
106,2020-07-29 18:18:58+00:00,active,True,117,117,0,18,False,True,0,True,1,0,,,2020-07-29 19:16:00,2020
107,2020-07-29 18:53:45+00:00,active,True,118,118,0,6,False,True,0,True,12,1,,,2020-07-29 19:16:00,2020
108,2020-07-29 19:15:06+00:00,active,True,119,119,0,9,False,True,0,True,6,0,,,2020-07-29 19:16:00,2020
109,2020-07-29 19:01:24+00:00,active,True,120,120,0,6,False,True,0,True,9,0,,,2020-07-29 19:16:00,2020
110,2020-07-29 18:23:22+00:00,active,True,121,121,0,0,False,True,0,True,16,1,,,2020-07-29 19:16:00,2020
111,2020-07-29 19:06:07+00:00,active,True,122,122,0,4,False,True,0,True,11,0,,,2020-07-29 19:16:00,2020
112,2020-07-29 18:12:32+00:00,active,True,124,124,0,3,False,True,0,True,12,0,,,2020-07-29 19:16:00,2020
113,2020-07-29 18:03:04+00:00,active,True,125,125,0,4,False,True,0,True,11,0,,,2020-07-29 19:16:00,2020
114,2020-07-29 17:01:49+00:00,active,True,126,126,0,1,False,True,0,True,14,0,,,2020-07-29 19:16:00,2020
115,2020-07-29 18:40:35+00:00,active,True,128,128,0,13,False,True,0,True,6,0,,,2020-07-29 19:16:00,2020
116,2020-07-29 18:29:23+00:00,active,True,129,129,0,7,False,True,0,True,12,0,,,2020-07-29 19:16:00,2020
117,2020-07-29 17:49:53+00:00,active,True,130,130,0,7,False,True,0,True,8,0,,,2020-07-29 19:16:00,2020
118,2020-07-29 18:27:59+00:00,active,True,131,131,0,8,False,True,0,True,9,1,,,2020-07-29 19:16:00,2020
119,2020-07-29 19:04:10+00:00,active,True,133,133,0,6,False,True,0,True,17,0,,,2020-07-29 19:16:00,2020
120,2020-07-29 18:57:58+00:00,active,True,135,135,0,7,False,True,0,True,10,0,,,2020-07-29 19:16:00,2020
121,2020-07-29 19:09:10+00:00,active,True,136,136,0,17,False,True,0,True,2,0,,,2020-07-29 19:16:00,2020
122,2020-07-29 19:01:05+00:00,active,True,137,137,0,2,False,True,0,True,13,0,,,2020-07-29 19:16:00,2020
123,2020-07-29 18:57:51+00:00,active,True,138,138,0,9,False,True,0,True,6,0,,,2020-07-29 19:16:00,2020
124,2020-07-29 18:33:22+00:00,active,True,139,139,0,3,False,True,0,True,16,0,,,2020-07-29 19:16:00,2020
125,2020-07-29 18:24:22+00:00,active,True,140,140,0,7,False,True,0,True,10,0,,,2020-07-29 19:16:00,2020
126,2020-07-29 18:33:30+00:00,active,True,141,141,0,7,False,True,0,True,8,0,,,2020-07-29 19:16:00,2020
127,2020-07-29 18:30:29+00:00,active,True,142,142,0,21,False,True,0,True,2,0,,,2020-07-29 19:16:00,2020
128,2020-07-29 19:02:27+00:00,active,True,143,143,0,7,False,True,0,True,16,0,,,2020-07-29 19:16:00,2020
129,2020-07-29 18:55:12+00:00,active,True,144,144,0,8,False,True,0,True,11,0,,,2020-07-29 19:16:00,2020
130,2020-07-29 18:39:30+00:00,active,True,145,145,0,11,False,True,0,True,8,0,,,2020-07-29 19:16:00,2020
131,2020-07-29 18:02:26+00:00,active,True,146,146,0,13,False,True,0,True,4,2,,,2020-07-29 19:16:00,2020
132,2020-07-29 18:18:09+00:00,active,True,149,149,0,13,True,True,0,True,5,0,,,2020-07-29 19:16:00,2020
