,legacy_id,num_ebikes_available,num_docks_disabled,is_installed,is_returning,last_reported,num_bikes_available,station_status,num_bikes_disabled,eightd_has_available_keys,station_id,num_docks_available,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
139,160,0,0,True,True,2020-07-28 23:01:49+00:00,7,active,1,True,160,6,True,,,2020-07-28 23:05:10,2020
140,161,0,0,True,True,2020-07-28 22:53:42+00:00,17,active,2,True,161,4,True,,,2020-07-28 23:05:10,2020
141,162,0,0,True,True,2020-07-28 22:58:07+00:00,7,active,0,False,162,8,True,,,2020-07-28 23:05:10,2020
142,163,0,0,True,True,2020-07-28 22:21:46+00:00,2,active,0,True,163,17,True,,,2020-07-28 23:05:10,2020
143,167,0,0,True,True,2020-07-28 20:55:25+00:00,7,active,2,False,167,6,True,,,2020-07-28 23:05:10,2020
144,169,0,0,True,True,2020-07-28 22:52:46+00:00,10,active,1,False,169,8,True,,,2020-07-28 23:05:10,2020
145,170,0,0,True,True,2020-07-28 21:32:52+00:00,2,active,0,True,170,12,True,,,2020-07-28 23:05:10,2020
146,171,0,0,True,True,2020-07-28 22:31:00+00:00,6,active,1,True,171,16,True,,,2020-07-28 23:05:10,2020
147,173,0,0,True,True,2020-07-28 22:51:19+00:00,4,active,0,True,173,10,True,,,2020-07-28 23:05:10,2020
148,174,0,0,True,True,2020-07-28 22:08:15+00:00,7,active,0,False,174,8,True,,,2020-07-28 23:05:10,2020
149,175,0,0,True,True,2020-07-28 22:55:24+00:00,4,active,0,True,175,13,True,,,2020-07-28 23:05:10,2020
150,176,0,0,True,True,2020-07-28 22:53:49+00:00,15,active,0,False,176,0,True,,,2020-07-28 23:05:10,2020
151,177,0,0,True,True,2020-07-28 23:02:58+00:00,6,active,0,False,177,13,True,,,2020-07-28 23:05:10,2020
152,178,0,0,True,True,2020-07-28 23:03:09+00:00,3,active,1,False,178,15,True,,,2020-07-28 23:05:10,2020
153,179,0,0,True,True,2020-07-28 23:04:07+00:00,7,active,0,False,179,18,True,,,2020-07-28 23:05:10,2020
154,180,0,0,True,True,2020-07-28 22:57:35+00:00,9,active,0,False,180,10,True,,,2020-07-28 23:05:10,2020
155,181,0,0,True,True,2020-07-28 22:29:24+00:00,8,active,0,False,181,11,True,,,2020-07-28 23:05:10,2020
156,182,0,0,True,True,2020-07-28 22:46:14+00:00,8,active,0,True,182,11,True,,,2020-07-28 23:05:10,2020
157,183,0,0,True,True,2020-07-28 23:04:12+00:00,2,active,0,False,183,17,True,,,2020-07-28 23:05:10,2020
158,184,0,0,True,True,2020-07-28 22:41:09+00:00,6,active,0,False,184,13,True,,,2020-07-28 23:05:10,2020
159,185,0,0,True,True,2020-07-28 22:45:36+00:00,2,active,0,False,185,13,True,,,2020-07-28 23:05:10,2020
160,186,0,0,True,True,2020-07-28 22:46:40+00:00,7,active,0,True,186,8,True,,,2020-07-28 23:05:10,2020
161,187,0,0,True,True,2020-07-28 22:21:42+00:00,6,active,0,False,187,9,True,,,2020-07-28 23:05:10,2020
162,188,0,0,True,True,2020-07-28 22:34:27+00:00,10,active,0,False,188,5,True,,,2020-07-28 23:05:10,2020
163,189,0,0,True,True,2020-07-28 22:51:48+00:00,3,active,2,True,189,18,True,,,2020-07-28 23:05:10,2020
164,190,0,0,True,True,2020-07-28 22:59:08+00:00,21,active,1,True,190,15,True,,,2020-07-28 23:05:10,2020
165,191,0,0,True,True,2020-07-28 22:58:09+00:00,3,active,0,False,191,12,True,,,2020-07-28 23:05:10,2020
166,192,0,0,True,True,2020-07-28 22:32:05+00:00,0,active,0,False,192,19,True,,,2020-07-28 23:05:10,2020
167,193,0,0,True,True,2020-07-28 21:39:38+00:00,15,active,0,True,193,0,True,,,2020-07-28 23:05:10,2020
168,194,0,0,True,True,2020-07-28 21:52:10+00:00,12,active,0,False,194,7,True,,,2020-07-28 23:05:10,2020
169,195,0,0,True,True,2020-07-28 23:03:21+00:00,10,active,0,False,195,13,True,,,2020-07-28 23:05:10,2020
170,196,0,0,True,True,2020-07-28 21:39:44+00:00,0,active,0,True,196,10,True,,,2020-07-28 23:05:10,2020
171,197,0,0,True,True,2020-07-28 22:45:52+00:00,1,active,0,False,197,14,True,,,2020-07-28 23:05:10,2020
172,199,0,0,True,True,2020-07-28 22:24:57+00:00,0,active,0,False,199,15,True,,,2020-07-28 23:05:10,2020
173,200,0,0,True,True,2020-07-28 23:01:51+00:00,18,active,0,False,200,1,True,,,2020-07-28 23:05:10,2020
174,201,0,0,True,True,2020-07-28 18:49:12+00:00,1,active,0,False,201,14,True,,,2020-07-28 23:05:10,2020
175,202,0,0,True,True,2020-07-28 14:43:09+00:00,3,active,1,False,202,11,True,,,2020-07-28 23:05:10,2020
176,203,0,0,True,True,2020-07-28 08:58:21+00:00,2,active,0,False,203,13,True,,,2020-07-28 23:05:10,2020
177,204,0,0,True,True,2020-07-28 21:11:55+00:00,0,active,0,False,204,15,True,,,2020-07-28 23:05:10,2020
178,205,0,0,True,True,2020-07-28 12:30:54+00:00,3,active,1,False,205,11,True,,,2020-07-28 23:05:10,2020
179,206,0,0,True,True,2020-07-28 22:27:52+00:00,3,active,0,False,206,20,True,,,2020-07-28 23:05:10,2020
180,208,0,0,True,True,2020-07-28 22:17:14+00:00,10,active,0,True,208,5,True,,,2020-07-28 23:05:10,2020
181,209,0,0,True,True,2020-07-28 22:49:00+00:00,12,active,1,False,209,2,True,,,2020-07-28 23:05:10,2020
182,210,0,0,True,True,2020-07-28 13:53:23+00:00,0,active,0,False,210,15,True,,,2020-07-28 23:05:10,2020
183,211,0,0,True,True,2020-07-28 22:23:37+00:00,17,active,1,False,211,1,True,,,2020-07-28 23:05:10,2020
184,212,0,0,True,True,2020-07-28 22:01:36+00:00,5,active,0,False,212,28,True,,,2020-07-28 23:05:10,2020
185,213,0,0,True,True,2020-07-28 22:22:34+00:00,8,active,0,True,213,8,True,,,2020-07-28 23:05:10,2020
