,is_installed,num_bikes_disabled,num_docks_available,is_renting,num_ebikes_available,num_bikes_available,station_id,is_returning,last_reported,station_status,legacy_id,num_docks_disabled,eightd_has_available_keys,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
83,True,0,1,True,0,10,94,True,2020-08-01 01:38:15+00:00,active,94,0,False,,,2020-08-01 03:07:10,2020
84,True,0,14,True,0,1,95,True,2020-08-01 02:46:35+00:00,active,95,0,False,,,2020-08-01 03:07:10,2020
85,True,0,17,True,0,2,96,True,2020-08-01 01:47:06+00:00,active,96,0,False,,,2020-08-01 03:07:10,2020
86,True,1,13,True,0,5,97,True,2020-08-01 03:02:34+00:00,active,97,0,False,,,2020-08-01 03:07:10,2020
87,True,1,13,True,0,8,98,True,2020-08-01 02:42:33+00:00,active,98,0,False,,,2020-08-01 03:07:10,2020
88,True,1,8,True,0,6,99,True,2020-08-01 02:58:04+00:00,active,99,0,False,,,2020-08-01 03:07:10,2020
89,True,3,10,True,0,12,100,True,2020-08-01 03:05:37+00:00,active,100,0,True,,,2020-08-01 03:07:10,2020
90,True,0,9,True,0,6,101,True,2020-08-01 02:44:49+00:00,active,101,0,False,,,2020-08-01 03:07:10,2020
91,True,0,6,True,0,9,102,True,2020-08-01 03:03:03+00:00,active,102,0,False,,,2020-08-01 03:07:10,2020
92,True,1,11,True,0,3,103,True,2020-08-01 01:58:30+00:00,active,103,0,False,,,2020-08-01 03:07:10,2020
93,True,0,2,True,0,17,104,True,2020-08-01 03:05:53+00:00,active,104,0,False,,,2020-08-01 03:07:10,2020
94,True,0,0,True,0,19,105,True,2020-08-01 02:41:33+00:00,active,105,0,False,,,2020-08-01 03:07:10,2020
95,True,1,9,True,0,5,106,True,2020-08-01 00:37:19+00:00,active,106,0,False,,,2020-08-01 03:07:10,2020
96,True,0,19,True,0,0,107,True,2020-08-01 01:47:27+00:00,active,107,0,False,,,2020-08-01 03:07:10,2020
97,True,0,4,True,0,13,108,True,2020-08-01 02:46:18+00:00,active,108,0,False,,,2020-08-01 03:07:10,2020
98,True,2,7,True,0,26,109,True,2020-08-01 03:06:08+00:00,active,109,0,False,,,2020-08-01 03:07:10,2020
99,True,1,6,True,0,8,110,True,2020-08-01 03:02:12+00:00,active,110,0,False,,,2020-08-01 03:07:10,2020
100,True,0,14,True,0,1,111,True,2020-07-31 23:04:28+00:00,active,111,0,False,,,2020-08-01 03:07:10,2020
101,True,0,11,True,0,4,112,True,2020-08-01 02:21:12+00:00,active,112,0,False,,,2020-08-01 03:07:10,2020
102,True,1,6,True,0,8,113,True,2020-08-01 02:27:16+00:00,active,113,0,False,,,2020-08-01 03:07:10,2020
103,True,0,15,True,0,0,114,True,2020-08-01 02:18:23+00:00,active,114,0,False,,,2020-08-01 03:07:10,2020
104,True,1,5,True,0,13,115,True,2020-08-01 02:18:54+00:00,active,115,0,False,,,2020-08-01 03:07:10,2020
105,True,0,6,True,0,17,116,True,2020-08-01 02:41:00+00:00,active,116,0,False,,,2020-08-01 03:07:10,2020
106,True,1,12,True,0,6,117,True,2020-08-01 02:45:42+00:00,active,117,0,False,,,2020-08-01 03:07:10,2020
107,True,1,3,True,0,15,118,True,2020-08-01 01:57:01+00:00,active,118,0,False,,,2020-08-01 03:07:10,2020
108,True,1,0,True,0,14,119,True,2020-08-01 02:14:03+00:00,active,119,0,False,,,2020-08-01 03:07:10,2020
109,True,2,5,True,0,8,120,True,2020-08-01 03:07:05+00:00,active,120,0,False,,,2020-08-01 03:07:10,2020
110,True,0,0,True,0,17,121,True,2020-08-01 02:57:14+00:00,active,121,0,False,,,2020-08-01 03:07:10,2020
111,True,0,1,True,0,14,122,True,2020-08-01 01:54:32+00:00,active,122,0,False,,,2020-08-01 03:07:10,2020
112,True,0,10,True,0,5,124,True,2020-08-01 01:51:02+00:00,active,124,0,False,,,2020-08-01 03:07:10,2020
113,True,0,7,True,0,8,125,True,2020-08-01 02:59:18+00:00,active,125,0,False,,,2020-08-01 03:07:10,2020
114,True,0,3,True,0,12,126,True,2020-08-01 01:15:41+00:00,active,126,0,False,,,2020-08-01 03:07:10,2020
115,True,0,3,True,0,16,128,True,2020-08-01 01:48:00+00:00,active,128,0,False,,,2020-08-01 03:07:10,2020
116,True,0,10,True,0,9,129,True,2020-08-01 02:44:59+00:00,active,129,0,False,,,2020-08-01 03:07:10,2020
117,True,0,2,True,0,13,130,True,2020-08-01 01:36:43+00:00,active,130,0,False,,,2020-08-01 03:07:10,2020
118,True,4,8,True,0,6,131,True,2020-08-01 02:06:20+00:00,active,131,0,False,,,2020-08-01 03:07:10,2020
119,True,1,10,True,0,12,133,True,2020-08-01 01:47:40+00:00,active,133,0,False,,,2020-08-01 03:07:10,2020
120,True,0,14,True,0,3,135,True,2020-07-31 23:18:05+00:00,active,135,0,False,,,2020-08-01 03:07:10,2020
121,True,0,2,True,0,17,136,True,2020-08-01 02:24:04+00:00,active,136,0,False,,,2020-08-01 03:07:10,2020
122,True,0,12,True,0,3,137,True,2020-08-01 02:32:22+00:00,active,137,0,False,,,2020-08-01 03:07:10,2020
