,num_docks_disabled,num_bikes_available,legacy_id,station_status,is_installed,is_returning,is_renting,eightd_has_available_keys,num_ebikes_available,num_bikes_disabled,last_reported,num_docks_available,station_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
230,0,15,339,active,True,True,True,False,0,0,2020-07-28 11:59:04+00:00,0,339,,,2020-07-28 19:10:25,2020
231,0,15,340,active,True,True,True,False,0,0,2020-07-28 12:42:54+00:00,4,340,,,2020-07-28 19:10:25,2020
232,0,4,341,active,True,True,True,True,0,0,2020-07-28 10:15:00+00:00,11,341,,,2020-07-28 19:10:25,2020
233,0,10,342,active,True,True,True,False,0,0,2020-07-28 19:04:26+00:00,5,342,,,2020-07-28 19:10:25,2020
234,0,5,343,active,True,True,True,False,0,1,2020-07-28 08:53:35+00:00,9,343,,,2020-07-28 19:10:25,2020
235,0,0,344,active,True,True,True,False,0,0,2020-07-28 11:29:55+00:00,19,344,,,2020-07-28 19:10:25,2020
236,0,8,345,active,True,True,True,False,0,1,2020-07-28 18:59:55+00:00,10,345,,,2020-07-28 19:10:25,2020
237,0,1,346,active,True,True,True,False,0,0,2020-07-28 18:16:10+00:00,14,346,,,2020-07-28 19:10:25,2020
238,0,4,347,active,True,True,True,False,0,0,2020-07-28 17:11:21+00:00,11,347,,,2020-07-28 19:10:25,2020
239,0,11,348,active,True,True,True,False,0,0,2020-07-28 11:39:39+00:00,4,348,,,2020-07-28 19:10:25,2020
240,0,1,349,active,True,True,True,True,0,0,2020-07-28 08:58:31+00:00,16,349,,,2020-07-28 19:10:25,2020
241,0,4,350,active,True,True,True,False,0,0,2020-07-28 17:10:49+00:00,13,350,,,2020-07-28 19:10:25,2020
242,0,4,351,active,True,True,True,False,0,0,2020-07-28 19:09:25+00:00,11,351,,,2020-07-28 19:10:25,2020
243,0,4,352,active,True,True,True,False,0,0,2020-07-28 19:05:12+00:00,11,352,,,2020-07-28 19:10:25,2020
244,0,13,353,active,True,True,True,True,0,0,2020-07-28 18:09:57+00:00,2,353,,,2020-07-28 19:10:25,2020
245,0,0,354,active,True,True,True,False,0,0,2020-07-28 17:05:03+00:00,15,354,,,2020-07-28 19:10:25,2020
246,0,7,355,active,True,True,True,False,0,0,2020-07-28 16:35:47+00:00,10,355,,,2020-07-28 19:10:25,2020
247,0,14,356,active,True,True,True,False,0,0,2020-07-28 18:50:12+00:00,9,356,,,2020-07-28 19:10:25,2020
248,0,4,357,active,True,True,True,False,0,0,2020-07-28 18:51:25+00:00,11,357,,,2020-07-28 19:10:25,2020
249,0,9,358,active,True,True,True,False,0,0,2020-07-28 18:40:40+00:00,10,358,,,2020-07-28 19:10:25,2020
250,0,2,359,active,True,True,True,False,0,0,2020-07-28 18:52:20+00:00,13,359,,,2020-07-28 19:10:25,2020
251,0,2,360,active,True,True,True,False,0,0,2020-07-28 18:56:29+00:00,13,360,,,2020-07-28 19:10:25,2020
252,0,8,361,active,True,True,True,False,0,1,2020-07-28 18:34:06+00:00,10,361,,,2020-07-28 19:10:25,2020
253,0,10,362,active,True,True,True,False,0,0,2020-07-28 17:55:19+00:00,9,362,,,2020-07-28 19:10:25,2020
254,0,12,363,active,True,True,True,False,0,0,2020-07-28 18:31:47+00:00,7,363,,,2020-07-28 19:10:25,2020
255,0,6,364,active,True,True,True,False,0,1,2020-07-28 19:00:34+00:00,12,364,,,2020-07-28 19:10:25,2020
256,0,4,365,active,True,True,True,False,0,0,2020-07-28 18:58:38+00:00,15,365,,,2020-07-28 19:10:25,2020
257,0,4,366,active,True,True,True,False,0,0,2020-07-28 18:25:06+00:00,11,366,,,2020-07-28 19:10:25,2020
258,0,14,367,active,True,True,True,False,0,1,2020-07-28 18:22:29+00:00,4,367,,,2020-07-28 19:10:25,2020
259,0,1,368,active,True,True,True,False,0,0,2020-07-28 14:22:59+00:00,14,368,,,2020-07-28 19:10:25,2020
260,0,2,369,active,True,True,True,False,0,0,2020-07-28 18:35:30+00:00,13,369,,,2020-07-28 19:10:25,2020
261,0,8,370,active,True,True,True,False,0,0,2020-07-28 18:33:12+00:00,11,370,,,2020-07-28 19:10:25,2020
262,0,6,371,active,True,True,True,False,0,0,2020-07-28 12:39:12+00:00,13,371,,,2020-07-28 19:10:25,2020
263,0,14,372,active,True,True,True,False,0,0,2020-07-28 18:11:22+00:00,5,372,,,2020-07-28 19:10:25,2020
264,0,5,373,active,True,True,True,False,0,0,2020-07-28 18:36:55+00:00,10,373,,,2020-07-28 19:10:25,2020
265,0,5,374,active,True,True,True,False,0,0,2020-07-28 18:13:39+00:00,14,374,,,2020-07-28 19:10:25,2020
266,0,7,376,active,True,True,True,False,0,0,2020-07-28 16:39:20+00:00,8,376,,,2020-07-28 19:10:25,2020
267,0,10,377,active,True,False,False,False,0,0,2020-07-28 16:18:12+00:00,9,377,,,2020-07-28 19:10:25,2020
268,0,3,378,active,True,True,True,False,0,0,2020-07-28 18:54:29+00:00,16,378,,,2020-07-28 19:10:25,2020
269,0,8,379,active,True,True,True,False,0,1,2020-07-28 19:02:20+00:00,6,379,,,2020-07-28 19:10:25,2020
270,0,15,380,active,True,True,True,False,0,0,2020-07-28 18:57:38+00:00,3,380,,,2020-07-28 19:10:25,2020
271,0,6,381,active,True,True,True,False,0,1,2020-07-28 19:01:33+00:00,12,381,,,2020-07-28 19:10:25,2020
