,num_docks_available,station_id,is_installed,last_reported,num_bikes_disabled,station_status,num_ebikes_available,legacy_id,is_returning,num_docks_disabled,eightd_has_available_keys,num_bikes_available,is_renting,timestamp_of_data_read_request,year_station_last_reported
235,16,344,True,2020-08-12 19:16:40+00:00,0,active,0,344,True,0,False,3,True,2020-08-12 19:35:50,2020
236,13,345,True,2020-08-12 19:33:37+00:00,0,active,0,345,True,0,False,6,True,2020-08-12 19:35:50,2020
237,11,346,True,2020-08-12 18:39:42+00:00,0,active,0,346,True,0,False,4,True,2020-08-12 19:35:50,2020
238,2,347,True,2020-08-12 18:59:12+00:00,0,active,0,347,True,0,False,13,True,2020-08-12 19:35:50,2020
239,11,348,True,2020-08-12 16:08:58+00:00,1,active,0,348,True,0,False,3,True,2020-08-12 19:35:50,2020
240,10,349,True,2020-08-12 18:36:47+00:00,1,active,0,349,True,0,True,6,True,2020-08-12 19:35:50,2020
241,4,350,True,2020-08-12 16:34:03+00:00,0,active,0,350,True,0,False,13,True,2020-08-12 19:35:50,2020
242,11,351,True,2020-08-12 18:48:59+00:00,0,active,0,351,True,0,False,4,True,2020-08-12 19:35:50,2020
243,11,352,True,2020-08-12 19:19:37+00:00,0,active,0,352,True,0,False,4,True,2020-08-12 19:35:50,2020
244,9,353,True,2020-08-12 15:33:31+00:00,0,active,0,353,True,0,True,6,True,2020-08-12 19:35:50,2020
245,12,354,True,2020-08-12 18:56:03+00:00,1,active,0,354,True,0,False,2,True,2020-08-12 19:35:50,2020
246,2,355,True,2020-08-12 19:15:58+00:00,0,active,0,355,True,0,False,15,True,2020-08-12 19:35:50,2020
247,21,356,True,2020-08-12 19:24:19+00:00,0,active,0,356,True,0,False,2,True,2020-08-12 19:35:50,2020
248,12,357,True,2020-08-12 19:30:55+00:00,0,active,0,357,True,0,False,3,True,2020-08-12 19:35:50,2020
249,5,358,True,2020-08-12 17:42:47+00:00,0,active,0,358,True,0,False,14,True,2020-08-12 19:35:50,2020
250,12,359,True,2020-08-12 19:33:18+00:00,0,active,0,359,True,0,False,3,True,2020-08-12 19:35:50,2020
251,15,360,True,2020-08-12 19:02:21+00:00,0,active,0,360,True,0,False,0,True,2020-08-12 19:35:50,2020
252,14,361,True,2020-08-12 18:52:14+00:00,0,active,0,361,True,0,False,5,True,2020-08-12 19:35:50,2020
253,6,362,True,2020-08-12 19:25:31+00:00,0,active,0,362,True,0,False,13,True,2020-08-12 19:35:50,2020
254,11,363,True,2020-08-12 19:35:44+00:00,0,active,0,363,True,0,False,8,True,2020-08-12 19:35:50,2020
255,10,364,True,2020-08-12 19:26:40+00:00,0,active,0,364,True,0,False,9,True,2020-08-12 19:35:50,2020
256,14,365,True,2020-08-12 19:17:13+00:00,1,active,0,365,True,0,False,4,True,2020-08-12 19:35:50,2020
257,13,366,True,2020-08-12 19:14:55+00:00,0,active,0,366,True,0,False,2,True,2020-08-12 19:35:50,2020
258,4,367,True,2020-08-12 17:54:06+00:00,1,active,0,367,True,0,False,14,True,2020-08-12 19:35:50,2020
259,5,368,True,2020-08-12 19:10:46+00:00,1,active,0,368,True,0,False,9,True,2020-08-12 19:35:50,2020
260,10,369,True,2020-08-12 19:14:19+00:00,0,active,0,369,True,0,False,5,True,2020-08-12 19:35:50,2020
261,9,370,True,2020-08-12 18:53:39+00:00,0,active,0,370,True,0,False,10,True,2020-08-12 19:35:50,2020
262,12,371,True,2020-08-12 16:08:20+00:00,0,active,0,371,True,0,False,7,True,2020-08-12 19:35:50,2020
263,3,372,True,2020-08-12 19:26:34+00:00,1,active,0,372,True,0,False,15,True,2020-08-12 19:35:50,2020
264,7,373,True,2020-08-12 18:50:16+00:00,1,active,0,373,True,0,False,7,True,2020-08-12 19:35:50,2020
265,17,374,True,2020-08-12 19:33:15+00:00,0,active,0,374,True,0,False,2,True,2020-08-12 19:35:50,2020
266,8,376,True,2020-08-12 18:40:58+00:00,1,active,0,376,True,0,False,6,True,2020-08-12 19:35:50,2020
267,10,377,True,2020-08-12 19:08:14+00:00,0,active,0,377,True,0,False,9,True,2020-08-12 19:35:50,2020
268,18,378,True,2020-08-12 19:18:36+00:00,0,active,0,378,True,0,False,1,True,2020-08-12 19:35:50,2020
269,10,379,True,2020-08-12 19:29:31+00:00,0,active,0,379,True,0,False,5,True,2020-08-12 19:35:50,2020
270,14,380,True,2020-08-12 19:34:42+00:00,0,active,0,380,True,0,False,4,True,2020-08-12 19:35:50,2020
271,14,381,True,2020-08-12 19:22:00+00:00,0,active,0,381,True,0,False,5,True,2020-08-12 19:35:50,2020
272,14,384,True,2020-08-12 19:01:24+00:00,0,active,0,384,True,0,True,5,True,2020-08-12 19:35:50,2020
273,9,385,True,2020-08-12 19:22:02+00:00,1,active,0,385,True,1,False,4,True,2020-08-12 19:35:50,2020
274,13,386,True,2020-08-12 19:31:18+00:00,0,active,0,386,True,0,False,6,True,2020-08-12 19:35:50,2020
275,6,387,True,2020-08-12 19:30:17+00:00,1,active,0,387,True,0,False,8,True,2020-08-12 19:35:50,2020
276,7,388,True,2020-08-12 08:57:42+00:00,0,active,0,388,True,0,False,4,True,2020-08-12 19:35:50,2020
277,2,389,True,2020-08-12 15:52:13+00:00,0,active,0,389,True,0,False,12,True,2020-08-12 19:35:50,2020
278,1,390,True,2020-08-12 19:23:05+00:00,0,active,0,390,True,0,False,14,True,2020-08-12 19:35:50,2020
279,1,391,True,2020-08-12 08:59:04+00:00,0,active,0,391,True,0,False,14,True,2020-08-12 19:35:50,2020
280,10,392,True,2020-08-12 09:48:00+00:00,0,active,0,392,True,0,False,5,True,2020-08-12 19:35:50,2020
281,8,393,True,2020-08-12 15:19:15+00:00,1,active,0,393,True,0,False,6,True,2020-08-12 19:35:50,2020
282,12,394,True,2020-08-12 08:58:35+00:00,0,active,0,394,True,0,False,2,True,2020-08-12 19:35:50,2020
283,5,395,True,2020-08-12 15:00:11+00:00,0,active,0,395,True,0,False,10,True,2020-08-12 19:35:50,2020
284,3,396,True,2020-08-12 08:58:34+00:00,0,active,0,396,True,0,False,12,True,2020-08-12 19:35:50,2020
285,10,397,True,2020-08-12 18:36:15+00:00,0,active,0,397,True,0,False,5,True,2020-08-12 19:35:50,2020
286,5,398,True,2020-08-12 19:28:19+00:00,0,active,0,398,True,0,False,14,True,2020-08-12 19:35:50,2020
287,5,399,True,2020-08-12 18:56:03+00:00,0,active,0,399,True,0,False,10,True,2020-08-12 19:35:50,2020
288,20,400,True,2020-08-12 16:28:40+00:00,0,active,0,400,True,0,False,7,True,2020-08-12 19:35:50,2020
