,is_returning,station_status,station_id,num_docks_disabled,num_ebikes_available,num_docks_available,is_installed,last_reported,eightd_has_available_keys,num_bikes_disabled,num_bikes_available,legacy_id,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
120,True,active,135,0,0,15,True,2020-08-21 19:37:27+00:00,False,0,2,135,True,,,2020-08-21 19:56:40,2020
121,True,active,136,0,0,15,True,2020-08-21 19:37:04+00:00,False,0,4,136,True,,,2020-08-21 19:56:40,2020
122,True,active,137,0,0,8,True,2020-08-21 19:48:11+00:00,False,0,7,137,True,,,2020-08-21 19:56:40,2020
123,True,active,138,0,0,9,True,2020-08-21 19:38:35+00:00,False,1,5,138,True,,,2020-08-21 19:56:40,2020
124,True,active,139,0,0,16,True,2020-08-21 19:50:31+00:00,False,0,3,139,True,,,2020-08-21 19:56:40,2020
125,True,active,140,0,0,1,True,2020-08-21 19:32:40+00:00,False,0,16,140,True,,,2020-08-21 19:56:40,2020
126,True,active,141,0,0,14,True,2020-08-21 19:56:01+00:00,False,0,1,141,True,,,2020-08-21 19:56:40,2020
127,True,active,142,0,0,4,True,2020-08-21 18:30:03+00:00,False,0,19,142,True,,,2020-08-21 19:56:40,2020
128,True,active,143,0,0,7,True,2020-08-21 19:10:22+00:00,False,0,16,143,True,,,2020-08-21 19:56:40,2020
129,True,active,144,0,0,1,True,2020-08-21 18:51:28+00:00,False,0,18,144,True,,,2020-08-21 19:56:40,2020
130,True,active,145,0,0,4,True,2020-08-21 19:20:12+00:00,False,0,15,145,True,,,2020-08-21 19:56:40,2020
131,True,active,146,0,0,10,True,2020-08-21 19:53:43+00:00,False,0,9,146,True,,,2020-08-21 19:56:40,2020
132,True,active,149,0,0,7,True,2020-08-21 19:52:00+00:00,True,0,11,149,True,,,2020-08-21 19:56:40,2020
133,True,active,150,0,0,13,True,2020-08-21 18:08:33+00:00,False,1,5,150,True,,,2020-08-21 19:56:40,2020
134,True,active,151,0,0,13,True,2020-08-21 19:42:05+00:00,False,1,5,151,True,,,2020-08-21 19:56:40,2020
135,True,active,152,0,0,7,True,2020-08-21 19:46:26+00:00,True,0,8,152,True,,,2020-08-21 19:56:40,2020
136,True,active,156,0,0,11,True,2020-08-21 19:16:08+00:00,False,0,4,156,True,,,2020-08-21 19:56:40,2020
137,True,active,157,0,0,14,True,2020-08-21 19:48:07+00:00,False,1,0,157,True,,,2020-08-21 19:56:40,2020
138,True,active,159,0,0,10,True,2020-08-21 19:20:25+00:00,False,1,4,159,True,,,2020-08-21 19:56:40,2020
139,True,active,160,0,0,8,True,2020-08-21 19:39:12+00:00,True,0,6,160,True,,,2020-08-21 19:56:40,2020
140,True,active,161,0,0,8,True,2020-08-21 19:53:08+00:00,True,0,15,161,True,,,2020-08-21 19:56:40,2020
141,True,active,162,0,0,11,True,2020-08-21 19:27:07+00:00,False,0,4,162,True,,,2020-08-21 19:56:40,2020
142,True,active,163,0,0,9,True,2020-08-21 19:55:46+00:00,True,0,10,163,True,,,2020-08-21 19:56:40,2020
143,True,active,167,0,0,1,True,2020-08-21 19:16:43+00:00,False,0,14,167,True,,,2020-08-21 19:56:40,2020
144,True,active,169,0,0,11,True,2020-08-21 19:20:42+00:00,False,0,8,169,True,,,2020-08-21 19:56:40,2020
145,True,active,170,0,0,8,True,2020-08-21 18:46:55+00:00,True,0,6,170,True,,,2020-08-21 19:56:40,2020
146,True,active,171,0,0,12,True,2020-08-21 18:37:40+00:00,True,0,11,171,True,,,2020-08-21 19:56:40,2020
147,True,active,173,0,0,3,True,2020-08-21 19:33:59+00:00,True,1,10,173,True,,,2020-08-21 19:56:40,2020
148,True,active,174,0,0,8,True,2020-08-21 19:15:35+00:00,False,0,7,174,True,,,2020-08-21 19:56:40,2020
149,True,active,175,0,0,11,True,2020-08-21 18:31:17+00:00,True,0,6,175,True,,,2020-08-21 19:56:40,2020
