,is_returning,station_status,num_docks_available,eightd_has_available_keys,num_ebikes_available,is_installed,legacy_id,num_docks_disabled,last_reported,is_renting,station_id,num_bikes_available,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
104,True,active,6,False,0,True,115,0,2020-08-19 02:52:59+00:00,True,115,13,0,2020-08-19 04:56:40,2020
105,True,active,10,False,0,True,116,0,2020-08-19 02:49:32+00:00,True,116,13,0,2020-08-19 04:56:40,2020
106,True,active,13,False,0,True,117,0,2020-08-19 02:33:46+00:00,True,117,5,1,2020-08-19 04:56:40,2020
107,True,active,0,False,0,True,118,0,2020-08-19 02:38:52+00:00,True,118,18,1,2020-08-19 04:56:40,2020
108,True,active,0,False,0,True,119,0,2020-08-19 02:47:01+00:00,True,119,13,2,2020-08-19 04:56:40,2020
109,True,active,0,False,0,True,120,0,2020-08-19 03:01:06+00:00,True,120,15,0,2020-08-19 04:56:40,2020
110,True,active,4,False,0,True,121,0,2020-08-19 04:19:34+00:00,True,121,10,3,2020-08-19 04:56:40,2020
111,True,active,12,False,0,True,122,0,2020-08-19 00:33:38+00:00,True,122,3,0,2020-08-19 04:56:40,2020
112,True,active,14,False,0,True,124,0,2020-08-18 21:10:49+00:00,True,124,1,0,2020-08-19 04:56:40,2020
113,True,active,6,False,0,True,125,1,2020-08-19 04:41:51+00:00,True,125,6,2,2020-08-19 04:56:40,2020
114,True,active,1,False,0,True,126,0,2020-08-19 01:27:37+00:00,True,126,13,1,2020-08-19 04:56:40,2020
115,True,active,4,False,0,True,128,0,2020-08-19 01:56:21+00:00,True,128,15,0,2020-08-19 04:56:40,2020
116,True,active,6,False,0,True,129,0,2020-08-19 03:51:59+00:00,True,129,13,0,2020-08-19 04:56:40,2020
117,True,active,1,False,0,True,130,0,2020-08-19 02:31:00+00:00,True,130,14,0,2020-08-19 04:56:40,2020
118,True,active,3,False,0,True,131,0,2020-08-19 02:55:20+00:00,True,131,15,0,2020-08-19 04:56:40,2020
119,True,active,1,False,0,True,133,0,2020-08-19 03:09:00+00:00,True,133,20,2,2020-08-19 04:56:40,2020
120,True,active,16,False,0,True,135,0,2020-08-19 01:34:13+00:00,True,135,1,0,2020-08-19 04:56:40,2020
121,True,active,18,False,0,True,136,0,2020-08-19 01:30:38+00:00,True,136,0,1,2020-08-19 04:56:40,2020
122,True,active,1,False,0,True,137,0,2020-08-19 02:56:46+00:00,True,137,14,0,2020-08-19 04:56:40,2020
123,True,active,3,False,0,True,138,0,2020-08-19 04:26:59+00:00,True,138,11,1,2020-08-19 04:56:40,2020
124,True,active,0,False,0,True,139,0,2020-08-19 04:17:35+00:00,True,139,19,0,2020-08-19 04:56:40,2020
125,True,active,7,False,0,True,140,0,2020-08-19 01:12:40+00:00,True,140,10,0,2020-08-19 04:56:40,2020
126,True,active,9,False,0,True,141,0,2020-08-19 04:01:37+00:00,True,141,6,0,2020-08-19 04:56:40,2020
127,True,active,4,False,0,True,142,0,2020-08-19 01:41:17+00:00,True,142,19,0,2020-08-19 04:56:40,2020
128,True,active,18,False,0,True,143,0,2020-08-19 04:26:29+00:00,True,143,4,1,2020-08-19 04:56:40,2020
129,True,active,0,False,0,True,144,0,2020-08-19 00:08:04+00:00,True,144,19,0,2020-08-19 04:56:40,2020
130,True,active,2,False,0,True,145,0,2020-08-19 04:38:20+00:00,True,145,17,0,2020-08-19 04:56:40,2020
131,True,active,0,False,0,True,146,0,2020-08-19 01:47:14+00:00,True,146,18,1,2020-08-19 04:56:40,2020
132,True,active,3,True,0,True,149,0,2020-08-19 02:53:35+00:00,True,149,14,1,2020-08-19 04:56:40,2020
133,True,active,5,False,0,True,150,0,2020-08-19 04:37:12+00:00,True,150,13,1,2020-08-19 04:56:40,2020
134,True,active,9,False,0,True,151,0,2020-08-19 04:14:28+00:00,True,151,10,0,2020-08-19 04:56:40,2020
135,True,active,0,True,0,True,152,0,2020-08-19 04:00:34+00:00,True,152,15,0,2020-08-19 04:56:40,2020
136,True,active,8,False,0,True,156,0,2020-08-19 02:08:26+00:00,True,156,6,1,2020-08-19 04:56:40,2020
