,num_bikes_disabled,last_reported,legacy_id,eightd_has_available_keys,is_installed,num_docks_available,num_ebikes_available,num_docks_disabled,is_returning,station_status,station_id,is_renting,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
186,0,2020-08-09 00:46:18+00:00,214,False,True,1,0,0,True,active,214,True,14,,,2020-08-09 00:50:20,2020
187,2,2020-08-08 23:21:32+00:00,215,False,True,8,0,0,True,active,215,True,5,,,2020-08-09 00:50:20,2020
188,0,2020-08-08 16:36:17+00:00,216,False,True,7,0,0,True,active,216,True,12,,,2020-08-09 00:50:20,2020
189,0,2020-08-09 00:46:16+00:00,217,False,True,7,0,0,True,active,217,True,12,,,2020-08-09 00:50:20,2020
190,2,2020-08-09 00:50:10+00:00,218,False,True,1,0,0,True,active,218,True,12,,,2020-08-09 00:50:20,2020
191,0,2020-08-08 23:32:14+00:00,219,False,True,6,0,0,True,active,219,True,9,,,2020-08-09 00:50:20,2020
192,1,2020-08-09 00:48:56+00:00,221,False,True,1,0,0,True,active,221,True,17,,,2020-08-09 00:50:20,2020
193,1,2020-08-08 23:43:06+00:00,222,True,True,0,0,0,True,active,222,True,13,,,2020-08-09 00:50:20,2020
194,1,2020-08-09 00:26:34+00:00,224,False,True,5,0,0,True,active,224,True,11,,,2020-08-09 00:50:20,2020
195,1,2020-08-09 00:37:46+00:00,225,False,True,14,0,0,True,active,225,True,4,,,2020-08-09 00:50:20,2020
196,0,2020-08-09 00:42:28+00:00,226,False,True,13,0,0,True,active,226,True,2,,,2020-08-09 00:50:20,2020
197,0,2020-08-09 00:19:03+00:00,227,False,True,18,0,0,True,active,227,True,1,,,2020-08-09 00:50:20,2020
198,0,2020-08-08 23:42:37+00:00,228,False,True,17,0,0,True,active,228,True,2,,,2020-08-09 00:50:20,2020
199,0,2020-08-08 18:50:24+00:00,232,False,True,8,0,0,True,active,232,True,3,,,2020-08-09 00:50:20,2020
200,1,2020-08-09 00:29:16+00:00,233,False,True,11,0,0,True,active,233,True,3,,,2020-08-09 00:50:20,2020
201,0,2020-08-08 21:59:58+00:00,234,False,True,12,0,0,True,active,234,True,3,,,2020-08-09 00:50:20,2020
202,1,2020-08-08 23:09:17+00:00,235,False,True,11,0,0,True,active,235,True,3,,,2020-08-09 00:50:20,2020
203,1,2020-08-09 00:09:48+00:00,236,False,True,6,0,0,True,active,236,True,8,,,2020-08-09 00:50:20,2020
204,1,2020-08-09 00:34:39+00:00,239,False,True,11,0,0,True,active,239,True,3,,,2020-08-09 00:50:20,2020
205,0,2020-08-08 23:27:56+00:00,255,False,True,4,0,0,True,active,255,True,11,,,2020-08-09 00:50:20,2020
206,0,2020-08-08 23:07:35+00:00,258,False,True,7,0,0,True,active,258,True,8,,,2020-08-09 00:50:20,2020
207,0,2020-08-08 22:38:42+00:00,259,False,True,1,0,0,True,active,259,True,14,,,2020-08-09 00:50:20,2020
208,0,2020-08-08 21:55:31+00:00,260,False,True,3,0,0,False,active,260,False,12,,,2020-08-09 00:50:20,2020
209,0,2020-08-08 23:44:12+00:00,271,False,True,11,0,0,True,active,271,True,4,,,2020-08-09 00:50:20,2020
210,0,2020-08-08 22:43:04+00:00,272,False,True,10,0,0,True,active,272,True,9,,,2020-08-09 00:50:20,2020
211,2,2020-08-09 00:48:03+00:00,273,False,True,22,0,0,True,active,273,True,16,,,2020-08-09 00:50:20,2020
212,0,2020-08-09 00:16:59+00:00,279,False,True,2,0,0,True,active,279,True,17,,,2020-08-09 00:50:20,2020
213,0,2020-08-08 22:33:47+00:00,280,False,True,11,0,0,True,active,280,True,8,,,2020-08-09 00:50:20,2020
214,0,2020-08-08 23:54:55+00:00,282,False,True,0,0,0,True,active,282,True,15,,,2020-08-09 00:50:20,2020
215,0,2020-08-09 00:49:48+00:00,296,False,True,7,0,0,True,active,296,True,16,"{'valet_revision': 12, 'dock_blocked_count': 0, 'region': 'BOS', 'off_dock_capacity': 100, 'off_dock_count': 0, 'station_id': '74cb9bf6-bb53-4c70-88d2-67998b99628c', 'active': True}",[{'id': '74cb9bf6-bb53-4c70-88d2-67998b99628c'}],2020-08-09 00:50:20,2020
216,1,2020-08-09 00:42:30+00:00,318,False,True,14,0,0,True,active,318,True,4,,,2020-08-09 00:50:20,2020
217,0,2020-08-09 00:23:57+00:00,319,False,True,14,0,0,True,active,319,True,11,,,2020-08-09 00:50:20,2020
218,0,2020-08-09 00:44:16+00:00,327,False,True,2,0,0,True,active,327,True,13,,,2020-08-09 00:50:20,2020
